matrix,modality,representation,task,policy,recipe,fold_id,runs,n_samples,macro_f1_mean,balanced_accuracy_mean,accuracy_mean,majority_macro_f1_mean,majority_balanced_accuracy_mean,delta_macro_f1_vs_majority,delta_bal_acc_vs_majority,pred_skew_mean,true_skew_mean,one_class_runs,failure_labels
broader_single_modality,EEG,STIM-BSL-only,valence,midpoint_as_high,ce_class_weighted,4,1,320,0.5108315863032844,0.5198380566801619,0.5625,0.37254901960784315,0.5,0.13828256669544126,0.01983805668016192,0.73125,0.59375,0,weak_signal_near_chance;prediction_skew
broader_single_modality,EEG,STIM-BSL-only,valence,midpoint_as_high,ce_class_weighted,5,1,320,0.5309293462327763,0.5336392707338344,0.546875,0.3834296724470135,0.5,0.14749967378576284,0.03363927073383444,0.5625,0.621875,0,no_major_failure_flag
broader_single_modality,EEG,STIM-BSL-only,valence,midpoint_as_high,ce_class_weighted,6,1,320,0.5223281942592782,0.5299431039494996,0.590625,0.3834296724470135,0.5,0.13889852181226475,0.029943103949499617,0.75625,0.621875,0,prediction_skew
broader_single_modality,EMG,feature+BSL-stats,arousal,midpoint_as_high,balanced_sampler_ce,1,1,352,0.5424326833797585,0.5509044183058218,0.5426136363636364,0.36347197106690776,0.5,0.1789607123128507,0.05090441830582182,0.5511363636363636,0.5710227272727273,0,no_major_failure_flag
broader_single_modality,EMG,feature+BSL-stats,arousal,midpoint_as_high,balanced_sampler_ce,2,1,352,0.5028738463559628,0.5031193859219337,0.5113636363636364,0.35648994515539306,0.5,0.1463839012005697,0.003119385921933726,0.5767045454545454,0.5539772727272727,0,weak_signal_near_chance
broader_single_modality,EMG,feature+BSL-stats,arousal,midpoint_as_high,balanced_sampler_ce,3,1,352,0.5241818638045053,0.5248005941809022,0.5255681818181818,0.3370998116760829,0.5,0.18708205212842238,0.02480059418090219,0.5454545454545454,0.5085227272727273,0,no_major_failure_flag
broader_single_modality,EMG,feature+BSL-stats,arousal,midpoint_as_high,balanced_sampler_ce,4,1,320,0.5217900561412011,0.5251231527093596,0.5375,0.35353535353535354,0.5,0.16825470260584757,0.02512315270935961,0.634375,0.546875,0,no_major_failure_flag
broader_single_modality,EMG,feature+BSL-stats,arousal,midpoint_as_high,balanced_sampler_ce,5,1,320,0.4777118619220282,0.47823529411764704,0.478125,0.3469387755102041,0.5,0.1307730864118241,-0.021764705882352964,0.503125,0.53125,0,weak_signal_near_chance
broader_single_modality,EMG,feature+BSL-stats,arousal,midpoint_as_high,balanced_sampler_ce,6,1,320,0.4927086718065361,0.5037671799966882,0.496875,0.38223938223938225,0.5,0.11046928956715385,0.003767179996688186,0.528125,0.61875,0,weak_signal_near_chance
broader_single_modality,EMG,feature+BSL-stats,arousal,midpoint_as_high,ce_class_weighted,1,1,352,0.5550802139037433,0.5592237488056406,0.5568181818181818,0.36347197106690776,0.5,0.19160824283683553,0.05922374880564063,0.5085227272727273,0.5710227272727273,0,no_major_failure_flag
broader_single_modality,EMG,feature+BSL-stats,arousal,midpoint_as_high,ce_class_weighted,2,1,352,0.5087493290391842,0.5095704719908541,0.5198863636363636,0.35648994515539306,0.5,0.15225938388379118,0.009570471990854146,0.5965909090909091,0.5539772727272727,0,weak_signal_near_chance
broader_single_modality,EMG,feature+BSL-stats,arousal,midpoint_as_high,ce_class_weighted,3,1,352,0.5084452719776567,0.5257855136112636,0.5227272727272727,0.3370998116760829,0.5,0.17134546030157377,0.025785513611263577,0.6789772727272727,0.5085227272727273,0,no_major_failure_flag
broader_single_modality,EMG,feature+BSL-stats,arousal,midpoint_as_high,ce_class_weighted,4,1,320,0.4894499621076144,0.4908374384236453,0.5,0.35353535353535354,0.5,0.13591460857226084,-0.0091625615763547,0.596875,0.546875,0,weak_signal_near_chance
broader_single_modality,EMG,feature+BSL-stats,arousal,midpoint_as_high,ce_class_weighted,5,1,320,0.46216385240775487,0.46588235294117647,0.4625,0.3469387755102041,0.5,0.1152250768975508,-0.03411764705882353,0.55625,0.53125,0,weak_signal_near_chance
broader_single_modality,EMG,feature+BSL-stats,arousal,midpoint_as_high,ce_class_weighted,6,1,320,0.4554554554554555,0.4574432853121378,0.46875,0.38223938223938225,0.5,0.07321607321607326,-0.04255671468786221,0.5375,0.61875,0,weak_signal_near_chance
broader_single_modality,EMG,feature+BSL-stats,valence,midpoint_as_high,balanced_sampler_ce,1,1,352,0.48804137039431156,0.5036407367137821,0.48863636363636365,0.36347197106690776,0.5,0.1245693993274038,0.0036407367137820668,0.6051136363636364,0.5710227272727273,0,weak_signal_near_chance
broader_single_modality,EMG,feature+BSL-stats,valence,midpoint_as_high,balanced_sampler_ce,2,1,352,0.5258220534294153,0.5300741918388978,0.5284090909090909,0.3669064748201439,0.5,0.15891557860927147,0.030074191838897812,0.5056818181818182,0.5795454545454546,0,no_major_failure_flag
broader_single_modality,EMG,feature+BSL-stats,valence,midpoint_as_high,balanced_sampler_ce,3,1,352,0.48213535098781,0.5110752579745219,0.48295454545454547,0.3747779751332149,0.5,0.1073573758545951,0.011075257974521913,0.6392045454545454,0.5994318181818182,0,weak_signal_near_chance
broader_single_modality,EMG,feature+BSL-stats,valence,midpoint_as_high,balanced_sampler_ce,4,1,320,0.48545151015475374,0.4860323886639676,0.509375,0.37254901960784315,0.5,0.1129024905469106,-0.013967611336032415,0.621875,0.59375,0,weak_signal_near_chance
broader_single_modality,EMG,feature+BSL-stats,valence,midpoint_as_high,balanced_sampler_ce,5,1,320,0.5427598577204876,0.5453091905810041,0.559375,0.3834296724470135,0.5,0.15933018527347415,0.04530919058100413,0.56875,0.621875,0,no_major_failure_flag
broader_single_modality,EMG,feature+BSL-stats,valence,midpoint_as_high,balanced_sampler_ce,6,1,320,0.5322191932361424,0.543917936791395,0.5375,0.3834296724470135,0.5,0.14878952078912894,0.043917936791394996,0.515625,0.621875,0,no_major_failure_flag
broader_single_modality,EMG,feature+BSL-stats,valence,midpoint_as_high,ce_class_weighted,1,1,352,0.4743257533560975,0.48214226878850774,0.4744318181818182,0.36347197106690776,0.5,0.11085378228918974,-0.017857731211492256,0.5568181818181818,0.5710227272727273,0,weak_signal_near_chance
broader_single_modality,EMG,feature+BSL-stats,valence,midpoint_as_high,ce_class_weighted,2,1,352,0.540294778510533,0.5451112877583466,0.5426136363636364,0.3669064748201439,0.5,0.1733883036903891,0.04511128775834661,0.5085227272727273,0.5795454545454546,0,no_major_failure_flag
broader_single_modality,EMG,feature+BSL-stats,valence,midpoint_as_high,ce_class_weighted,3,1,352,0.5267385970219488,0.5267385970219488,0.5454545454545454,0.3747779751332149,0.5,0.15196062188873388,0.026738597021948807,0.5994318181818182,0.5994318181818182,0,no_major_failure_flag
broader_single_modality,EMG,feature+BSL-stats,valence,midpoint_as_high,ce_class_weighted,4,1,320,0.48295566502463055,0.4870445344129555,0.4875,0.37254901960784315,0.5,0.11040664541678741,-0.012955465587044523,0.5,0.59375,0,weak_signal_near_chance
broader_single_modality,EMG,feature+BSL-stats,valence,midpoint_as_high,ce_class_weighted,5,1,320,0.5336987876564994,0.5431911624236887,0.540625,0.3834296724470135,0.5,0.15026911520948588,0.0431911624236887,0.5,0.621875,0,no_major_failure_flag
broader_single_modality,EMG,feature+BSL-stats,valence,midpoint_as_high,ce_class_weighted,6,1,320,0.5115195260768912,0.5137048880767474,0.528125,0.3834296724470135,0.5,0.12808985362987774,0.013704888076747412,0.5625,0.621875,0,weak_signal_near_chance
broader_single_modality,EMG,feature-only,arousal,midpoint_as_high,balanced_sampler_ce,1,1,352,0.5067672096093566,0.527643240749893,0.5085227272727273,0.36347197106690776,0.5,0.14329523854244886,0.027643240749892994,0.6306818181818182,0.5710227272727273,0,no_major_failure_flag
broader_single_modality,EMG,feature-only,arousal,midpoint_as_high,balanced_sampler_ce,2,1,352,0.48382051031381373,0.4838477870325004,0.48863636363636365,0.35648994515539306,0.5,0.12733056515842067,-0.01615221296749958,0.5426136363636364,0.5539772727272727,0,weak_signal_near_chance
broader_single_modality,EMG,feature-only,arousal,midpoint_as_high,balanced_sampler_ce,3,1,352,0.5379679144385027,0.54099525301127,0.5397727272727273,0.3370998116760829,0.5,0.2008681027624198,0.04099525301127005,0.5710227272727273,0.5085227272727273,0,no_major_failure_flag
broader_single_modality,EMG,feature-only,arousal,midpoint_as_high,balanced_sampler_ce,4,1,320,0.5247029393370857,0.5272906403940887,0.525,0.35353535353535354,0.5,0.17116758580173214,0.027290640394088683,0.521875,0.546875,0,no_major_failure_flag
broader_single_modality,EMG,feature-only,arousal,midpoint_as_high,balanced_sampler_ce,5,1,320,0.5293699598266723,0.53,0.534375,0.3469387755102041,0.5,0.18243118431646826,0.030000000000000027,0.571875,0.53125,0,no_major_failure_flag
broader_single_modality,EMG,feature-only,arousal,midpoint_as_high,balanced_sampler_ce,6,1,320,0.4961423397890097,0.507865540652426,0.5,0.38223938223938225,0.5,0.11390295754962743,0.00786554065242595,0.53125,0.61875,0,weak_signal_near_chance
