source_id,family,modality,representation,task,policy,recipe,fold_id,n,accuracy,balanced_accuracy,macro_f1,majority_accuracy,true_0,true_1,pred_0,pred_1,tn,fp,fn,tp,one_class_pred,prob1_mean,prob1_std,prob1_q05,prob1_median,prob1_q95,brier,ece_10,best_threshold,best_threshold_macro_f1,best_threshold_balanced_accuracy,best_threshold_accuracy,best_threshold_pred_0,best_threshold_pred_1,threshold_macro_f1_gain,threshold_balanced_accuracy_gain,prediction_skew_abs
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,valence,midpoint_as_high,balanced_sampler_ce,5,320,0.528125,0.4845508534407575,0.48251673360107095,0.621875,121,199,104,216,37,84,67,132,False,0.6402181343670236,0.3387216444261582,0.041352950222790175,0.794934093952179,0.9706949144601822,0.3584377682791381,0.31715239886834756,0.2682512700557709,0.5186511036742499,0.5301092238049753,0.596875,70,250,0.03613437007317899,0.04555837036421778,0.17500000000000004
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,valence,midpoint_as_high,balanced_sampler_ce,6,320,0.596875,0.5317288923958636,0.5215078067948673,0.621875,121,199,72,248,32,89,40,159,False,0.6766529209213331,0.2206193538650272,0.23583511412143704,0.7579032778739929,0.9049408972263336,0.2672004275894043,0.18471334043424575,0.6799999999999999,0.5405128205128205,0.5413430790315212,0.5625,129,191,0.019005013717953156,0.009614186635657607,0.275
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,valence,midpoint_as_high,ce_class_weighted,1,352,0.5852272727272727,0.5330302131725478,0.4838502330065885,0.5710227272727273,151,201,45,307,25,126,20,181,False,0.7821896477729421,0.2240402345684663,0.25520391315221785,0.8824982941150665,0.9603064924478532,0.32431221297960733,0.26960270697335625,0.8425908088684082,0.5435563239792526,0.5435735231129123,0.5568181818181818,141,211,0.05970609097266405,0.010543309940364454,0.37215909090909094
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,valence,midpoint_as_high,ce_class_weighted,2,352,0.5056818181818182,0.5086115527291998,0.5037433155080213,0.5795454545454546,148,204,182,170,78,70,104,100,False,0.4802949956237254,0.14438870472837873,0.20726131126284597,0.4936651289463043,0.7006494104862213,0.2764110146196812,0.1218734885438938,0.4834774136543274,0.5331259210741771,0.5343137254901961,0.5397727272727273,162,190,0.029382605566155795,0.02570217276099629,0.01704545454545453
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,valence,midpoint_as_high,ce_class_weighted,3,352,0.5170454545454546,0.4924540351584821,0.4921066032931591,0.5994318181818182,141,211,133,219,52,89,81,130,False,0.5890380575702611,0.3090776528641277,0.07431776933372021,0.6714191138744354,0.9593457788228987,0.34368445858013924,0.2737532249778848,0.605,0.4971220942235435,0.49828577190682666,0.5085227272727273,158,194,0.005015490930384392,0.005831736748344585,0.12215909090909094
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,valence,midpoint_as_high,ce_class_weighted,4,320,0.5625,0.5198380566801619,0.5108315863032844,0.59375,130,190,86,234,38,92,48,142,False,0.6935786263435147,0.31124858933818805,0.11191433444619178,0.868809312582016,0.9697395294904708,0.33702879714012723,0.27787225531646975,0.6640035510063171,0.5363470773306839,0.5368421052631579,0.5625,114,206,0.025515491027399473,0.01700404858299598,0.23124999999999996
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,valence,midpoint_as_high,ce_class_weighted,5,320,0.546875,0.5336392707338344,0.5309293462327763,0.621875,121,199,140,180,58,63,82,117,False,0.5304906046949327,0.22631390429577442,0.1636744976043701,0.53810054063797,0.8713568031787873,0.2808316523550018,0.14761846484616398,0.3984585106372833,0.5604395604395604,0.5601561526641472,0.6,103,217,0.029510214206784124,0.026516881930312763,0.0625
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,valence,midpoint_as_high,ce_class_weighted,6,320,0.590625,0.5299431039494996,0.5223281942592782,0.621875,121,199,78,242,34,87,44,155,False,0.6859750083880499,0.28863356111219235,0.09281878955662246,0.8081583678722382,0.9613956838846207,0.3070396858339284,0.23847465578000993,0.5549999999999999,0.539313399778516,0.5421736783089,0.59375,89,231,0.016985205519237767,0.012230574359400337,0.25625
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,balanced_sampler_ce,1,352,0.5426136363636364,0.5509044183058218,0.5424326833797585,0.5710227272727273,201,151,158,194,99,102,59,92,False,,,,,,,,,,,,0,0,,,0.051136363636363646
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,balanced_sampler_ce,2,352,0.5113636363636364,0.5031193859219337,0.5028738463559628,0.5539772727272727,195,157,203,149,113,82,90,67,False,,,,,,,,,,,,0,0,,,0.07670454545454547
