subject_id,task,label_policy,accuracy_EEG,accuracy_EMG,error_rate_EEG,error_rate_EMG,n_EEG,n_EMG,common_failure_score,both_hard_flag,eeg_specific_hard_flag,emg_specific_hard_flag
58,valence,midpoint_as_high,0.546875,0.4427083333333333,0.453125,0.5572916666666666,192,192,0.2525227864583333,False,False,False
29,valence,discard_midpoint,0.5740740740740741,0.4074074074074074,0.42592592592592593,0.5925925925925926,54,54,0.252400548696845,False,False,True
27,valence,midpoint_as_low,0.40625,0.578125,0.59375,0.421875,64,64,0.25048828125,False,True,False
35,valence,discard_midpoint,0.5,0.5,0.5,0.5,50,50,0.25,False,False,False
19,valence,discard_midpoint,0.5,0.5,0.5,0.5,46,46,0.25,False,False,False
2,arousal,midpoint_as_high,0.5104166666666666,0.4895833333333333,0.4895833333333333,0.5104166666666666,192,192,0.24989149305555552,False,False,False
31,arousal,midpoint_as_high,0.484375,0.515625,0.515625,0.484375,192,192,0.249755859375,False,False,False
38,arousal,midpoint_as_low,0.515625,0.484375,0.484375,0.515625,64,64,0.249755859375,False,False,False
8,valence,discard_midpoint,0.5166666666666667,0.48333333333333334,0.48333333333333334,0.5166666666666667,60,60,0.24972222222222226,False,False,False
45,arousal,midpoint_as_high,0.5208333333333334,0.4791666666666667,0.4791666666666667,0.5208333333333334,192,192,0.24956597222222224,False,False,False
60,arousal,midpoint_as_low,0.53125,0.46875,0.46875,0.53125,64,64,0.2490234375,False,False,False
62,arousal,midpoint_as_high,0.4635416666666667,0.5364583333333334,0.5364583333333334,0.4635416666666667,192,192,0.24867078993055558,False,False,False
34,arousal,midpoint_as_high,0.5364583333333334,0.4635416666666667,0.4635416666666667,0.5364583333333334,192,192,0.24867078993055558,False,False,False
15,valence,midpoint_as_high,0.5416666666666666,0.4583333333333333,0.4583333333333333,0.5416666666666666,192,192,0.24826388888888887,False,False,False
48,valence,midpoint_as_low,0.546875,0.453125,0.453125,0.546875,64,64,0.247802734375,False,False,False
57,valence,midpoint_as_low,0.546875,0.453125,0.453125,0.546875,64,64,0.247802734375,False,False,False
40,valence,discard_midpoint,0.45,0.55,0.55,0.45,60,60,0.24750000000000003,False,False,False
46,arousal,discard_midpoint,0.55,0.45,0.45,0.55,60,60,0.24750000000000003,False,False,False
9,valence,midpoint_as_high,0.5,0.5052083333333334,0.5,0.4947916666666667,192,192,0.24739583333333334,False,False,False
38,valence,midpoint_as_high,0.5208333333333334,0.484375,0.4791666666666667,0.515625,192,192,0.2470703125,False,False,False
10,arousal,midpoint_as_high,0.4427083333333333,0.5572916666666666,0.5572916666666666,0.4427083333333333,192,192,0.24671766493055552,False,True,False
22,valence,midpoint_as_low,0.4375,0.5625,0.5625,0.4375,64,64,0.24609375,False,True,False
31,arousal,discard_midpoint,0.43103448275862066,0.5689655172413793,0.5689655172413793,0.43103448275862066,58,58,0.24524375743162902,False,True,False
3,valence,midpoint_as_high,0.4479166666666667,0.5572916666666666,0.5520833333333334,0.4427083333333333,192,192,0.2444118923611111,False,True,False
39,valence,midpoint_as_low,0.375,0.609375,0.625,0.390625,64,64,0.244140625,False,True,False
46,arousal,midpoint_as_low,0.578125,0.421875,0.421875,0.578125,64,64,0.243896484375,False,False,True
63,valence,midpoint_as_high,0.5416666666666666,0.46875,0.4583333333333333,0.53125,192,192,0.24348958333333331,False,False,False
64,arousal,midpoint_as_high,0.3854166666666667,0.6041666666666666,0.6145833333333334,0.3958333333333333,192,192,0.24327256944444445,False,True,False
1,arousal,midpoint_as_high,0.4583333333333333,0.5520833333333334,0.5416666666666666,0.4479166666666667,192,192,0.24262152777777776,False,False,False
29,valence,midpoint_as_low,0.5,0.515625,0.5,0.484375,64,64,0.2421875,False,False,False
21,arousal,midpoint_as_low,0.515625,0.5,0.484375,0.5,64,64,0.2421875,False,False,False
58,arousal,midpoint_as_low,0.5,0.515625,0.5,0.484375,64,64,0.2421875,False,False,False
38,arousal,midpoint_as_high,0.5572916666666666,0.453125,0.4427083333333333,0.546875,192,192,0.24210611979166666,False,False,False
27,arousal,midpoint_as_high,0.53125,0.484375,0.46875,0.515625,192,192,0.24169921875,False,False,False
62,arousal,discard_midpoint,0.484375,0.53125,0.515625,0.46875,64,64,0.24169921875,False,False,False
6,valence,discard_midpoint,0.5166666666666667,0.5,0.48333333333333334,0.5,60,60,0.24166666666666667,False,False,False
56,valence,discard_midpoint,0.532258064516129,0.4838709677419355,0.46774193548387094,0.5161290322580645,62,62,0.24141519250780435,False,False,False
45,valence,midpoint_as_low,0.46875,0.546875,0.53125,0.453125,64,64,0.24072265625,False,False,False
14,valence,midpoint_as_low,0.546875,0.46875,0.453125,0.53125,64,64,0.24072265625,False,False,False
34,arousal,midpoint_as_low,0.546875,0.46875,0.453125,0.53125,64,64,0.24072265625,False,False,False
59,arousal,discard_midpoint,0.5357142857142857,0.48214285714285715,0.4642857142857143,0.5178571428571429,56,56,0.2404336734693878,False,False,False
52,arousal,midpoint_as_high,0.5572916666666666,0.4583333333333333,0.4427083333333333,0.5416666666666666,192,192,0.23980034722222218,False,False,False
43,arousal,discard_midpoint,0.4807692307692308,0.5384615384615384,0.5192307692307693,0.46153846153846156,52,52,0.2396449704142012,False,False,False
5,valence,midpoint_as_high,0.53125,0.4895833333333333,0.46875,0.5104166666666666,192,192,0.23925781249999997,False,False,False
39,valence,discard_midpoint,0.4642857142857143,0.5535714285714286,0.5357142857142857,0.44642857142857145,56,56,0.23915816326530612,False,False,False
20,arousal,discard_midpoint,0.5645161290322581,0.45161290322580644,0.43548387096774194,0.5483870967741935,62,62,0.2388137356919875,False,False,False
13,valence,midpoint_as_high,0.5833333333333334,0.4270833333333333,0.4166666666666667,0.5729166666666666,192,192,0.23871527777777776,False,False,True
59,valence,discard_midpoint,0.46296296296296297,0.5555555555555556,0.5370370370370371,0.4444444444444444,54,54,0.23868312757201648,False,False,False
7,arousal,discard_midpoint,0.39285714285714285,0.6071428571428571,0.6071428571428571,0.39285714285714285,56,56,0.23852040816326528,False,True,False
22,arousal,midpoint_as_low,0.609375,0.390625,0.390625,0.609375,64,64,0.238037109375,False,False,True
47,valence,midpoint_as_low,0.609375,0.390625,0.390625,0.609375,64,64,0.238037109375,False,False,True
56,valence,midpoint_as_high,0.5729166666666666,0.4427083333333333,0.4270833333333333,0.5572916666666666,192,192,0.23800998263888887,False,False,True
63,arousal,midpoint_as_low,0.578125,0.4375,0.421875,0.5625,64,64,0.2373046875,False,False,True
58,arousal,midpoint_as_high,0.5677083333333334,0.453125,0.4322916666666667,0.546875,192,192,0.23640950520833334,False,False,False
7,valence,midpoint_as_high,0.4427083333333333,0.578125,0.5572916666666666,0.421875,192,192,0.23510742187499997,False,True,False
39,arousal,midpoint_as_high,0.3645833333333333,0.6302083333333334,0.6354166666666666,0.3697916666666667,192,192,0.23497178819444445,False,True,False
34,valence,midpoint_as_low,0.515625,0.515625,0.484375,0.484375,64,64,0.234619140625,False,False,False
15,valence,midpoint_as_low,0.53125,0.5,0.46875,0.5,64,64,0.234375,False,False,False
