candidate_id,modality,task,fold,run_macro_f1,run_bal_acc,run_acc,pos_cov,n_predictions,prediction_accuracy,n_subjects,mean_subject_accuracy,std_subject_accuracy,min_subject_accuracy,hard_subject_count
A6_vrex_only_recheck,EEG,valence,4,0.5487954879548795,0.55,0.559375,0.0,320,0.559375,10,0.559375,0.09821541305269306,0.375,1
A6_vrex_only_recheck,EEG,valence,5,0.4773494724396036,0.4803147971261265,0.490625,0.0,320,0.490625,10,0.490625,0.07224392035166542,0.40625,3
A6_vrex_only_recheck,EEG,valence,6,0.5405128205128206,0.5413430790315212,0.5625,0.0,320,0.5625,10,0.5625,0.10416666666666667,0.375,1
A6_vrex_only_recheck,EEG,arousal,1,0.5375035704084548,0.5385489769694574,0.5426136363636364,0.0,352,0.5426136363636364,11,0.5426136363636364,0.10200406631823335,0.4375,2
A6_vrex_only_recheck,EEG,arousal,2,0.4830282493292528,0.4833088355381349,0.4914772727272727,0.0,352,0.4914772727272727,11,0.4914772727272727,0.0948795588196856,0.375,5
A6_vrex_only_recheck,EEG,arousal,3,0.5249201923465471,0.5250912261439598,0.5255681818181818,0.0,352,0.5255681818181818,11,0.5255681818181818,0.09037485068515264,0.375,2
A6_vrex_only_recheck,EEG,arousal,4,0.4976254955061031,0.4979310344827586,0.5,0.0,320,0.5,10,0.5,0.15380024021076458,0.25,4
A6_vrex_only_recheck,EEG,arousal,5,0.495633382567234,0.4974509803921568,0.503125,0.0,320,0.503125,10,0.503125,0.09015081884757836,0.3125,2
A6_vrex_only_recheck,EEG,arousal,6,0.5265151515151515,0.5378373902964066,0.53125,0.0,320,0.53125,10,0.53125,0.08068715304598784,0.4375,1
A6_vrex_only_recheck,EMG,valence,1,0.4533218291630716,0.4532470099831965,0.4630681818181818,0.0,352,0.4630681818181818,11,0.4630681818181818,0.0892877434834347,0.34375,4
A6_vrex_only_recheck,EMG,valence,2,0.4581105169340463,0.4823794382617912,0.4602272727272727,0.0,352,0.4602272727272727,11,0.4602272727272727,0.10651704409069085,0.3125,5
A6_vrex_only_recheck,EMG,valence,3,0.5105572149551962,0.511411381130046,0.5397727272727273,0.0,352,0.5397727272727273,11,0.5397727272727273,0.06568584841362851,0.4375,1
A6_vrex_only_recheck,EMG,valence,4,0.497171590194846,0.5036437246963563,0.5,0.0,320,0.5,10,0.5,0.06909634979907084,0.375,3
A6_vrex_only_recheck,EMG,valence,5,0.4625461874370171,0.4862743469413181,0.5625,0.0,320,0.5625,10,0.5625,0.08462540004829128,0.375,1
A6_vrex_only_recheck,EMG,valence,6,0.5118134877171022,0.5351551144150505,0.5125,0.0,320,0.5125,10,0.5125,0.11895085353016831,0.375,3
A6_vrex_only_recheck,EMG,arousal,1,0.5563025210084034,0.5633422292510954,0.5568181818181818,0.0,352,0.5568181818181818,11,0.5568181818181818,0.1309656009659164,0.375,3
