global_run_id,method,modality,task,fold,macro_f1,balanced_accuracy,accuracy,ce_loss_start,ce_loss_end,ce_loss_delta,ce_loss_relative_delta,supcon_loss_start,supcon_loss_end,supcon_loss_delta,supcon_loss_relative_delta,vrex_loss_start,vrex_loss_end,vrex_loss_delta,vrex_loss_relative_delta,total_loss_start,total_loss_end,total_loss_delta,total_loss_relative_delta,active_lambda_supcon_start,active_lambda_supcon_end,active_lambda_supcon_delta,active_lambda_supcon_relative_delta,active_lambda_vrex_start,active_lambda_vrex_end,active_lambda_vrex_delta,active_lambda_vrex_relative_delta,vrex_environment_count_start,vrex_environment_count_end,vrex_environment_count_delta,vrex_environment_count_relative_delta,design_run_id,fold_embedding,seed,same_class_cross_subject_distance_mean,diff_class_cross_subject_distance_mean,distance_margin_diff_minus_same
21,CE_plus_SupCon,EMG,arousal,3,0.4746246547440863,0.481322102179088,0.48046875,0.6972984075546265,0.6916365027427673,-0.005661904811859131,-0.008119773041953457,7.738894939422607,7.282633304595947,-0.45626163482666016,-0.058956949073235704,0.0,0.0,0.0,,0.6972984075546265,1.419899821281433,0.7226014137268066,1.0362871991360427,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,8,3,11,0.3477097153663635,0.3473439812660217,-0.0003657341003417
22,CE_plus_SupCon,EMG,arousal,4,0.5185574229691876,0.5335081585081585,0.5272727272727272,0.6965393424034119,0.6929211020469666,-0.0036182403564453125,-0.0051945958199009394,7.975382328033447,7.2815985679626465,-0.6937837600708008,-0.08699065844557104,0.0,0.0,0.0,,0.6965393424034119,1.4210809469223022,0.7245416045188904,1.0402019820141912,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,8,4,11,0.3382613360881805,0.3378108739852905,-0.00045046210289
23,CE_plus_SupCon,EMG,arousal,5,0.5307692307692308,0.531272210376688,0.5307692307692308,0.6960000991821289,0.6907462477684021,-0.005253851413726807,-0.007548636012984219,7.650155067443848,7.285043239593506,-0.3651118278503418,-0.04772606890076241,0.0,0.0,0.0,,0.6960000991821289,1.4192506074905396,0.7232505083084106,1.039152881096287,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,8,5,11,0.4562259614467621,0.4558679759502411,-0.0003579854965209
24,CE_plus_SupCon,EMG,arousal,6,0.4843167188655786,0.5094350961538462,0.5077519379844961,0.6966493129730225,0.6908432841300964,-0.005806028842926025,-0.008334220295356642,7.704202651977539,7.268462657928467,-0.43573999404907227,-0.05655873991544409,0.0,0.0,0.0,,0.6966493129730225,1.417689561843872,0.7210402488708496,1.0350117849018416,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,8,6,11,0.3349469900131225,0.3349221050739288,-2.4884939193725583e-05
25,CE_plus_VREx,EEG,valence,1,0.5245974662317074,0.5246206174777603,0.5270758122743683,0.6984605193138123,0.674855649471283,-0.023604869842529297,-0.033795567809214756,0.0,0.0,0.0,,0.0001649310870561,0.0001723060559015,7.374968845399999e-06,0.04471545647965966,0.6984605193138123,0.6748642921447754,-0.023596227169036865,-0.03378319391941935,0.0,0.0,0.0,,0.0,0.05,0.05,,52,52,0,0.0,9,1,11,0.6551940441131592,0.6538182497024536,-0.0013757944107055
26,CE_plus_VREx,EEG,valence,2,0.4627345646307955,0.4641273282743667,0.4631578947368421,0.6966059803962708,0.6741753816604614,-0.022430598735809326,-0.03219983658918557,0.0,0.0,0.0,,0.0001863575453171,0.0002918998361565,0.00010554229083939998,0.5663429975953623,0.6966059803962708,0.6741899847984314,-0.022415995597839355,-0.032178873321024044,0.0,0.0,0.0,,0.0,0.05,0.05,,52,52,0,0.0,9,2,11,0.8232508301734924,0.823074221611023,-0.0001766085624694
27,CE_plus_VREx,EEG,valence,3,0.5017608350988453,0.5023293668612483,0.50187265917603,0.6943899393081665,0.6610853672027588,-0.033304572105407715,-0.04796234827162052,0.0,0.0,0.0,,0.0001388346281601,0.0005573605885729,0.00041852596041279996,3.014564636786207,0.6943899393081665,0.6611132621765137,-0.03327667713165283,-0.047922176356424456,0.0,0.0,0.0,,0.0,0.05,0.05,,52,52,0,0.0,9,3,11,0.799115777015686,0.7988033890724182,-0.0003123879432678
28,CE_plus_VREx,EEG,valence,4,0.4993863445513856,0.5065957991803278,0.504,0.6949189901351929,0.6668857336044312,-0.02803325653076172,-0.04034032301420917,0.0,0.0,0.0,,0.0001335141423624,0.0004838671302422,0.00035035298787980005,2.6240889667615153,0.6949189901351929,0.66690993309021,-0.02800905704498291,-0.04030549955115472,0.0,0.0,0.0,,0.0,0.05,0.05,,53,53,0,0.0,9,4,11,0.7863573431968689,0.7855560779571533,-0.0008012652397155
29,CE_plus_VREx,EEG,valence,5,0.4995349213410442,0.5243155427719186,0.509090909090909,0.6945649981498718,0.6714308261871338,-0.023134171962738037,-0.03330742554600512,0.0,0.0,0.0,,5.986711039440706e-05,0.0003024745965376,0.0002426074861431929,4.052433540634992,0.6945649981498718,0.6714459657669067,-0.023119032382965088,-0.03328562833506982,0.0,0.0,0.0,,0.0,0.05,0.05,,53,53,0,0.0,9,5,11,0.7850050926208496,0.784354031085968,-0.0006510615348815
30,CE_plus_VREx,EEG,valence,6,0.4475249116039859,0.4632844855049378,0.4545454545454545,0.6940330266952515,0.6737714409828186,-0.02026158571243286,-0.02919397915242106,0.0,0.0,0.0,,4.868042015004903e-05,0.0001846548402681,0.00013597442011805097,2.793205557777299,0.6940330266952515,0.6737806797027588,-0.020252346992492676,-0.029180667509336615,0.0,0.0,0.0,,0.0,0.05,0.05,,53,53,0,0.0,9,6,11,0.7648134231567383,0.7656553387641907,0.0008419156074523
