model,modality,task,subject_id,mean_error,max_error,n_rows,hard_subject_flag
mean_baseline_no_training,EEG,arousal,20,0.2540322580645161,0.2540322580645161,1,False
mean_baseline_no_training,EEG,arousal,28,0.2540322580645161,0.2540322580645161,1,False
mean_baseline_no_training,EEG,arousal,32,0.2540322580645161,0.2540322580645161,1,False
mean_baseline_no_training,EEG,arousal,36,0.2540322580645161,0.2540322580645161,1,False
mean_baseline_no_training,EEG,arousal,38,0.2540322580645161,0.2540322580645161,1,False
mean_baseline_no_training,EEG,arousal,45,0.2540322580645161,0.2540322580645161,1,False
mean_baseline_no_training,EEG,arousal,59,0.2540322580645161,0.2540322580645161,1,False
mean_baseline_no_training,EEG,arousal,65,0.2540322580645161,0.2540322580645161,1,False
mean_baseline_no_training,EEG,valence,10,0.2540322580645161,0.2540322580645161,1,False
mean_baseline_no_training,EEG,valence,11,0.2540322580645161,0.2540322580645161,1,False
mean_baseline_no_training,EEG,valence,12,0.2540322580645161,0.2540322580645161,1,False
mean_baseline_no_training,EEG,valence,17,0.2540322580645161,0.2540322580645161,1,False
mean_baseline_no_training,EEG,valence,19,0.2540322580645161,0.2540322580645161,1,False
mean_baseline_no_training,EEG,valence,23,0.2540322580645161,0.2540322580645161,1,False
mean_baseline_no_training,EEG,valence,25,0.2540322580645161,0.2540322580645161,1,False
mean_baseline_no_training,EEG,valence,27,0.2540322580645161,0.2540322580645161,1,False
