source_group,source_name,modality,variant,task,label_policy,recipe,level,fold_id,n,default_macro_f1,default_balanced_accuracy,default_accuracy,default_pred_0,default_pred_1,best_threshold,best_macro_f1,best_balanced_accuracy,best_accuracy,best_pred_0,best_pred_1,threshold_one_class,macro_f1_gain,balanced_accuracy_gain
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,arousal,midpoint_as_high,balanced_sampler_ce,fold,4,320,0.5467643467643467,0.5502463054187192,0.546875,150,170,0.6,0.5540400296515937,0.5539901477832512,0.559375,180,140,False,0.007275682887247004,0.0037438423645319574
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,arousal,midpoint_as_high,balanced_sampler_ce,fold,5,320,0.5330571632830938,0.5331372549019608,0.534375,167,153,0.47620636224746693,0.5370478983382209,0.5376470588235294,0.5375,160,160,False,0.003990735055127037,0.004509803921568523
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,arousal,midpoint_as_high,balanced_sampler_ce,fold,6,320,0.530791788856305,0.5708726610365955,0.53125,112,208,0.6,0.5537397862979259,0.5706242755423083,0.55625,146,174,False,0.022947997441620904,-0.00024838549428718437
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,arousal,midpoint_as_high,ce_class_weighted,fold,1,352,0.4964508184847168,0.5147112121511648,0.5511363636363636,267,85,0.28,0.5755857529246913,0.5774768541398965,0.5795454545454546,185,167,False,0.07913493443997449,0.06276564198873169
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,arousal,midpoint_as_high,ce_class_weighted,fold,2,352,0.48282500759955416,0.5346072186836518,0.5056818181818182,83,269,0.7446532279253005,0.5260129758844412,0.5260329903642005,0.53125,194,158,False,0.043187968284887024,-0.008574228319451316
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,arousal,midpoint_as_high,ce_class_weighted,fold,3,352,0.4907407407407407,0.5133206316401331,0.5170454545454546,99,253,0.64,0.5161334927568061,0.5185358607549972,0.5198863636363636,148,204,False,0.02539275201606539,0.005215229114864162
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,arousal,midpoint_as_high,ce_class_weighted,fold,4,320,0.519117305927323,0.5222660098522167,0.534375,202,118,0.33,0.5681427006728211,0.5773399014778325,0.56875,133,187,False,0.04902539474549816,0.05507389162561582
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,arousal,midpoint_as_high,ce_class_weighted,fold,5,320,0.5180722891566265,0.5231372549019608,0.51875,138,182,0.44,0.531571451178984,0.5466666666666666,0.5375,114,206,False,0.013499162022357458,0.0235294117647058
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,arousal,midpoint_as_high,ce_class_weighted,fold,6,320,0.528009768009768,0.5557625434674615,0.528125,127,193,0.73,0.5797720797720798,0.5808908759728432,0.63125,234,86,False,0.05176231176231183,0.025128332505381712
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,valence,midpoint_as_high,balanced_sampler_ce,fold,1,352,0.47940741483468274,0.5341669137754934,0.4971590909090909,266,86,0.28556315153837203,0.5356847322928188,0.5360778887021844,0.5426136363636364,158,194,False,0.05627731745813602,0.0019109749266910114
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,valence,midpoint_as_high,balanced_sampler_ce,fold,2,352,0.421399257590107,0.5028484366719661,0.5710227272727273,25,327,0.76,0.522861771415347,0.5229199788023318,0.5340909090909091,150,202,False,0.10146251382523996,0.02007154213036566
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,valence,midpoint_as_high,balanced_sampler_ce,fold,3,352,0.4640461552389653,0.4651440287721421,0.4744318181818182,162,190,0.36000000000000004,0.48300396647405963,0.4877987294544721,0.5255681818181818,110,242,False,0.018957811235094324,0.022654700682329998
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,valence,midpoint_as_high,balanced_sampler_ce,fold,4,320,0.4846008799497171,0.4906882591093117,0.4875,166,154,0.37,0.5154062490342121,0.5159919028340081,0.540625,117,203,False,0.030805369084494938,0.0253036437246964
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,valence,midpoint_as_high,balanced_sampler_ce,fold,5,320,0.5153962645128722,0.5248764483574899,0.521875,162,158,0.48000000000000004,0.5258127716283278,0.533307031022883,0.534375,156,164,False,0.010416507115455609,0.008430582665393094
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,valence,midpoint_as_high,balanced_sampler_ce,fold,6,320,0.534400332571191,0.544810831014577,0.540625,162,158,0.48000000000000004,0.5560479484185207,0.5632916649362516,0.565625,152,168,False,0.02164761584732966,0.018480833921674655
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,valence,midpoint_as_high,ce_class_weighted,fold,1,352,0.5053864168618267,0.5054363941880003,0.5142045454545454,154,198,0.4165318444371223,0.5279579018842302,0.5303614378438931,0.5511363636363636,123,229,False,0.02257148502240347,0.024925043655892765
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,valence,midpoint_as_high,ce_class_weighted,fold,2,352,0.4449313946344461,0.5019872813990461,0.5625,42,310,0.73,0.5160295103957075,0.5164281928987812,0.5340909090909091,136,216,False,0.07109811576126146,0.014440911499735032
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,valence,midpoint_as_high,ce_class_weighted,fold,3,352,0.48151158065826893,0.48179893112836547,0.5056818181818182,135,217,0.5800000000000001,0.49277877845095786,0.49588249134482876,0.5,169,183,False,0.011267197792688921,0.014083560216463287
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,valence,midpoint_as_high,ce_class_weighted,fold,4,320,0.4592429792429793,0.47307692307692306,0.459375,185,135,0.34227864146232606,0.5389423272048379,0.5388663967611336,0.55625,128,192,False,0.07969934796185862,0.06578947368421051
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,valence,midpoint_as_high,ce_class_weighted,fold,5,320,0.42397390379011646,0.4966360729266166,0.434375,242,78,0.29000000000000004,0.5038458030584014,0.5054404252668301,0.521875,138,182,False,0.07987189926828497,0.008804352340213484
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,valence,midpoint_as_high,ce_class_weighted,fold,6,320,0.5856584661571427,0.5881265833298726,0.646875,76,244,0.52,0.5873282870759743,0.5879604634743968,0.640625,84,236,False,0.0016698209188316104,-0.0001661198554757659
