source_id,family,modality,representation,task,policy,recipe,subject_id,n,accuracy,balanced_accuracy,macro_f1,majority_accuracy,true_0,true_1,pred_0,pred_1,tn,fp,fn,tp,one_class_pred,prob1_mean,prob1_std,prob1_q05,prob1_median,prob1_q95,brier,ece_10,best_threshold,best_threshold_macro_f1,best_threshold_balanced_accuracy,best_threshold_accuracy,best_threshold_pred_0,best_threshold_pred_1,threshold_macro_f1_gain,threshold_balanced_accuracy_gain,prediction_skew_abs
label_emg_mainline,label_policy_ablation,EMG,feature-only,valence,discard_midpoint,balanced_sampler_ce,33,25,0.24,0.24358974358974358,0.23510466988727857,0.52,12,13,15,10,4,8,11,2,False,0.5069888687133789,0.03750901641767222,0.4643715322017669,0.4941186010837555,0.5875294089317321,0.2640499411688876,0.2864286994934082,0.48499999999999993,0.533106960950764,0.5512820512820513,0.56,7,18,0.29800229106348547,0.3076923076923077,0.09999999999999998
label_eeg_mainline,label_policy_ablation,EEG,STIM-BSL-only,arousal,discard_midpoint,ce_class_weighted,41,32,0.3125,0.15625,0.23809523809523808,1.0,32,0,10,22,10,22,0,0,False,0.6434731300541898,0.36859720753932984,0.028634252399206122,0.791051059961319,0.9864487618207931,0.549921570507528,0.5593289766839007,0.989261507987976,0.49206349206349204,0.484375,0.96875,31,1,0.25396825396825395,0.328125,0.1875
broader_eeg_bsl_stats,broader_primary,EEG,STIM-BSL-plus-BSL-stats,valence,midpoint_as_high,ce_class_weighted,37,32,0.3125,0.4166666666666667,0.23809523809523808,0.625,12,20,30,2,10,2,20,0,False,,,,,,,,,,,,0,0,,,0.4375
label_eeg_mainline,label_policy_ablation,EEG,STIM-BSL-only,valence,midpoint_as_high,balanced_sampler_ce,23,32,0.3125,0.4166666666666667,0.23809523809523808,0.625,12,20,30,2,10,2,20,0,False,0.19351846282370383,0.17894081696311642,0.04397746473550795,0.12735537067055697,0.5804205492138861,0.4885852074173266,0.5195058069657534,0.0537166967988014,0.5362318840579711,0.55,0.625,6,26,0.298136645962733,0.13333333333333336,0.4375
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,valence,midpoint_as_high,ce_class_weighted,25,32,0.3125,0.2777777777777778,0.2380952380952381,0.5625,14,18,8,24,0,14,8,10,False,,,,,,,,,,,,0,0,,,0.25
broader_emg_feature_only,broader_primary,EMG,feature-only,arousal,midpoint_as_high,ce_class_weighted,3,32,0.25,0.5384615384615384,0.23809523809523814,0.8125,26,6,2,30,2,24,0,6,False,0.5885673575103283,0.05453924155230269,0.49542124271392823,0.5915892422199249,0.6722776293754578,0.32085784969481446,0.34352632611989975,0.6799999999999999,0.5989974937343359,0.5833333333333334,0.84375,31,1,0.3609022556390977,0.044871794871794934,0.4375
label_emg_mainline,label_policy_ablation,EMG,feature-only,arousal,midpoint_as_high,ce_class_weighted,3,32,0.25,0.5384615384615384,0.23809523809523814,0.8125,26,6,2,30,2,24,0,6,False,0.5885673575103283,0.05453924155230269,0.49542124271392823,0.5915892422199249,0.6722776293754578,0.32085784969481446,0.34352632611989975,0.6799999999999999,0.5989974937343359,0.5833333333333334,0.84375,31,1,0.3609022556390977,0.044871794871794934,0.4375
label_eeg_mainline,label_policy_ablation,EEG,STIM-BSL-only,arousal,discard_midpoint,balanced_sampler_ce,12,26,0.2692307692307692,0.23202614379084968,0.2411674347158218,0.6538461538461539,17,9,14,12,6,11,8,1,False,0.4380471909490342,0.3700290464182834,0.023331100586801726,0.38853114843368525,0.9512893110513687,0.5423011795866451,0.5800926986580285,0.9249999999999999,0.48115299334811523,0.5261437908496732,0.6538461538461539,24,2,0.23998555863229343,0.29411764705882354,0.038461538461538436
broader_emg_feature_only,broader_primary,EMG,feature-only,valence,midpoint_as_high,balanced_sampler_ce,12,32,0.28125,0.5208333333333334,0.2451282051282051,0.75,8,24,31,1,8,0,23,1,False,0.41656484082341194,0.06574055363585583,0.3127281218767166,0.4316098988056183,0.4841831028461456,0.2887725004302939,0.30724142864346504,0.35999999999999993,0.6666666666666667,0.6666666666666667,0.75,8,24,0.42153846153846164,0.14583333333333337,0.46875
label_emg_mainline,label_policy_ablation,EMG,feature-only,valence,midpoint_as_high,balanced_sampler_ce,12,32,0.28125,0.5208333333333334,0.2451282051282051,0.75,8,24,31,1,8,0,23,1,False,0.41656484082341194,0.06574055363585583,0.3127281218767166,0.4316098988056183,0.4841831028461456,0.2887725004302939,0.30724142864346504,0.35999999999999993,0.6666666666666667,0.6666666666666667,0.75,8,24,0.42153846153846164,0.14583333333333337,0.46875
label_emg_mainline,label_policy_ablation,EMG,feature-only,arousal,midpoint_as_low,balanced_sampler_ce,14,32,0.28125,0.3833333333333333,0.24512820512820513,0.9375,30,2,9,23,8,22,1,1,False,0.5721833510324359,0.09601401958914609,0.45652518123388286,0.547436535358429,0.7652106195688247,0.33653107970070617,0.3064651684835553,0.8099999999999999,0.4838709677419355,0.5,0.9375,32,0,0.23874276261373037,0.1166666666666667,0.21875
broader_eeg_bsl_stats,broader_primary,EEG,STIM-BSL-plus-BSL-stats,arousal,midpoint_as_high,ce_class_weighted,19,32,0.28125,0.466183574879227,0.24512820512820513,0.71875,9,23,30,2,8,1,22,1,False,,,,,,,,,,,,0,0,,,0.4375
label_emg_mainline,label_policy_ablation,EMG,feature-only,valence,midpoint_as_low,ce_class_weighted,37,32,0.28125,0.466183574879227,0.24512820512820513,0.71875,23,9,2,30,1,22,1,8,False,0.553823665715754,0.03108802087840159,0.5081978023052215,0.5583560168743134,0.589324775338173,0.29041261694681186,0.27697261702269316,0.595,0.41818181818181815,0.5,0.71875,32,0,0.17305361305361303,0.033816425120772986,0.4375
broader_eeg_bsl_stats,broader_primary,EEG,STIM-BSL-plus-BSL-stats,arousal,midpoint_as_high,ce_class_weighted,17,32,0.25,0.375,0.24705882352941178,0.75,24,8,6,26,3,21,3,5,False,,,,,,,,,,,,0,0,,,0.3125
label_emg_mainline,label_policy_ablation,EMG,feature-only,arousal,midpoint_as_low,ce_class_weighted,65,32,0.25,0.375,0.24705882352941178,0.75,24,8,6,26,3,21,3,5,False,0.543793547898531,0.061289092626608754,0.4392383053898811,0.5437033772468567,0.6589184254407883,0.29775490389563847,0.31226813793182373,0.69,0.42857142857142855,0.5,0.75,32,0,0.18151260504201677,0.125,0.3125
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,ce_class_weighted,22,32,0.25,0.2591093117408907,0.25,0.59375,19,13,13,19,4,15,9,4,False,,,,,,,,,,,,0,0,,,0.09375
