global_run_id,design_run_id,stage,method,modality,task,fold,seed,label_formulation,recipe,hyperparameter_tag,n_train,n_val,train_subject_count,val_subject_count,val_subjects,epochs,lr,hidden_dim,projection_dim,tau,lambda_supcon,lambda_vrex,warmup_epochs,positive_pair_coverage_train,row_overlap,subject_overlap,final_accuracy,final_balanced_accuracy,final_macro_f1,majority_accuracy,one_class_pred,pred_count_0,pred_count_1,tp,tn,fp,fn
40,11,first_pass_dg_probe,CE_plus_VREx,EMG,valence,4,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1379,250,53,10,1 3 19 25 36 40 42 53 55 61,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.492,0.4923796106557377,0.4919918718699499,0.512,False,121,129,62,61,67,60
41,11,first_pass_dg_probe,CE_plus_VREx,EMG,valence,5,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1354,275,53,10,14 23 24 27 29 30 37 56 60 64,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.5636363636363636,0.5550495365931608,0.5537163258682245,0.5418181818181819,False,108,167,98,57,69,51
42,11,first_pass_dg_probe,CE_plus_VREx,EMG,valence,6,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1354,275,53,10,12 15 16 18 21 22 32 33 41 50,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.5563636363636364,0.5578209620898376,0.5563108336859924,0.5309090909090909,False,132,143,75,78,68,54
43,12,first_pass_dg_probe,CE_plus_VREx,EMG,arousal,1,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1350,293,51,11,6 7 8 13 28 45 50 54 58 63 65,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.4641638225255973,0.4706766917293233,0.46376406131608083,0.5460750853242321,False,125,168,72,64,96,61
44,12,first_pass_dg_probe,CE_plus_VREx,EMG,arousal,2,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1342,301,51,11,2 5 11 17 26 31 34 41 44 46 49,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.44518272425249167,0.45527950310559007,0.4380121862597127,0.5348837209302325,False,106,195,84,50,111,56
45,12,first_pass_dg_probe,CE_plus_VREx,EMG,arousal,3,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1387,256,52,10,9 10 20 35 36 39 47 48 59 62,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.51953125,0.5198986754562657,0.5186425131850493,0.50390625,False,116,140,72,61,68,55
46,12,first_pass_dg_probe,CE_plus_VREx,EMG,arousal,4,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1368,275,52,10,1 3 19 25 40 43 53 55 57 61,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.5563636363636364,0.5527389277389277,0.5506535947712419,0.52,False,112,163,92,61,71,51
47,12,first_pass_dg_probe,CE_plus_VREx,EMG,arousal,5,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1383,260,52,10,14 23 24 27 29 30 38 56 60 64,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.5038461538461538,0.5072850035536602,0.4992161254199329,0.5153846153846153,False,101,159,78,53,81,48
48,12,first_pass_dg_probe,CE_plus_VREx,EMG,arousal,6,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1385,258,52,10,12 15 16 18 21 22 32 33 42 52,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.5310077519379846,0.5302884615384615,0.5265624289115698,0.5038759689922481,False,153,105,56,81,49,72
49,13,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,valence,1,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1352,277,52,11,6 7 8 13 28 38 43 54 58 59 65,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.5270758122743683,0.5259549973835689,0.5258646596892843,0.5306859205776173,False,144,133,66,80,67,64
50,13,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,valence,2,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1344,285,52,11,2 5 11 17 26 31 34 44 46 49 63,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.4456140350877193,0.44510692815610525,0.4450606329488317,0.512280701754386,False,148,137,59,68,78,80
51,13,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,valence,3,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1362,267,52,11,9 10 20 35 39 45 47 48 52 57 62,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.4419475655430712,0.44140098787606646,0.44116366292545195,0.5093632958801498,False,141,126,54,64,72,77
52,13,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,valence,4,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1379,250,53,10,1 3 19 25 36 40 42 53 55 61,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.52,0.5243340163934427,0.506059009483667,0.512,False,80,170,86,44,84,36
53,13,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,valence,5,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1354,275,53,10,14 23 24 27 29 30 37 56 60 64,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.4909090909090909,0.5118248641738574,0.4680557090748314,0.5418181818181819,False,206,69,39,96,30,110
54,13,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,valence,6,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1354,275,53,10,12 15 16 18 21 22 32 33 41 50,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.4909090909090909,0.5083625358394392,0.45670580266425825,0.5309090909090909,False,60,215,102,33,113,27
55,14,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,arousal,1,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1350,293,51,11,6 7 8 13 28 45 50 54 58 63 65,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.5221843003412969,0.5054041353383458,0.49582104228121926,0.5460750853242321,False,200,93,43,110,50,90
56,14,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,arousal,2,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1342,301,51,11,2 5 11 17 26 31 34 41 44 46 49,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.47840531561461797,0.4812111801242236,0.47838228638917407,0.5348837209302325,False,138,163,73,71,90,67
57,14,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,arousal,3,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1387,256,52,10,9 10 20 35 36 39 47 48 59 62,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.5078125,0.5079045351889153,0.50778245742538,0.50390625,False,125,131,66,64,65,61
58,14,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,arousal,4,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1368,275,52,10,1 3 19 25 40 43 53 55 57 61,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.5418181818181819,0.5323426573426574,0.509095545732744,0.52,False,72,203,110,39,93,33
