subject_id,modality,task,label_policy,n,correct,errors,accuracy,error_rate,n_sources,n_recipes,n_folds,variants,recipes,hard_subject_flag
6,EEG,valence,midpoint_as_low,64,28,36,0.4375,0.5625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
9,EEG,valence,midpoint_as_low,64,28,36,0.4375,0.5625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
10,EMG,valence,midpoint_as_low,64,28,36,0.4375,0.5625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
20,EMG,arousal,midpoint_as_low,64,28,36,0.4375,0.5625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
22,EEG,valence,midpoint_as_low,64,28,36,0.4375,0.5625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
36,EEG,arousal,midpoint_as_low,64,28,36,0.4375,0.5625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
36,EEG,valence,midpoint_as_low,64,28,36,0.4375,0.5625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
48,EEG,arousal,midpoint_as_low,64,28,36,0.4375,0.5625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
58,EMG,valence,midpoint_as_low,64,28,36,0.4375,0.5625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
60,EMG,valence,midpoint_as_low,64,28,36,0.4375,0.5625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
63,EMG,arousal,midpoint_as_low,64,28,36,0.4375,0.5625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
13,EEG,valence,discard_midpoint,48,21,27,0.4375,0.5625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
48,EMG,valence,discard_midpoint,50,22,28,0.44,0.56,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
23,EEG,valence,discard_midpoint,52,23,29,0.4423076923076923,0.5576923076923077,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
7,EEG,valence,midpoint_as_high,192,85,107,0.4427083333333333,0.5572916666666667,3,2,1,"bsl_stats,mainline_label_policy_ablation,stim_bsl_only","balanced_sampler_ce,ce_class_weighted",True
10,EEG,arousal,midpoint_as_high,192,85,107,0.4427083333333333,0.5572916666666667,3,2,1,"bsl_stats,mainline_label_policy_ablation,stim_bsl_only","balanced_sampler_ce,ce_class_weighted",True
37,EMG,arousal,midpoint_as_high,192,85,107,0.4427083333333333,0.5572916666666667,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
56,EMG,valence,midpoint_as_high,192,85,107,0.4427083333333333,0.5572916666666667,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
58,EMG,valence,midpoint_as_high,192,85,107,0.4427083333333333,0.5572916666666667,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
1,EMG,valence,discard_midpoint,54,24,30,0.4444444444444444,0.5555555555555556,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
36,EMG,arousal,discard_midpoint,54,24,30,0.4444444444444444,0.5555555555555556,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
48,EEG,arousal,discard_midpoint,54,24,30,0.4444444444444444,0.5555555555555556,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
58,EMG,valence,discard_midpoint,54,24,30,0.4444444444444444,0.5555555555555556,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
47,EMG,valence,discard_midpoint,56,25,31,0.44642857142857145,0.5535714285714286,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
1,EMG,valence,midpoint_as_high,192,86,106,0.4479166666666667,0.5520833333333333,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
3,EEG,valence,midpoint_as_high,192,86,106,0.4479166666666667,0.5520833333333333,3,2,1,"bsl_stats,mainline_label_policy_ablation,stim_bsl_only","balanced_sampler_ce,ce_class_weighted",True
14,EEG,arousal,midpoint_as_high,192,86,106,0.4479166666666667,0.5520833333333333,3,2,1,"bsl_stats,mainline_label_policy_ablation,stim_bsl_only","balanced_sampler_ce,ce_class_weighted",True
