subject_col,stimulus_id,eeg_file,eeg_begin_raw,energy_ratio_gt_40hz,energy_ratio_45_64hz,energy_ratio_gt_64hz,line_50hz_energy_ratio,line_100hz_energy_ratio,stride_vs_poly_z_nrmse,stride_vs_poly_z_corr,status
sbj_P_03,Dummy_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,212000.0,0.05940246417330947,0.029741322247676966,0.0040120284231051125,0.005543274830936749,4.441018713101002e-05,0.05103152346418986,0.9986978918064595,passed
sbj_P_03,3053,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,224907.0,0.04987397640656165,0.026455661361459295,0.002745847429621477,0.004277226449601304,4.202676167829428e-06,0.05452818037005315,0.9985133387727627,passed
sbj_P_03,Tumor_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,233661.0,0.01223168548677936,0.005546365211901657,0.0008613635833922416,0.0008881556469623658,2.5942127755575526e-06,0.02494837737237401,0.9996887892332422,passed
sbj_P_03,Dog_18,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,244928.0,0.03047703133696689,0.014159780154236658,0.0019035809260346667,0.0031540581210544472,1.3577958756451365e-05,0.0353811983274064,0.9993740854024562,passed
sbj_P_03,Miserable_pose_3,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,254512.0,0.03726885064763593,0.019354463232747598,0.0020705852126257523,0.0034987579679145882,8.37874784321328e-06,0.04309018358197706,0.9990716180394342,passed
sbj_P_03,Pinecone_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,264450.0,0.04487543398756658,0.02254723741488082,0.0022450369818140465,0.001774654306665184,1.318165563312987e-05,0.0424961273503834,0.9990970395801083,passed
sbj_P_03,Garbage_dump_6,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,273293.0,0.05038975921577314,0.02604286396999898,0.0023898320369916026,0.005454369016552153,1.3623061082585363e-05,0.04106275030305281,0.9991569252687735,passed
sbj_P_03,Depressed_pose_4,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,283478.0,0.06814660436416951,0.03006603647709678,0.0026172760834067966,0.0046793746889821726,1.2350502574040895e-05,0.04746503844662888,0.9988735350626277,passed
sbj_P_03,Angry_face_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,292147.0,0.041878430551418815,0.020360209183188118,0.0013192079260304177,0.0014234717323327636,7.260430540339188e-06,0.04603885998944952,0.9989402116854338,passed
sbj_P_03,Dog_26,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,302306.0,0.017572984755523907,0.007327439166163032,0.0005607011219265141,0.000786739676845466,1.9466778711859794e-06,0.03968632233490373,0.9992124979097633,passed
sbj_P_03,8370,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,311428.0,0.0012577852692780005,0.00062774404803568,0.00018738334563514543,0.0001109231081465671,2.4785934756458876e-06,0.020793760286889573,0.9997838097665656,passed
