modality,task,fold,seed,candidate,base_feature_block,description,leakage_risk,transform_note,feature_dim,n_train,n_val,train_class0,train_class1,val_class0,val_class1,domain_shift_mean_abs_z,domain_shift_centroid_l2,train_class_separation,val_class_separation,val_train_separation_ratio,train_pos_rate,val_pos_rate,val_balance_gap
EMG,valence,3,11,emg_signed_log1p_train_standard_scaled,emg_signed_log1p_features,signed log1p EMG features plus train-only standard scaling,low,train-only standard scaling,22,1362,267,693,669,136,131,0.11284922808408737,0.1318356841802597,0.04767318069934845,0.17617376148700714,3.6953705108856725,0.4911894273127753,0.49063670411985016,0.009363295880149836
EMG,valence,4,11,emg_raw_features,emg_raw_features,raw EMG features,low,deterministic record-level or raw feature transform,22,1379,250,701,678,128,122,0.14690962433815002,0.1994291990995407,0.04233648627996445,0.12529325485229492,2.9593928657873105,0.4916606236403191,0.488,0.01200000000000001
EMG,valence,4,11,emg_train_standard_scaled,emg_raw_features,train-only standard scaling on EMG features,low,train-only standard scaling,22,1379,250,701,678,128,122,0.14690975844860077,0.19942907989025116,0.042336612939834595,0.12529303133487701,2.9593787328758765,0.4916606236403191,0.488,0.01200000000000001
EMG,valence,4,11,emg_train_robust_scaled,emg_raw_features,train-only robust scaling on EMG features,low,train-only robust scaling,22,1379,250,701,678,128,122,0.14690980315208435,0.19942910969257355,0.042336657643318176,0.1252933144569397,2.959382295366871,0.4916606236403191,0.488,0.01200000000000001
EMG,valence,4,11,emg_record_l2_normalized,emg_record_l2_normalized,per-record L2 normalization on EMG features,low,deterministic record-level or raw feature transform,22,1379,250,701,678,128,122,0.12084697932004929,0.16297052800655365,0.07158227264881134,0.15200065076351166,2.1234101926190108,0.4916606236403191,0.488,0.01200000000000001
EMG,valence,4,11,emg_signed_log1p_train_standard_scaled,emg_signed_log1p_features,signed log1p EMG features plus train-only standard scaling,low,train-only standard scaling,22,1379,250,701,678,128,122,0.12164199352264404,0.15537793934345245,0.03346732631325722,0.10324716567993164,3.0849216872561134,0.4916606236403191,0.488,0.01200000000000001
EMG,valence,5,11,emg_raw_features,emg_raw_features,raw EMG features,low,deterministic record-level or raw feature transform,22,1354,275,703,651,126,149,1.8373852968215942,3.346280097961426,0.03978338465094566,0.12422631680965424,3.1224893359435537,0.4807976366322009,0.5418181818181819,0.041818181818181865
EMG,valence,5,11,emg_train_standard_scaled,emg_raw_features,train-only standard scaling on EMG features,low,train-only standard scaling,22,1354,275,703,651,126,149,1.8373844623565674,3.3462774753570557,0.039783164858818054,0.1242263913154602,3.1225084592400525,0.4807976366322009,0.5418181818181819,0.041818181818181865
EMG,valence,5,11,emg_train_robust_scaled,emg_raw_features,train-only robust scaling on EMG features,low,train-only robust scaling,22,1354,275,703,651,126,149,1.8373851776123047,3.3462791442871094,0.039783213287591934,0.1242264062166214,3.1225050328031907,0.4807976366322009,0.5418181818181819,0.041818181818181865
EMG,valence,5,11,emg_record_l2_normalized,emg_record_l2_normalized,per-record L2 normalization on EMG features,low,deterministic record-level or raw feature transform,22,1354,275,703,651,126,149,0.3926575481891632,0.6122516393661499,0.0729031041264534,0.11991355568170547,1.6448121421767063,0.4807976366322009,0.5418181818181819,0.041818181818181865
EMG,valence,5,11,emg_signed_log1p_train_standard_scaled,emg_signed_log1p_features,signed log1p EMG features plus train-only standard scaling,low,train-only standard scaling,22,1354,275,703,651,126,149,0.42754900455474854,0.5025537014007568,0.04296685755252838,0.11817464232444763,2.750303344307513,0.4807976366322009,0.5418181818181819,0.041818181818181865
EMG,valence,6,11,emg_raw_features,emg_raw_features,raw EMG features,low,deterministic record-level or raw feature transform,22,1354,275,683,671,146,129,0.11567422747612,0.18066225945949554,0.03899968042969704,0.11376792192459106,2.917075309228774,0.49556868537666177,0.4690909090909091,0.030909090909090886
EMG,valence,6,11,emg_train_standard_scaled,emg_raw_features,train-only standard scaling on EMG features,low,train-only standard scaling,22,1354,275,683,671,146,129,0.11567438393831253,0.18066225945949554,0.038999833166599274,0.11376539617776871,2.916999123885348,0.49556868537666177,0.4690909090909091,0.030909090909090886
EMG,valence,6,11,emg_train_robust_scaled,emg_raw_features,train-only robust scaling on EMG features,low,train-only robust scaling,22,1354,275,683,671,146,129,0.11567439883947372,0.18066222965717316,0.03899982571601868,0.11376786977052689,2.9170631052511125,0.49556868537666177,0.4690909090909091,0.030909090909090886
EMG,valence,6,11,emg_record_l2_normalized,emg_record_l2_normalized,per-record L2 normalization on EMG features,low,deterministic record-level or raw feature transform,22,1354,275,683,671,146,129,0.13194717466831207,0.1853160262107849,0.08011109381914139,0.1103610023856163,1.3775822990566684,0.49556868537666177,0.4690909090909091,0.030909090909090886
