target,model,test_subject,n,mae,rmse,pearson,spearman,ccc,y_true_std,y_pred_std,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_std,pred_dev_std
arousal,physio_eeg_bandpower_ridge,36,32,1.3292790848289828,1.5246890586396329,0.8272148015830451,0.8101865711105803,0.7445489205801658,2.54644359843292,1.6082949930674395,1.3292790848289826,1.5246890586396327,0.03240633792676257,0.056818181818181816,0.59375,1.5074025758264085,0.2085578014044214
arousal,physio_eeg_bandpower_ridge,37,32,1.3584610381420008,1.6159334819645144,0.47290459707279314,0.495042280632656,0.45287028000431206,1.346291201783626,1.697414604592378,1.3584610381420008,1.6159334819645144,-0.15331076663759033,-0.19319952422815773,0.40625,1.5138866254987768,0.3104498361036937
arousal,physio_eeg_bandpower_ridge,38,32,1.157822076642471,1.3944750175502763,0.7137816159266019,0.7130404707529916,0.6903248888863057,1.984313483298443,1.5302523978269933,1.1578220766424707,1.3944750175502763,0.045104988123088226,0.06488269794721407,0.46875,1.3855566244123854,0.23135792193007432
arousal,physio_eeg_bandpower_ridge,39,32,1.718208934608346,2.049856652332669,0.7341739207566552,0.6010254619676773,0.6384394898134167,2.9379986278928043,1.7199079219001479,1.718208934608346,2.049856652332669,-0.09467281084566537,-0.08945101311512425,0.625,1.9867742000953235,0.32017521178692715
arousal,physio_eeg_bandpower_ridge,40,32,2.639417855331402,3.1012997490782785,0.4555259080170003,0.48017477792149454,0.329169220996225,3.059309562630104,1.6932739407488144,2.639417855331402,3.1012997490782785,-0.07563350332128145,-0.09530791788856303,0.40625,2.710396573079377,0.24539230395458875
arousal,physio_eeg_bandpower_ridge,41,32,2.320593583915209,2.7663293776915028,0.4176699912020481,0.4247224121530004,0.1327053560285836,0.81967981553775,1.7101021586542602,2.320593583915209,2.7663293776915028,0.05270179690076554,-0.16038859933551994,0.125,1.4959771670373034,0.5189159639952869
arousal,physio_eeg_bandpower_ridge,42,32,2.392458616896791,2.818032711187233,0.6540918219832704,0.6700675292578407,0.3854841138620436,2.2584476831443316,1.6861130165552123,2.392458616896791,2.818032711187233,-0.10912964218208088,-0.06195014662756597,0.25,1.660115463055621,0.30754552349872255
arousal,physio_eeg_bandpower_ridge,43,32,1.7382754123866002,2.08162108554046,0.8119558370023483,0.774104752764432,0.6261444436406867,3.0045538354304786,1.4874132783151555,1.7382754123866,2.08162108554046,-0.5090765351587822,-0.46774193548387083,0.5,1.802734417937777,0.3371948191534891
arousal,physio_eeg_bandpower_ridge,44,32,2.080370741429574,2.562133607344139,0.45779275378070955,0.32474064248897533,0.3949834436683796,2.8111107680061274,1.6650922915974247,2.0803707414295736,2.562133607344139,-0.1671204044270959,-0.14224177495355825,0.40625,2.4099202277826843,0.4596513355522265
arousal,physio_eeg_bandpower_ridge,45,32,1.346024276751623,1.6524592919920935,0.630764731614224,0.6620854442988586,0.5679267471760449,1.6665364532466729,1.7071994559147827,1.346024276751623,1.6524592919920935,0.19361450635291452,0.2384749345548702,0.59375,1.4722953086219464,0.41268184614897063
arousal,physio_eeg_bandpower_ridge,46,32,1.6461771047471558,2.088828436922078,0.4019082590668963,0.48681290401863997,0.3710217931435051,1.885128891481959,1.698522829375446,1.6461771047471558,2.088828436922078,-0.18560368691574036,-0.17155425219941348,0.53125,1.9285807571028841,0.1651435254344907
arousal,physio_eeg_bandpower_ridge,47,32,2.005652360351224,2.4495592308014453,0.5379847372726064,0.4980432948649765,0.4466277286252806,2.7780880903059932,1.6201611587250981,2.005652360351224,2.4495592308014458,0.060100401403557026,0.028958944281524925,0.53125,2.3476946080537613,0.23081282900520797
arousal,physio_eeg_bandpower_ridge,48,32,1.1578335922346858,1.3420664695969111,0.782203846370479,0.7947056976721737,0.7472195571525829,2.1485369295173866,1.5840177587395001,1.1578335922346858,1.3420664695969111,0.03351160060207211,-0.002565982404692082,0.4375,1.300879429561996,0.3763938665853084
arousal,physio_eeg_bandpower_ridge,49,32,1.705165943102862,2.0487400106791513,0.4402183881579932,0.39693004315040137,0.33526243976529135,1.3831434985206705,1.7383729910420995,1.705165943102862,2.048740010679152,0.1307016695461261,0.08193566160340275,0.875,1.692520509403907,0.2701839244687082
arousal,physio_eeg_bandpower_ridge,50,32,1.3075589148610494,1.4784663778562759,0.8907292516542641,0.8744269049169794,0.7665030999984243,2.6485181588012567,1.5208172724895,1.3075589148610494,1.4784663778562759,-0.28367219765018586,-0.28958944281524923,0.40625,1.3910614610751582,0.21583431698799369
arousal,physio_eeg_bandpower_ridge,52,32,1.6467225087182848,1.998037877180764,0.48154000150627313,0.47861019355865925,0.46117865082728465,2.1277555663186503,1.6674304671292597,1.646722508718285,1.998037877180764,-0.02710913508491119,0.030794611072419827,0.5625,1.9522573515044046,0.2338925227670264
arousal,physio_eeg_bandpower_ridge,53,32,0.8728879842751598,1.084419564685654,0.8805076469265919,0.8749370540916226,0.8467399312833926,2.1863836437139756,1.687431750233598,0.8728879842751598,1.084419564685654,0.09835740045147996,0.11914581664924338,0.53125,1.0633145558549586,0.20926008799919282
arousal,physio_eeg_bandpower_ridge,54,32,1.4730618333888845,1.7068589279235344,0.6413992373476362,0.6610457048031851,0.6144286525154076,2.1928505991061042,1.6504200241885403,1.4730618333888845,1.7068589279235347,0.04923839146909663,0.0075153515117215046,0.5625,1.6942831997212953,0.2454007353185601
