target,k_calibration,model,subject_id,n,rmse,mae,pearson,stimulus_rmse_reference,lift_vs_stimulus_rmse
arousal,1,affine_residual_ridge1,56,3100,1.9541237363722577,1.6033194588969821,0.6490183295766524,1.4506540942617399,-0.5034696421105178
arousal,1,affine_residual_ridge1,57,3100,3.1366204373685203,2.5459001040582727,0.20315356077004199,2.165187693087881,-0.9714327442806394
arousal,1,affine_residual_ridge1,58,3100,1.716348675044735,1.4001248699271591,0.7026159968327746,1.5849259283581874,-0.13142274668654763
arousal,1,affine_residual_ridge1,59,3100,2.3768026201551518,1.9175754422476587,0.4463151224025739,2.0633004436471656,-0.3135021765079862
arousal,1,affine_residual_ridge1,60,3100,2.930293406610817,2.3869198751300726,0.49999851101966786,2.4181372239492838,-0.5121561826615331
arousal,1,affine_residual_ridge1,61,3100,2.4185612989278313,1.9603017689906348,0.5967411250215089,1.8678306704608287,-0.5507306284670026
arousal,1,affine_residual_ridge1,62,3100,3.1221053862576227,2.390041623309053,0.44463110162643404,2.0875129054873764,-1.0345924807702462
arousal,1,affine_residual_ridge1,63,3100,3.192240033025641,2.4946097814776276,0.4347439610494445,2.178536499945574,-1.0137035330800668
arousal,1,affine_residual_ridge1,64,3100,2.202421226629435,1.7501040582726326,0.540173389076006,1.5071979402954705,-0.6952232863339645
arousal,1,affine_residual_ridge1,65,3100,2.4555456161722216,1.9286056191467222,0.6192495947748186,2.027244406045682,-0.42830121012653954
arousal,1,affine_residual_ridge4,1,3100,2.724057650068536,2.217346514047867,0.3941385677242399,1.8742396665893948,-0.8498179834791413
arousal,1,affine_residual_ridge4,2,3100,2.1965506708134863,1.7637877211238293,0.5273081200571994,2.7402963056522385,0.5437456348387522
arousal,1,affine_residual_ridge4,3,3100,1.9632105242225502,1.525577523413111,0.4767270438795968,1.8544657816297052,-0.10874474259284495
arousal,1,affine_residual_ridge4,5,3100,2.1369539347155735,1.7653485952133192,0.5014741776118697,1.7554685413313185,-0.381485393384255
arousal,1,affine_residual_ridge4,6,3100,2.4669491969715116,2.0134963579604577,0.21237578536686724,3.7333589794235413,1.2664097824520297
arousal,1,affine_residual_ridge4,7,3100,1.8455229119600132,1.519188345473465,0.5155122226177551,1.6256112273981995,-0.21991168456181365
arousal,1,affine_residual_ridge4,8,3100,2.385666845392259,1.8446201873048906,0.5128605167542062,1.9171157332614375,-0.46855111213082146
arousal,1,affine_residual_ridge4,9,3100,2.5697347408987805,2.079177939646202,0.31348136596826526,2.181549095630896,-0.38818564526788446
arousal,1,affine_residual_ridge4,10,3100,2.4500641364598894,2.019729448491155,0.5057827706056033,1.7184087804904975,-0.7316553559693919
arousal,1,affine_residual_ridge4,11,3100,2.6230909994111853,2.1542976066597292,0.27673017786218534,2.0308030195713114,-0.5922879798398739
arousal,1,affine_residual_ridge4,12,3100,1.7121794171612494,1.3818938605619147,0.5426433782702389,1.3292963238971693,-0.3828830932640801
arousal,1,affine_residual_ridge4,13,3100,2.0201872995307784,1.6218418314255985,0.4164386069188356,2.4239573633735505,0.40377006384277214
arousal,1,affine_residual_ridge4,14,3100,1.21763776938689,0.9729760665972944,0.7641268955795455,1.7998589190531527,0.5822211496662626
