target,model,test_subject,n,mae,rmse,pearson,spearman,ccc,balanced_accuracy,macro_f1,auroc,dev_rmse,dev_mae,dev_pearson,dev_spearman,dev_sign_acc,pred_dev_std
valence,emg_expanded_ridge_residual_noaug,2,32,1.235204614937745,1.632767932139145,0.8271136796623608,0.7874100415074804,0.7933490360795492,0.8947368421052632,0.8745098039215686,0.8866396761133604,1.632767932139145,1.235204614937745,-0.2870285053648391,-0.3098075212459499,0.53125,0.2843740838737461
valence,emg_expanded_ridge_residual_noaug,3,32,1.0511982075021806,1.2087270042514524,0.8980132814629647,0.8925277807084582,0.8787329287542388,0.875,0.8423645320197044,0.9625,1.2087270042514524,1.0511982075021806,0.09892518917149075,0.11750687640157034,0.46875,0.15541161968805467
valence,emg_expanded_ridge_residual_noaug,5,32,1.389915029755682,1.7168348555828685,0.8405931131196733,0.8023004411458635,0.7851192700191233,0.84375,0.8435972629521017,0.9296875,1.7168348555828685,1.389915029755682,-0.1800495616460008,-0.15400128916729877,0.4375,0.3336941752160239
valence,emg_expanded_ridge_residual_noaug,6,32,1.0887083079737467,1.2374615789338745,0.939793192782037,0.9306974203943461,0.8918356192763343,0.9117647058823529,0.906158357771261,0.9725490196078431,1.2374615789338745,1.0887083079737467,-0.1901349636713809,-0.1497845872020037,0.4375,0.2650511157238483
valence,emg_expanded_ridge_residual_noaug,7,32,0.6464361949293842,0.8359175629179428,0.9300617799999973,0.9116402656937038,0.9166756287580509,0.875,0.8423645320197044,0.9666666666666667,0.8359175629179428,0.6464361949293842,-0.22394959720187751,-0.10524386479524708,0.4375,0.19094586384045292
valence,emg_expanded_ridge_residual_noaug,8,32,0.9317772959555377,1.1628385940837118,0.9302741334198809,0.9112685005480756,0.888195195997914,1.0,1.0,1.0,1.1628385940837118,0.9317772959555377,-0.16464142766970621,-0.13399321841630293,0.375,0.28781196691442673
valence,emg_expanded_ridge_residual_noaug,9,32,0.9887856735147109,1.2257459583402721,0.9045740680512995,0.8518591395008723,0.8683261772928337,0.8583333333333334,0.8398398398398399,0.975,1.2257459583402721,0.9887856735147109,-0.10724327333759844,-0.18480154700075854,0.40625,0.21460762404856504
valence,emg_expanded_ridge_residual_noaug,10,32,0.7558073850265166,0.9962054033946518,0.9120566103919331,0.9153325749436333,0.9069965576582102,0.875,0.8423645320197044,0.9791666666666666,0.9962054033946518,0.7558073850265166,0.13129784976212963,0.1173235583416615,0.5625,0.18841718168712884
valence,emg_expanded_ridge_residual_noaug,11,32,1.3588807654242698,1.6009272663747809,0.8887460179831529,0.8754756962326813,0.8203412058915001,0.9166666666666667,0.906158357771261,0.9563492063492064,1.6009272663747809,1.3588807654242698,-0.32778558489240806,-0.3643695014662756,0.3125,0.3489523104933898
valence,emg_expanded_ridge_residual_noaug,12,32,1.0704327444794384,1.2681987605842675,0.8400152909078535,0.8347839920527474,0.8142334836984882,0.9166666666666667,0.906158357771261,0.9444444444444444,1.2681987605842675,1.0704327444794384,-0.09711258180961381,-0.18075160707012225,0.34375,0.24466229741202933
valence,emg_expanded_ridge_residual_noaug,13,32,0.8241425892605014,1.0033211405743838,0.9115835627909689,0.929161857040574,0.8773625530492849,0.8571428571428572,0.8095238095238095,0.9826839826839827,1.0033211405743838,0.8241425892605014,0.24402983871162806,0.20861595217626686,0.59375,0.17100464856393482
valence,emg_expanded_ridge_residual_noaug,14,32,0.9432895083941566,1.1620023763848153,0.9264762554197712,0.913987737160094,0.8723466925467397,0.8421052631578947,0.8125,0.9554655870445344,1.1620023763848153,0.9432895083941566,0.11161654774065939,0.13345554761363998,0.375,0.2968374562221168
valence,emg_expanded_ridge_residual_noaug,15,32,0.9429638454191749,1.1148257107137107,0.8717449304616569,0.8540470345872958,0.8456705761065267,0.8409090909090908,0.7757757757757757,0.8863636363636364,1.1148257107137107,0.9429638454191749,-0.0030187771307172073,-0.09586655708854507,0.5,0.150784574636192
valence,emg_expanded_ridge_residual_noaug,16,32,0.7434946894536905,1.0233043404791384,0.8983905043368675,0.8614500855685724,0.8832790211514204,0.8299595141700404,0.8117647058823529,0.902834008097166,1.0233043404791384,0.7434946894536905,0.014545894984899735,0.08450962561797805,0.5625,0.24969176932300755
valence,emg_expanded_ridge_residual_noaug,17,32,1.016430093706092,1.2306530732212178,0.8888188572240656,0.882187129056376,0.870735894449831,0.9166666666666667,0.906158357771261,0.9484126984126984,1.2306530732212178,1.016430093706092,-0.11717677013045039,-0.029330889585415375,0.53125,0.20375665024977374
valence,emg_expanded_ridge_residual_noaug,18,32,1.4090949317083337,1.7959176261440586,0.7952951767749654,0.7740624505996241,0.7556509814924143,0.868421052631579,0.8435972629521017,0.9190283400809717,1.7959176261440586,1.4090949317083337,0.13147150796506712,0.20682069597393504,0.59375,0.24505069791572354
valence,emg_expanded_ridge_residual_noaug,19,32,1.006868809281145,1.3324460886848222,0.8184791777084426,0.8404602674666987,0.8077726817987142,0.8531746031746033,0.8435972629521017,0.9484126984126984,1.3324460886848224,1.006868809281145,0.0705381619911395,-0.10301530608749966,0.40625,0.2676503256876106
valence,emg_expanded_ridge_residual_noaug,20,32,0.8352770049479563,1.1081268451527333,0.9045535072816264,0.8823704555712654,0.8822697765793663,0.8571428571428572,0.8095238095238095,0.9134199134199135,1.1081268451527333,0.8352770049479563,-0.3490095990623793,-0.3653863920362219,0.34375,0.19903400581843075
valence,emg_expanded_ridge_residual_noaug,21,32,0.9126232667587717,1.0809241548668835,0.9349584665655624,0.9219890455695968,0.9149728922974083,0.8947368421052632,0.8745098039215686,0.9878542510121457,1.0809241548668835,0.9126232667587717,0.13791569086177502,0.17416812465349268,0.5625,0.38064319350683257
valence,emg_expanded_ridge_residual_noaug,22,32,1.0448308349687243,1.2696689701480455,0.8434099502428991,0.8827154846480253,0.8229606395783363,0.8333333333333333,0.7793103448275862,0.948051948051948,1.2696689701480455,1.0448308349687243,-0.15656580923034677,-0.19448263302284188,0.375,0.2879885440404036
valence,emg_expanded_ridge_residual_noaug,23,32,0.938838138371643,1.183717373971429,0.8858044983644867,0.8858961317174786,0.8712165154656613,0.9166666666666667,0.906158357771261,0.9722222222222222,1.183717373971429,0.938838138371643,-0.15445637601537965,-0.07847451939436542,0.53125,0.4421114364032381
valence,emg_expanded_ridge_residual_noaug,24,32,0.9486764500244809,1.2146886520010385,0.8602088218317804,0.8299274689086652,0.8437923728659613,0.8636363636363636,0.8056680161943319,0.8727272727272727,1.2146886520010385,0.9486764500244809,-0.38439177110963285,-0.4658111902283779,0.46875,0.2047783587369367
valence,emg_expanded_ridge_residual_noaug,25,32,1.3020162330342595,1.5903262018845474,0.8218032172192006,0.8478238616948048,0.7981816447364124,0.9166666666666667,0.906158357771261,0.9682539682539683,1.5903262018845474,1.3020162330342595,-0.15089359830871593,-0.23480890942720117,0.5625,0.22424318143685898
valence,emg_expanded_ridge_residual_noaug,26,32,1.3114172592310638,1.603103232838721,0.8414201588817612,0.8294706309403859,0.7998019513902163,0.85,0.8117647058823529,0.9416666666666667,1.603103232838721,1.3114172592310638,0.03900741644287056,0.006965447742571152,0.5,0.3385648834362042
valence,emg_expanded_ridge_residual_noaug,27,32,1.0756050047453687,1.396748876693513,0.8630593139962983,0.8335404218033743,0.8327593241090065,0.8650793650793651,0.8704453441295547,0.9325396825396826,1.396748876693513,1.0756050047453687,0.17788806524586612,0.23572541570911845,0.71875,0.4215291768892144
valence,emg_expanded_ridge_residual_noaug,28,32,1.0415088618607269,1.314169848925084,0.8306446641246984,0.8347003694409556,0.7770903506378959,0.9,0.873015873015873,0.9666666666666667,1.3141698489250841,1.0415088618607269,-0.06032202375964602,-0.029522328214371903,0.5,0.25467721590743136
valence,emg_expanded_ridge_residual_noaug,29,32,0.7175649421304291,0.9563281099649064,0.924467991039677,0.923173617718387,0.9137879260247384,0.96875,0.9687194525904204,1.0,0.9563281099649064,0.7175649421304291,0.11465762005278354,0.08470070904201432,0.59375,0.36002234569670066
valence,emg_expanded_ridge_residual_noaug,30,32,0.8831182266899804,1.0267506967452675,0.9309912681834468,0.8685269855536001,0.9110871596348364,0.903921568627451,0.9054187192118226,0.9882352941176471,1.0267506967452675,0.8831182266899804,-0.12744631396983333,-0.055183795284948725,0.375,0.20424998233742653
valence,emg_expanded_ridge_residual_noaug,31,32,1.4513947054875778,1.6836343747428242,0.955773581068553,0.9012424272220041,0.8382631346434147,0.96875,0.9687194525904204,1.0,1.6836343747428242,1.4513947054875778,-0.031575409804774586,-0.0476670656946401,0.40625,0.24295161304367371
valence,emg_expanded_ridge_residual_noaug,32,32,0.841371112624919,1.0744094087484146,0.8960278377070993,0.8972504026629903,0.8798329756132276,0.85,0.8117647058823529,0.9333333333333333,1.0744094087484146,0.841371112624919,0.06764076010426293,0.027314390926418068,0.46875,0.28378711529260214
