target,subject_id,k_calibration,repeat,model,eval_n,calibration_n,calibration_stimuli,tau2_train_subject_residual,sigma2_train_within_residual,fold_rmse,fold_mae,fold_pearson
valence,1,1,11,bias_shrink1,31,1,8370,0.13735170717592593,1.5977360488290984,1.2154372420118023,0.9861751152073732,0.8855138872281213
valence,1,1,11,bias_shrink2,31,1,8370,0.13735170717592593,1.5977360488290984,1.1841923248439403,0.9846390168970812,0.8855138872281213
valence,1,1,11,bias_shrink4,31,1,8370,0.13735170717592593,1.5977360488290984,1.1932992640744202,0.9999999999999999,0.8855138872281215
valence,1,1,11,bias_shrink8,31,1,8370,0.13735170717592593,1.5977360488290984,1.2160222047806226,1.0204813108038917,0.8855138872281213
valence,1,1,11,bias_empirical_bayes,31,1,8370,0.13735170717592593,1.5977360488290984,1.2273007555794324,1.0278430310759372,0.8855138872281215
valence,1,1,11,bias_median,31,1,8370,0.13735170717592593,1.5977360488290984,1.5435311721059193,1.2672811059907838,0.8855138872281213
valence,1,1,11,bias_huber,31,1,8370,0.13735170717592593,1.5977360488290984,1.5435311721059193,1.2672811059907838,0.8855138872281213
valence,1,1,11,bias_trimmed_mean,31,1,8370,0.13735170717592593,1.5977360488290984,1.5435311721059193,1.2672811059907838,0.8855138872281213
valence,1,1,11,affine_residual_ridge1,31,1,8370,0.13735170717592593,1.5977360488290984,1.5435311721059193,1.2672811059907838,0.8855138872281213
valence,1,1,11,affine_residual_ridge4,31,1,8370,0.13735170717592593,1.5977360488290984,1.5435311721059193,1.2672811059907838,0.8855138872281213
valence,1,1,11,kernel_residual_shrink4,31,1,8370,0.13735170717592593,1.5977360488290984,1.1714325559122218,0.9844839644130353,0.8895649996905045
valence,1,1,12,stimulus_only,31,1,3053,0.13735170717592593,1.5977360488290984,1.2854582438346756,1.0783410138248848,0.8775840702794707
valence,1,1,12,bias_mean,31,1,3053,0.13735170717592593,1.5977360488290984,1.1971548452486438,1.0184331797235022,0.8775840702794707
valence,1,1,12,bias_shrink1,31,1,3053,0.13735170717592593,1.5977360488290984,1.2234675895688767,1.043778801843318,0.8775840702794707
valence,1,1,12,bias_shrink2,31,1,3053,0.13735170717592593,1.5977360488290984,1.2403677596040517,1.055299539170507,0.8775840702794707
valence,1,1,12,bias_shrink4,31,1,3053,0.13735170717592593,1.5977360488290984,1.2566505110461075,1.0645161290322578,0.8775840702794707
valence,1,1,12,bias_shrink8,31,1,3053,0.13735170717592593,1.5977360488290984,1.2688199938227855,1.0706605222734256,0.8775840702794707
valence,1,1,12,bias_empirical_bayes,31,1,3053,0.13735170717592593,1.5977360488290984,1.273444182937988,1.0728690383550392,0.8775840702794708
valence,1,1,12,bias_median,31,1,3053,0.13735170717592593,1.5977360488290984,1.1971548452486438,1.0184331797235022,0.8775840702794707
valence,1,1,12,bias_huber,31,1,3053,0.13735170717592593,1.5977360488290984,1.1971548452486438,1.0184331797235022,0.8775840702794707
valence,1,1,12,bias_trimmed_mean,31,1,3053,0.13735170717592593,1.5977360488290984,1.1971548452486438,1.0184331797235022,0.8775840702794707
valence,1,1,12,affine_residual_ridge1,31,1,3053,0.13735170717592593,1.5977360488290984,1.1971548452486438,1.0184331797235022,0.8775840702794707
valence,1,1,12,affine_residual_ridge4,31,1,3053,0.13735170717592593,1.5977360488290984,1.1971548452486438,1.0184331797235022,0.8775840702794707
valence,1,1,12,kernel_residual_shrink4,31,1,3053,0.13735170717592593,1.5977360488290984,1.2684163388379304,1.070066919095842,0.877103072006795
valence,1,1,13,stimulus_only,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.2564514227571708,1.0414746543778803,0.882987562215709
valence,1,1,13,bias_mean,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.6390960754941915,1.3502304147465434,0.8829875622157091
valence,1,1,13,bias_shrink1,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.2309777099724346,1.002304147465438,0.8829875622157091
valence,1,1,13,bias_shrink2,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.1828944439799827,0.9784946236559141,0.882987562215709
valence,1,1,13,bias_shrink4,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.1853949933767143,0.9926267281105992,0.8829875622157091
valence,1,1,13,bias_shrink8,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.2074300545106411,1.0133128520225296,0.8829875622157091
valence,1,1,13,bias_empirical_bayes,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.2191688739173365,1.0214107443217797,0.882987562215709
valence,1,1,13,bias_median,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.6390960754941915,1.3502304147465434,0.8829875622157091
valence,1,1,13,bias_huber,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.6390960754941915,1.3502304147465434,0.8829875622157091
valence,1,1,13,bias_trimmed_mean,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.6390960754941915,1.3502304147465434,0.8829875622157091
valence,1,1,13,affine_residual_ridge1,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.6390960754941915,1.3502304147465434,0.8829875622157091
valence,1,1,13,affine_residual_ridge4,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.6390960754941915,1.3502304147465434,0.8829875622157091
valence,1,1,13,kernel_residual_shrink4,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.1921609765036079,0.974338367164643,0.8820991377628568
valence,1,1,14,stimulus_only,31,1,Dog_26,0.13735170717592593,1.5977360488290984,1.2875051531627637,1.087557603686636,0.8817320986732217
valence,1,1,14,bias_mean,31,1,Dog_26,0.13735170717592593,1.5977360488290984,1.3481999800870719,1.119815668202765,0.8817320986732217
valence,1,1,14,bias_shrink1,31,1,Dog_26,0.13735170717592593,1.5977360488290984,1.3162652893878952,1.1036866359447004,0.8817320986732213
valence,1,1,14,bias_shrink2,31,1,Dog_26,0.13735170717592593,1.5977360488290984,1.3063150185376742,1.0983102918586791,0.8817320986732213
valence,1,1,14,bias_shrink4,31,1,Dog_26,0.13735170717592593,1.5977360488290984,1.2986142409027572,1.0940092165898616,0.8817320986732213
valence,1,1,14,bias_shrink8,31,1,Dog_26,0.13735170717592593,1.5977360488290984,1.293610741387712,1.0911418330773168,0.8817320986732213
valence,1,1,14,bias_empirical_bayes,31,1,Dog_26,0.13735170717592593,1.5977360488290984,1.2918380650357764,1.0901111922392306,0.8817320986732214
