scope,test_subject,task,eeg_accuracy,stimulus_accuracy,delta_accuracy_eeg_minus_stimulus,eeg_balanced_accuracy,stimulus_balanced_accuracy,delta_balanced_accuracy_eeg_minus_stimulus,eeg_macro_f1,stimulus_macro_f1,delta_macro_f1_eeg_minus_stimulus,eeg_weighted_f1,stimulus_weighted_f1,delta_weighted_f1_eeg_minus_stimulus,eeg_mcc,stimulus_mcc,delta_mcc_eeg_minus_stimulus,eeg_cohen_kappa,stimulus_cohen_kappa,delta_cohen_kappa_eeg_minus_stimulus,eeg_auroc,stimulus_auroc,delta_auroc_eeg_minus_stimulus,eeg_average_precision,stimulus_average_precision,delta_average_precision_eeg_minus_stimulus,eeg_accuracy_lift_vs_majority,stimulus_accuracy_lift_vs_majority,delta_accuracy_lift_vs_majority_eeg_minus_stimulus,eeg_dimension_hamming_accuracy,stimulus_dimension_hamming_accuracy,delta_dimension_hamming_accuracy_eeg_minus_stimulus,eeg_both_dimensions_correct_rate,stimulus_both_dimensions_correct_rate,delta_both_dimensions_correct_rate_eeg_minus_stimulus,eeg_neither_dimension_correct_rate,stimulus_neither_dimension_correct_rate,delta_neither_dimension_correct_rate_eeg_minus_stimulus
subject,12.0,valence_high_low,0.875,0.90625,-0.03125,0.8888888888888888,0.9166666666666667,-0.0277777777777779,0.875,0.906158357771261,-0.03115835777126097,0.875,0.906524926686217,-0.03152492668621698,0.7777777777777778,0.828416869579514,-0.0506390918017362,0.7538461538461538,0.813953488372093,-0.06010733452593919,0.9563492063492063,0.9523809523809523,0.003968253968253954,0.91179316715031,0.8960945800231515,0.015698587127158548,0.3125,0.34375,-0.03125,,,,,,,,,
subject,13.0,valence_high_low,0.8125,0.8125,0.0,0.8571428571428572,0.8571428571428572,0.0,0.8095238095238095,0.8095238095238095,0.0,0.8169642857142857,0.8169642857142857,0.0,0.6798418006783489,0.6798418006783489,0.0,0.632183908045977,0.632183908045977,0.0,0.974025974025974,0.9653679653679654,0.008658008658008587,0.9516705516705517,0.9273199023199024,0.024350649350649345,0.15625,0.15625,0.0,,,,,,,,,
subject,14.0,valence_high_low,0.875,0.875,0.0,0.8947368421052632,0.8947368421052632,0.0,0.8745098039215686,0.8745098039215686,0.0,0.8759803921568627,0.8759803921568627,0.0,0.7769911005144381,0.7769911005144381,0.0,0.752895752895753,0.752895752895753,0.0,0.9595141700404859,0.9574898785425101,0.002024291497975783,0.9285076035076035,0.9230835403912325,0.005424063116371003,0.28125,0.28125,0.0,,,,,,,,,
subject,15.0,valence_high_low,0.78125,0.78125,0.0,0.8409090909090908,0.8409090909090908,0.0,0.7757757757757757,0.7757757757757757,0.0,0.7889139139139139,0.7889139139139139,0.0,0.6333004963811235,0.6333004963811235,0.0,0.5725190839694656,0.5725190839694656,0.0,0.8999999999999999,0.8954545454545455,0.004545454545454408,0.7553968253968253,0.7453463203463203,0.010050505050504976,0.09375,0.09375,0.0,,,,,,,,,
subject,16.0,valence_high_low,0.8125,0.8125,0.0,0.8299595141700404,0.8299595141700404,0.0,0.8117647058823529,0.8117647058823529,0.0,0.8139705882352941,0.8139705882352941,0.0,0.6494848686351458,0.6494848686351458,0.0,0.6293436293436294,0.6293436293436294,0.0,0.8987854251012146,0.8947368421052633,0.004048582995951344,0.8045215468292392,0.8325768248845171,-0.028055278055277966,0.21875,0.21875,0.0,,,,,,,,,
subject,17.0,valence_high_low,0.90625,0.90625,0.0,0.9166666666666667,0.9166666666666667,0.0,0.906158357771261,0.906158357771261,0.0,0.906524926686217,0.906524926686217,0.0,0.828416869579514,0.828416869579514,0.0,0.813953488372093,0.813953488372093,0.0,0.9563492063492063,0.9503968253968255,0.00595238095238082,0.9387816548530834,0.9196490017918588,0.01913265306122458,0.34375,0.34375,0.0,,,,,,,,,
subject,18.0,valence_high_low,0.8125,0.8125,0.0,0.8299595141700404,0.8299595141700404,0.0,0.8117647058823529,0.8117647058823529,0.0,0.8139705882352941,0.8139705882352941,0.0,0.6494848686351458,0.6494848686351458,0.0,0.6293436293436294,0.6293436293436294,0.0,0.9311740890688259,0.9352226720647774,-0.004048582995951455,0.8934102447260341,0.8965878138955061,-0.003177569169471983,0.21875,0.21875,0.0,,,,,,,,,
subject,19.0,valence_high_low,0.84375,0.84375,0.0,0.8531746031746033,0.8531746031746033,0.0,0.8435972629521017,0.8435972629521017,0.0,0.844208211143695,0.844208211143695,0.0,0.7021819180245404,0.7021819180245404,0.0,0.689922480620155,0.689922480620155,0.0,0.9404761904761905,0.9484126984126984,-0.007936507936507908,0.9264117826617827,0.9359046707260992,-0.009492888064316474,0.28125,0.28125,0.0,,,,,,,,,
subject,20.0,valence_high_low,0.8125,0.8125,0.0,0.8571428571428572,0.8571428571428572,0.0,0.8095238095238095,0.8095238095238095,0.0,0.8169642857142857,0.8169642857142857,0.0,0.6798418006783489,0.6798418006783489,0.0,0.632183908045977,0.632183908045977,0.0,0.9307359307359307,0.9307359307359307,0.0,0.8792790542790543,0.8792790542790543,0.0,0.15625,0.15625,0.0,,,,,,,,,
subject,21.0,valence_high_low,0.875,0.875,0.0,0.8947368421052632,0.8947368421052632,0.0,0.8745098039215686,0.8745098039215686,0.0,0.8759803921568627,0.8759803921568627,0.0,0.7769911005144381,0.7769911005144381,0.0,0.752895752895753,0.752895752895753,0.0,1.0,0.9919028340080972,0.0080971659919028,1.0,0.9885883347421807,0.011411665257819337,0.28125,0.28125,0.0,,,,,,,,,
