epoch,train_loss,val_rmse_scaled,augmentation_config,stage,test_subject,target,y_fit_mean,y_fit_std,early_stop,y_outer_mean,y_outer_std
6,0.3946728022010238,1.0832833974295828,gaussian_0p10,inner,18,valence,-4.11193712824132e-17,1.2436157721254766,,,
7,0.38518798958372186,1.0937409191328522,gaussian_0p10,inner,18,valence,-4.11193712824132e-17,1.2436157721254766,,,
8,0.3566876506363904,1.0923489004472136,gaussian_0p10,inner,18,valence,-4.11193712824132e-17,1.2436157721254766,,,
9,0.32882752352290684,1.119029944073844,gaussian_0p10,inner,18,valence,-4.11193712824132e-17,1.2436157721254766,,,
10,0.2958531040284369,1.1395307471835474,gaussian_0p10,inner,18,valence,-4.11193712824132e-17,1.2436157721254766,True,,
1,0.4453137670793841,,gaussian_0p10,final,18,valence,,,,-1.0744093786695063e-17,1.2470066281986227
2,0.43155471692162173,,gaussian_0p10,final,18,valence,,,,-1.0744093786695063e-17,1.2470066281986227
1,0.44328715872985347,0.8890302428365003,gaussian_0p10,inner,19,valence,1.2335811384723961e-17,1.2755357176631832,,,
2,0.4362336888357445,0.8968511732840401,gaussian_0p10,inner,19,valence,1.2335811384723961e-17,1.2755357176631832,,,
3,0.42947685718536377,0.9000668292137802,gaussian_0p10,inner,19,valence,1.2335811384723961e-17,1.2755357176631832,,,
4,0.42499986401310674,0.909412030164356,gaussian_0p10,inner,19,valence,1.2335811384723961e-17,1.2755357176631832,,,
5,0.40783692841176633,0.9308456807525998,gaussian_0p10,inner,19,valence,1.2335811384723961e-17,1.2755357176631832,,,
6,0.39737354743259923,0.9335314146842776,gaussian_0p10,inner,19,valence,1.2335811384723961e-17,1.2755357176631832,,,
7,0.3689029015324734,0.9614734871505356,gaussian_0p10,inner,19,valence,1.2335811384723961e-17,1.2755357176631832,,,
8,0.3494253682869452,0.9696473705062192,gaussian_0p10,inner,19,valence,1.2335811384723961e-17,1.2755357176631832,,,
9,0.32160944243272144,1.0119507658606444,gaussian_0p10,inner,19,valence,1.2335811384723961e-17,1.2755357176631832,True,,
1,0.4399370205017828,,gaussian_0p10,final,19,valence,,,,-3.581364595565021e-17,1.256921177539239
1,0.4435279959881747,0.9682272211069521,gaussian_0p10,inner,20,valence,-8.22387425648264e-18,1.2686136379835076,,,
2,0.43306087233402113,0.9644815089643141,gaussian_0p10,inner,20,valence,-8.22387425648264e-18,1.2686136379835076,,,
3,0.416254041923417,0.9896527988544723,gaussian_0p10,inner,20,valence,-8.22387425648264e-18,1.2686136379835076,,,
4,0.42317151802557484,0.9830466746522772,gaussian_0p10,inner,20,valence,-8.22387425648264e-18,1.2686136379835076,,,
5,0.4083777950317771,0.9848038217002624,gaussian_0p10,inner,20,valence,-8.22387425648264e-18,1.2686136379835076,,,
6,0.3937815593348609,1.0154033816639882,gaussian_0p10,inner,20,valence,-8.22387425648264e-18,1.2686136379835076,,,
7,0.3712284380087146,1.001041573702341,gaussian_0p10,inner,20,valence,-8.22387425648264e-18,1.2686136379835076,,,
8,0.3618206274178293,1.0164711086391074,gaussian_0p10,inner,20,valence,-8.22387425648264e-18,1.2686136379835076,,,
9,0.3336275476548407,1.0976449883364017,gaussian_0p10,inner,20,valence,-8.22387425648264e-18,1.2686136379835076,,,
10,0.31652649078104234,1.0229681021035617,gaussian_0p10,inner,20,valence,-8.22387425648264e-18,1.2686136379835076,True,,
1,0.4369767067893859,,gaussian_0p10,final,20,valence,,,,0.0,1.2614232139096553
2,0.42931459820078266,,gaussian_0p10,final,20,valence,,,,0.0,1.2614232139096553
1,0.4396636657140873,1.0602162589219224,gaussian_0p10,inner,21,valence,-1.644774851296528e-17,1.2516631868666053,,,
2,0.42628168011153184,1.0569838039139205,gaussian_0p10,inner,21,valence,-1.644774851296528e-17,1.2516631868666053,,,
3,0.42043328616354203,1.0710300249891909,gaussian_0p10,inner,21,valence,-1.644774851296528e-17,1.2516631868666053,,,
4,0.4100986283134531,1.0659388887956218,gaussian_0p10,inner,21,valence,-1.644774851296528e-17,1.2516631868666053,,,
5,0.4062938309378094,1.1083435740685523,gaussian_0p10,inner,21,valence,-1.644774851296528e-17,1.2516631868666053,,,
6,0.3885158206577654,1.0855780390426173,gaussian_0p10,inner,21,valence,-1.644774851296528e-17,1.2516631868666053,,,
7,0.3662904597542904,1.1120224773948295,gaussian_0p10,inner,21,valence,-1.644774851296528e-17,1.2516631868666053,,,
8,0.33141191082972066,1.1968873248476557,gaussian_0p10,inner,21,valence,-1.644774851296528e-17,1.2516631868666053,,,
9,0.31662558791814027,1.3109747520360808,gaussian_0p10,inner,21,valence,-1.644774851296528e-17,1.2516631868666053,,,
10,0.27986549337704975,1.3391029612174814,gaussian_0p10,inner,21,valence,-1.644774851296528e-17,1.2516631868666053,True,,
1,0.43797568568298895,,gaussian_0p10,final,21,valence,,,,-3.223228136008519e-17,1.2610270136941262
2,0.4345103901240133,,gaussian_0p10,final,21,valence,,,,-3.223228136008519e-17,1.2610270136941262
1,0.4426118897067176,0.9977973858060949,gaussian_0p10,inner,22,valence,1.644774851296528e-17,1.2648547744976881,,,
2,0.4322935781545109,1.0190775949990865,gaussian_0p10,inner,22,valence,1.644774851296528e-17,1.2648547744976881,,,
3,0.42353417972723645,1.0178874757861218,gaussian_0p10,inner,22,valence,1.644774851296528e-17,1.2648547744976881,,,
