target,k_calibration,model,locked_reference_model,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,8,bias_shrink8,bias_shrink4,63,39,24,0,15,0.01764607905799909,-0.007547695214502381,0.3007943790168781,-0.03695785997922352
arousal,8,bias_trimmed_mean,bias_shrink4,63,11,52,0,-41,0.03743707240347644,0.05544596833695681,0.17295487218659833,-0.22950645726953045
arousal,8,kernel_residual_shrink4,bias_shrink4,63,42,21,0,21,-0.03288188771471006,-0.025083567408886065,0.28711056985289507,-0.3804409061568794
arousal,8,stimulus_only,bias_shrink4,63,27,36,0,-9,0.1596280258176331,0.025804185449824768,1.5554916502738583,-0.10897531928508952
arousal,16,affine_residual_ridge1,bias_shrink4,63,34,29,0,5,-0.07485794311629963,-0.010505927841600204,0.14067274421832776,-0.7767119217089523
arousal,16,affine_residual_ridge4,bias_shrink4,63,35,28,0,7,-0.08028901373762104,-0.01572173695118151,0.12802440030184625,-0.7741525769327291
arousal,16,bias_empirical_bayes,bias_shrink4,63,21,42,0,-21,-0.0005780972581624011,0.0026817067537079353,0.007800650608481341,-0.036617370531888405
arousal,16,bias_huber,bias_shrink4,63,14,49,0,-35,0.014576248310429873,0.02001873720305647,0.06594972121017983,-0.08727882636804463
arousal,16,bias_mean,bias_shrink4,63,13,50,0,-37,0.005584046458717788,0.012759255070156295,0.028250969360891887,-0.0920849358148943
arousal,16,bias_median,bias_shrink4,63,10,53,0,-43,0.043190842194797636,0.040398558222814795,0.18121173610236685,-0.09084511153292407
arousal,16,bias_shrink1,bias_shrink4,63,18,45,0,-27,0.001056498110164856,0.007511752946128825,0.01920304059100353,-0.08845203623204312
arousal,16,bias_shrink2,bias_shrink4,63,19,44,0,-25,-0.0009317608745545286,0.004156544076510338,0.011674666639548192,-0.06849397142249791
arousal,16,bias_shrink4,bias_shrink4,63,0,0,63,0,0.0,0.0,0.0,0.0
