test_subject,eeg_rmse,eeg_mae,eeg_balanced_accuracy,eeg_auroc,eeg_dev_rmse,eeg_dev_pearson,eeg_dev_sign_acc,eeg_true_dev_std,eeg_pred_dev_std,eeg_std_ratio_pred_over_true,eeg_mean_abs_true_dev,eeg_mean_abs_pred_dev,eeg_lift_vs_stimulus_rmse,eeg_lift_vs_stimulus_mae,eeg_lift_vs_stimulus_balanced_accuracy,eeg_lift_vs_stimulus_auroc,eeg_lift_vs_stimulus_dev_rmse,stimulus_rmse,stimulus_mae,stimulus_balanced_accuracy,stimulus_auroc,eeg_better_rmse_than_stimulus,eeg_better_mae_than_stimulus,eeg_better_auroc_than_stimulus,eeg_better_ba_than_stimulus,eeg_positive_dev_pearson,failure_score
22,2.270771276791362,2.025980329236695,0.8318181818181818,0.9181818181818182,2.270771276791362,-0.319086519368139,0.40625,2.143575596227557,0.11942246345941475,0.05571180399213755,1.9672379032258065,0.1367366109167384,-0.0688500677273054,-0.058742426010888416,-0.022727272727272707,0.0,-0.0688500677273054,2.2019212090640568,1.9672379032258065,0.8545454545454545,0.9181818181818182,False,False,False,False,False,0.3879365870954444
23,1.6406319989063163,1.3999023729377644,0.8846153846153846,0.9352226720647774,1.6406319989063163,-0.2578507415792575,0.21875,1.1590966729438268,0.04335192208634313,0.037401472282896184,1.2278225806451613,0.2871807066244437,-0.19620534231030895,-0.17207979229260317,0.0,0.0,-0.19620534231030895,1.4444266565960073,1.2278225806451613,0.8846153846153846,0.9352226720647774,False,False,False,False,False,0.4540560838895665
24,1.4682046326482692,1.2967237732785932,0.9307359307359306,0.987012987012987,1.4682046326482692,0.2830693685593466,0.46875,1.4823221092336485,0.1229079095959881,0.08291579058983868,1.310483870967742,0.19700079586445685,0.01436733558766079,0.013760097689148765,0.045454545454545414,0.0,0.01436733558766079,1.48257196823593,1.310483870967742,0.8852813852813852,0.987012987012987,True,True,False,True,True,-0.01436733558766079
25,2.134748588356721,1.6567115471288099,0.8614718614718615,0.9047619047619048,2.1347485883567217,0.2345741517598086,0.65625,2.18923247648393,0.5847673706091772,0.26711067777876646,1.7767137096774193,0.48523905197718054,0.05527801108071406,0.1200021625486094,-0.023809523809523725,0.0,0.05527801108071362,2.1900265994374353,1.7767137096774193,0.8852813852813852,0.9047619047619048,True,True,False,False,True,-0.05527801108071406
26,2.126141093709453,1.8559507433209843,0.7916666666666667,0.8385416666666666,2.126141093709453,-0.3856537615364997,0.625,1.7189293581328962,0.16055785453428287,0.09340573175653225,1.861391129032258,0.1392296783966579,-0.028570292799909414,0.005440385711273699,0.0,-0.00520833333333337,-0.028570292799909414,2.0975708009095437,1.861391129032258,0.7916666666666667,0.84375,False,True,False,False,False,0.41422405433640913
27,1.6316752026384183,1.2732199411070637,0.7550607287449393,0.8502024291497976,1.6316752026384183,0.14967199287606897,0.53125,1.3302540014938895,0.44060560609986454,0.33121915484165315,1.2263104838709675,0.3920609360309351,-0.09632444007635921,-0.046909457236096186,0.0,-0.010121457489878471,-0.09632444007635921,1.535350762562059,1.2263104838709675,0.7550607287449393,0.8603238866396761,False,False,False,False,True,0.09632444007635921
28,1.6150111321200555,1.2630669587529038,0.9375,0.9947916666666666,1.6150111321200555,0.08556017999877867,0.65625,1.2832399966930983,0.40795888395012486,0.3179131612177882,1.3870967741935485,0.38063802241137457,0.12178310277365845,0.12402981544064473,-0.02083333333333326,0.0,0.12178310277365845,1.736794234893714,1.3870967741935485,0.9583333333333333,0.9947916666666666,True,True,False,False,True,-0.12178310277365845
29,1.4314515753896355,1.1083441413415929,0.8545454545454545,0.9227272727272727,1.4314515753896355,-0.07844129733529599,0.5,1.3387930792556502,0.10779070168603859,0.08051333948177276,1.0892137096774193,0.08223440390971067,-0.0010993169418718196,-0.019130431664173386,0.0,0.004545454545454519,-0.0010993169418718196,1.4303522584477637,1.0892137096774195,0.8545454545454545,0.9181818181818182,False,False,True,False,False,0.07954061427716781
30,0.9809773032294409,0.7463412721311724,0.9272727272727272,0.9636363636363636,0.9809773032294409,0.16126994861341887,0.5625,0.9561639397658943,0.06094910898732051,0.06374336706546312,0.7550403225806451,0.2150042519068877,-0.02412492839743785,0.008699050449472612,0.0,0.004545454545454519,-0.02412492839743785,0.956852374832003,0.755040322580645,0.9272727272727272,0.9590909090909091,False,True,True,False,True,0.02412492839743785
31,2.681933408197751,2.1921265174053977,0.8,0.8784313725490196,2.681933408197751,-0.06326050331899653,0.40625,2.1966185537351026,0.4488414913744401,0.2043329237163327,2.011592741935484,0.6686023789697815,-0.3336856860176045,-0.18053377546991367,-0.033333333333333215,-0.05882352941176472,-0.3336856860176045,2.3482477221801465,2.011592741935484,0.8333333333333333,0.9372549019607843,False,False,False,False,False,0.39694618933660103
