augmentation_config,target,model,test_subject,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,best_epoch,best_val_rmse_scaled,fit_subjects,val_subjects,outer_train_subjects,y_outer_mean,y_outer_std,final_train_last_loss
gain_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,6,32,3.208811073423055,3.6295815842190593,0.3189580224945011,0.37954115133884625,0.6666666666666666,0.3333333333333333,0.5,3.208811073423055,3.629581584219059,-0.25616684128511896,-0.3053519061583578,0.78125,3.2752016129032255,1.790167901902087,0.1344844482042277,0.10298239726692433,1,0.9482674413030282,54,8,62,1.7906822977825105e-17,1.9011711549146475,0.43992242890019573
gain_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,7,32,1.4757328662944542,1.7498902538479941,0.6762560820689418,0.6815471345141287,0.65625,0.39622641509433965,,1.4757328662944542,1.7498902538479941,0.19848439295064704,0.25607185516768155,0.34375,-1.0433467741935485,1.2461858921407156,0.2075111043200501,0.1720328053800373,1,0.9066530892215322,54,8,62,7.162729191130042e-18,1.949252022010084,0.43995791024738745
gaussian_0p05_gain_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,1,32,1.5353255685777745,1.862136031499979,0.64542253917722,0.6387919694951539,0.7166666666666667,0.722943722943723,0.7625,1.5353255685777745,1.862136031499979,0.21875541782734417,0.19833195940689435,0.6875,0.09979838709677412,1.8730758315387523,0.027472468117794274,0.060749993370916244,1,1.0083584234142522,54,8,62,7.162729191130042e-18,1.9455604821992014,0.4437682960302599
gaussian_0p05_gain_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,2,32,2.6543527560785147,3.067674157504162,0.7403104635611313,0.7943479849489021,0.7045454545454546,0.5933528836754643,0.8636363636363636,2.6543527560785147,3.067674157504162,0.20453467248016546,0.17815249266862168,0.125,2.2273185483870965,1.5829340702617387,-0.4202386207937935,0.33822910787069627,2,0.936674719187132,54,8,62,-7.162729191130042e-18,1.9288502402018097,0.4301169807872465
gaussian_0p05_gain_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,3,32,1.529928646429605,1.7365471539183834,0.627083637958006,0.6258110694311251,0.8548387096774194,0.5060034305317325,0.967741935483871,1.529928646429605,1.7365471539183834,-0.3637010960730057,-0.3914956011730205,0.8125,-1.265625,1.353914241378173,-0.2031712718077131,0.0518058418431915,2,1.1037206150874537,54,8,62,2.865091676452017e-17,1.9459122563827091,0.4356510492582475
gaussian_0p05_gain_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,5,32,1.3357467282382345,1.6410921294531375,0.7056414145481158,0.7289656138685103,0.7420634920634921,0.716256157635468,0.8650793650793651,1.3357467282382345,1.6410921294531375,0.16748332578807426,0.13196480938416422,0.65625,0.893649193548387,1.5102454224184472,0.20372103927499874,0.23504133236873892,3,1.1494514634983495,54,8,62,-7.162729191130042e-18,1.9474092830945495,0.4228884568137507
gaussian_0p05_gain_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,6,32,3.503798094112228,3.9036635820980177,0.3230373622923634,0.37440450417786936,0.6666666666666666,0.3333333333333333,0.5,3.503798094112228,3.9036635820980177,-0.038690134335451626,-0.017961876832844573,0.0625,3.2752016129032255,1.790167901902087,-0.1900822295485001,0.10536158235750823,1,0.9451538910138079,54,8,62,1.7906822977825105e-17,1.9011711549146475,0.44818790881864484
gaussian_0p05_gain_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,7,32,1.168605527107595,1.4706734159988426,0.6744616701349284,0.6919091534840796,0.6875,0.4074074074074074,,1.168605527107595,1.4706734159988426,0.07416737220668751,0.08688479552575594,0.8125,-1.0433467741935485,1.2461858921407156,-0.259463964843534,0.1554452742936222,1,0.9117514483029691,54,8,62,7.162729191130042e-18,1.949252022010084,0.44283454552773505
gaussian_0p05_shift16,arousal,eeg_bc_residual_huber_norm_augmented_smoke,1,32,1.4550723104100722,1.7803240690645112,0.6843893331733675,0.7178999077127963,0.7166666666666667,0.722943722943723,0.8125,1.4550723104100722,1.7803240690645112,0.471875646622695,0.504445057567258,0.71875,0.09979838709677412,1.8730758315387523,-0.03219017327360098,0.23199520187244546,2,0.9971884413216909,54,8,62,7.162729191130042e-18,1.9455604821992014,0.43134739946934486
gaussian_0p05_shift16,arousal,eeg_bc_residual_huber_norm_augmented_smoke,2,32,2.273856308115723,2.7072082167921443,0.7543142253961043,0.8068559320679566,0.7272727272727273,0.625,0.8681818181818182,2.273856308115723,2.7072082167921443,0.32374779052439984,0.18365102639296185,0.59375,2.2273185483870965,1.5829340702617387,-0.017263165953178942,0.2938943510689837,2,0.9173969151679048,54,8,62,-7.162729191130042e-18,1.9288502402018097,0.4334291762882663
gaussian_0p05_shift16,arousal,eeg_bc_residual_huber_norm_augmented_smoke,3,32,1.897575091238889,2.1394663376509837,0.6282313277082752,0.6327561832790409,0.8387096774193548,0.48717948717948717,0.967741935483871,1.897575091238889,2.1394663376509837,-0.0803936161176203,-0.02126099706744868,0.1875,-1.265625,1.353914241378173,0.3845157470009359,0.07313035753758163,1,1.1077110241781787,54,8,62,2.865091676452017e-17,1.9459122563827091,0.44385392627408427
