target,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,true_high_rate,pred_high_rate,lift_vs_stimulus_accuracy,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc
arousal,4,stimulus_plus_fewshot_bias,discard_midpoint,10089,0.7806521954604024,0.7794689231839758,0.7796571058470108,0.8645921570994262,5355,4734,0.46922390722569135,0.46357418971156705,0.14748736247398153,0.1500324844766805,0.15014666520795528,0.21804862770344025
arousal,4,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,11200,0.7041071428571428,0.7044114670335004,0.7006825445686794,0.7905792458187907,6466,4734,0.4226785714285714,0.47035714285714286,0.08999999999999997,0.09636386017609122,0.09354719585293025,0.1780035010730464
arousal,4,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,11200,0.7092857142857143,0.710841622077973,0.7092799202790234,0.8013249531349466,5355,5845,0.521875,0.47366071428571427,0.09107142857142858,0.09063553565138638,0.09119483530879235,0.148238984216441
arousal,4,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,10089,0.7296065021310338,0.7282597196039379,0.7283979456967835,0.818959573690059,5355,4734,0.46922390722569135,0.464069778967192,0.09644166914461294,0.0988232808966426,0.09888750505772803,0.1724160442940731
arousal,8,stimulus_only,midpoint_as_low,9600,0.6092708333333333,0.6023076084639292,0.6015186017022858,0.6048057433169499,5562,4038,0.420625,0.4398958333333333,0.0,0.0,0.0,0.0
arousal,8,stimulus_only,midpoint_as_high,9600,0.6121875,0.6140801236062821,0.6119589153380511,0.6470868549392784,4612,4988,0.5195833333333333,0.4561458333333333,0.0,0.0,0.0,0.0
arousal,8,stimulus_only,discard_midpoint,8650,0.6278612716763006,0.6235415547098746,0.6235940666874407,0.638755301436011,4612,4038,0.4668208092485549,0.4267052023121387,0.0,0.0,0.0,0.0
arousal,8,stimulus_plus_fewshot_bias,midpoint_as_low,9600,0.77125,0.7703574403469093,0.7674447747527203,0.857503015669728,5562,4038,0.420625,0.45145833333333335,0.16197916666666667,0.16804983188298017,0.16592617305043456,0.25269727235277806
arousal,8,stimulus_plus_fewshot_bias,midpoint_as_high,9600,0.7560416666666666,0.7582165975444275,0.755878749637779,0.8487077572470547,4612,4988,0.5195833333333333,0.45458333333333334,0.14385416666666662,0.14413647393814544,0.14391983429972788,0.2016209023077763
arousal,8,stimulus_plus_fewshot_bias,discard_midpoint,8650,0.7926011560693642,0.7908670750163129,0.7913114694574106,0.8784915215685163,4612,4038,0.4668208092485549,0.4545664739884393,0.16473988439306364,0.16732552030643832,0.16771740276996994,0.23973622013250528
