epoch,train_loss,val_rmse_scaled,augmentation_config,stage,test_subject,target,y_outer_mean,y_outer_std,oracle_test_checkpoint_selection,early_stop,arch_config,arch_description
6,0.356887869777218,1.2710126556653567,gaussian_0p10,oracle_test_checkpoint_selection,7,arousal,7.162729191130042e-18,1.949252022010084,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
7,0.3240184627713696,1.3936961857504666,gaussian_0p10,oracle_test_checkpoint_selection,7,arousal,7.162729191130042e-18,1.949252022010084,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
8,0.3009943512658919,1.3792702038226068,gaussian_0p10,oracle_test_checkpoint_selection,7,arousal,7.162729191130042e-18,1.949252022010084,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
9,0.27970061763640375,1.4276587726167,gaussian_0p10,oracle_test_checkpoint_selection,7,arousal,7.162729191130042e-18,1.949252022010084,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
10,0.24684654536747164,1.3294232611363346,gaussian_0p10,oracle_test_checkpoint_selection,7,arousal,7.162729191130042e-18,1.949252022010084,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
11,0.23824369042150437,1.491880328971083,gaussian_0p10,oracle_test_checkpoint_selection,7,arousal,7.162729191130042e-18,1.949252022010084,True,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
1,0.4402963285965304,0.9916896896108238,gaussian_0p10,oracle_test_checkpoint_selection,8,arousal,7.162729191130042e-18,1.9448718565923315,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
2,0.4357719926103469,1.025908012066915,gaussian_0p10,oracle_test_checkpoint_selection,8,arousal,7.162729191130042e-18,1.9448718565923315,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
3,0.4269099817160637,1.0597296634546025,gaussian_0p10,oracle_test_checkpoint_selection,8,arousal,7.162729191130042e-18,1.9448718565923315,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
4,0.4158271488643462,1.209725006456501,gaussian_0p10,oracle_test_checkpoint_selection,8,arousal,7.162729191130042e-18,1.9448718565923315,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
5,0.3986369058970482,0.974044865944382,gaussian_0p10,oracle_test_checkpoint_selection,8,arousal,7.162729191130042e-18,1.9448718565923315,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
6,0.3817791799383779,1.2927045570114641,gaussian_0p10,oracle_test_checkpoint_selection,8,arousal,7.162729191130042e-18,1.9448718565923315,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
7,0.35636365077187937,1.113823106274398,gaussian_0p10,oracle_test_checkpoint_selection,8,arousal,7.162729191130042e-18,1.9448718565923315,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
8,0.33746103942394257,1.4970817034725408,gaussian_0p10,oracle_test_checkpoint_selection,8,arousal,7.162729191130042e-18,1.9448718565923315,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
9,0.3175359555790501,1.3520287628794954,gaussian_0p10,oracle_test_checkpoint_selection,8,arousal,7.162729191130042e-18,1.9448718565923315,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
10,0.2808754415281357,1.5331215706986028,gaussian_0p10,oracle_test_checkpoint_selection,8,arousal,7.162729191130042e-18,1.9448718565923315,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
11,0.2538095719871982,1.2738391605466377,gaussian_0p10,oracle_test_checkpoint_selection,8,arousal,7.162729191130042e-18,1.9448718565923315,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
12,0.24596725500399066,1.1782793795514837,gaussian_0p10,oracle_test_checkpoint_selection,8,arousal,7.162729191130042e-18,1.9448718565923315,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
13,0.23011230268786032,1.543032393083011,gaussian_0p10,oracle_test_checkpoint_selection,8,arousal,7.162729191130042e-18,1.9448718565923315,True,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
1,0.43278590325386296,1.1215616183291637,gaussian_0p10,oracle_test_checkpoint_selection,9,arousal,-3.581364595565021e-18,1.9405294107485496,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
2,0.43331344329541727,1.1704963200429246,gaussian_0p10,oracle_test_checkpoint_selection,9,arousal,-3.581364595565021e-18,1.9405294107485496,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
3,0.41346212140014094,1.062365373465316,gaussian_0p10,oracle_test_checkpoint_selection,9,arousal,-3.581364595565021e-18,1.9405294107485496,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
4,0.4011019965814006,1.1033867707707044,gaussian_0p10,oracle_test_checkpoint_selection,9,arousal,-3.581364595565021e-18,1.9405294107485496,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
5,0.3827070161219566,1.0710535943823636,gaussian_0p10,oracle_test_checkpoint_selection,9,arousal,-3.581364595565021e-18,1.9405294107485496,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
6,0.36086372117842397,1.08146818779837,gaussian_0p10,oracle_test_checkpoint_selection,9,arousal,-3.581364595565021e-18,1.9405294107485496,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
7,0.3223484761772617,1.2066697461463523,gaussian_0p10,oracle_test_checkpoint_selection,9,arousal,-3.581364595565021e-18,1.9405294107485496,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
8,0.28588682677476634,1.2179304646612408,gaussian_0p10,oracle_test_checkpoint_selection,9,arousal,-3.581364595565021e-18,1.9405294107485496,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
9,0.2654507126538984,1.293802078158858,gaussian_0p10,oracle_test_checkpoint_selection,9,arousal,-3.581364595565021e-18,1.9405294107485496,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
10,0.2228966154638798,1.401014385148614,gaussian_0p10,oracle_test_checkpoint_selection,9,arousal,-3.581364595565021e-18,1.9405294107485496,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
11,0.1987609969031426,1.433885232241345,gaussian_0p10,oracle_test_checkpoint_selection,9,arousal,-3.581364595565021e-18,1.9405294107485496,True,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
1,0.44385827645178766,0.8783807866664195,gaussian_0p10,oracle_test_checkpoint_selection,10,arousal,-7.162729191130042e-18,1.9479568986533093,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
2,0.424700086635928,0.8914045166766549,gaussian_0p10,oracle_test_checkpoint_selection,10,arousal,-7.162729191130042e-18,1.9479568986533093,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
3,0.420142826774428,0.905268409515673,gaussian_0p10,oracle_test_checkpoint_selection,10,arousal,-7.162729191130042e-18,1.9479568986533093,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
4,0.40331181451197595,0.949858895149204,gaussian_0p10,oracle_test_checkpoint_selection,10,arousal,-7.162729191130042e-18,1.9479568986533093,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
5,0.3878841501089834,1.0075248423299226,gaussian_0p10,oracle_test_checkpoint_selection,10,arousal,-7.162729191130042e-18,1.9479568986533093,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
6,0.3580407483443137,1.0302212994387252,gaussian_0p10,oracle_test_checkpoint_selection,10,arousal,-7.162729191130042e-18,1.9479568986533093,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
7,0.34032742799289767,1.083881023830608,gaussian_0p10,oracle_test_checkpoint_selection,10,arousal,-7.162729191130042e-18,1.9479568986533093,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
8,0.3108447816583418,1.1709049149746191,gaussian_0p10,oracle_test_checkpoint_selection,10,arousal,-7.162729191130042e-18,1.9479568986533093,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
9,0.288655289959523,1.2127786712769735,gaussian_0p10,oracle_test_checkpoint_selection,10,arousal,-7.162729191130042e-18,1.9479568986533093,True,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
1,0.43829815858794796,1.0530884878003506,gaussian_0p10,oracle_test_checkpoint_selection,11,arousal,1.7906822977825105e-17,1.9430789912245294,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
