split,fold_id,test_subject,n_high,zero_rmse_high,model_rmse_high,improvement_zero_minus_model,pearson_high,sign_acc_high
random_trial_kfold_subjects_overlap,random_fold_3,64,1,2.35064935064935,2.2489559066953593,0.10169344395399094,,1.0
random_trial_kfold_subjects_overlap,random_fold_3,65,8,2.9329590105038905,2.882533315185893,0.050425695317997565,-0.19108886091327007,0.625
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,1,4,3.404687568003687,3.5040846149836566,-0.09939704697996943,-0.17515274857178725,0.25
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,2,5,4.1486700278688975,4.332118224563678,-0.18344819669478074,0.8606853710665413,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,3,3,2.865555790484482,2.6087326762361185,0.25682311424836346,0.6085606343893295,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,5,6,3.216372905294133,3.352146394089009,-0.1357734887948756,-0.6532183532475386,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,6,9,4.14452589917156,4.354734464041995,-0.2102085648704346,-0.0597518393963935,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,7,1,3.25,3.0516261160373688,0.19837388396263123,,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,8,7,2.9005664042483823,2.9030190704886176,-0.002452666240235324,-0.2405486951055695,0.5714285714285714
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,9,4,4.0653432650003785,4.226308258482737,-0.1609649934823585,-0.4209331856411534,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,10,4,3.402383163110578,3.5120540270464526,-0.10967086393587477,0.0013171082192121757,0.25
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,11,5,2.950926188012841,3.008213678486295,-0.05728749047345438,0.056178536493642434,0.4
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,12,4,2.766932508406546,2.9469708236907834,-0.18003831528423753,0.9008775858032252,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,13,6,3.4117867585778248,3.2300106110119895,0.18177614756583527,0.8364722080669944,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,14,6,2.563106640893151,2.386259674950177,0.1768469659429739,0.352150930333019,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,15,5,2.497058596959387,2.40856790942782,0.08849068753156697,-0.5618983937510161,0.8
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,16,3,3.282830072048098,3.3993162337572995,-0.11648616170920167,-0.43135095829607345,0.3333333333333333
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,17,4,2.58131272372223,2.3901631147360747,0.19114960898615552,0.577586250828,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,18,6,3.722369595448407,3.852575940775826,-0.13020634532741893,0.7433324261947389,0.0
