subject_id,candidate_rmse,candidate_lift_vs_stimulus_rmse,locked_rmse,locked_lift_vs_stimulus_rmse,delta_rmse_candidate_minus_locked,target,best_candidate_model,k_calibration,locked_reference_model
22,1.0164550687590315,0.16057349265792054,1.1919191692104467,-0.014890607793494715,-0.17546410045141525,valence,kernel_residual_shrink4,16,bias_shrink4
38,1.5002979945094734,0.13118306776359856,1.682050357541941,-0.050569295268869,-0.18175236303246756,valence,kernel_residual_shrink4,16,bias_shrink4
42,0.9062620806002475,0.17661123917956245,1.0962641662794923,-0.013390846499682363,-0.19000208567924481,valence,kernel_residual_shrink4,16,bias_shrink4
6,0.9937461984569205,0.17151498979085966,1.2054853492096904,-0.04022416096191028,-0.21173915075276994,valence,kernel_residual_shrink4,16,bias_shrink4
28,1.064408650228926,0.22765305577941897,1.346303148259532,-0.05424144225118699,-0.28189449803060596,valence,kernel_residual_shrink4,16,bias_shrink4
49,0.9399897712869262,0.4123932759107066,1.4025913633408023,-0.05020831614316945,-0.4626015920538761,valence,kernel_residual_shrink4,16,bias_shrink4
41,1.0427661523688756,0.46585646947546056,1.550251344337152,-0.041628722492815795,-0.5074851919682764,valence,kernel_residual_shrink4,16,bias_shrink4
50,0.8086668072181765,0.47124767973499126,1.3222536549950477,-0.04233916804187987,-0.5135868477768711,valence,kernel_residual_shrink4,16,bias_shrink4
37,0.6730493232277807,0.5547861023102006,1.2517193287497244,-0.02388390321174305,-0.5786700055219437,valence,kernel_residual_shrink4,16,bias_shrink4
31,0.9649690438506252,0.6737331425210006,1.5708488489569934,0.0678533374146324,-0.6058798051063682,valence,kernel_residual_shrink4,16,bias_shrink4
