target,k_calibration,model,locked_reference_model,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,16,bias_median,bias_shrink4,8,3,5,0,-2,-0.00477176368552476,0.007211263387231326,0.09499239460683606,-0.19219072154067351
arousal,16,bias_shrink1,bias_shrink4,8,5,3,0,2,-0.030757598631248217,-0.033485881556497565,0.027489137808657027,-0.12506365434741018
arousal,16,bias_shrink2,bias_shrink4,8,5,3,0,2,-0.023469316689327113,-0.02529613941049602,0.016654037712191094,-0.0884574248781067
arousal,16,bias_shrink4,bias_shrink4,8,0,0,8,0,0.0,0.0,0.0,0.0
arousal,16,bias_shrink8,bias_shrink4,8,3,5,0,-2,0.058777523107078206,0.06115699933205576,0.18629815021341223,-0.020698667839191387
arousal,16,bias_trimmed_mean,bias_shrink4,8,5,3,0,2,-0.019090480749337058,-0.019821424963283096,0.09482732535461125,-0.17308476768013725
arousal,16,kernel_residual_shrink4,bias_shrink4,8,2,6,0,-4,0.05315076447929949,0.046231615669362625,0.1768885715931836,-0.09934026567685839
arousal,16,stimulus_only,bias_shrink4,8,2,6,0,-4,0.6224734213653271,0.6879613798450352,1.6593074858288017,-0.056749987302733285
valence,0,stimulus_only,stimulus_only,8,0,0,8,0,0.0,0.0,0.0,0.0
valence,1,affine_residual_ridge1,bias_shrink4,8,0,8,0,-8,0.4609497963440257,0.39313637345205243,0.8268708451224194,0.28998418767996825
valence,1,affine_residual_ridge4,bias_shrink4,8,0,8,0,-8,0.4609497963440257,0.39313637345205243,0.8268708451224194,0.28998418767996825
valence,1,bias_empirical_bayes,bias_shrink4,8,6,2,0,4,-0.012320831315952407,-0.01366270025482419,0.005434693155644599,-0.027402152518172684
valence,1,bias_huber,bias_shrink4,8,0,8,0,-8,0.4609497963440257,0.39313637345205243,0.8268708451224194,0.28998418767996825
valence,1,bias_mean,bias_shrink4,8,0,8,0,-8,0.4609497963440257,0.39313637345205243,0.8268708451224194,0.28998418767996825
valence,1,bias_median,bias_shrink4,8,0,8,0,-8,0.4609497963440257,0.39313637345205243,0.8268708451224194,0.28998418767996825
valence,1,bias_shrink1,bias_shrink4,8,0,8,0,-8,0.10782075687138651,0.08955883088783034,0.20488979295932186,0.059872247054370664
valence,1,bias_shrink2,bias_shrink4,8,0,8,0,-8,0.035823715494242736,0.03001463314818764,0.06960727221301233,0.014699091256772823
valence,1,bias_shrink4,bias_shrink4,8,0,0,8,0,0.0,0.0,0.0,0.0
valence,1,bias_shrink8,bias_shrink4,8,6,2,0,4,-0.012143246348599618,-0.012335240914945422,0.0012920100646829358,-0.025442922064504492
valence,1,bias_trimmed_mean,bias_shrink4,8,0,8,0,-8,0.4609497963440257,0.39313637345205243,0.8268708451224194,0.28998418767996825
valence,1,kernel_residual_shrink4,bias_shrink4,8,7,1,0,6,-0.009797966018851995,-0.008087346179211252,0.0017292716934942387,-0.0318181259081598
valence,1,stimulus_only,bias_shrink4,8,5,3,0,2,-0.013601264555836795,-0.01871805752062472,0.01631098680660159,-0.044815370421642076
valence,2,affine_residual_ridge1,bias_shrink4,8,0,8,0,-8,0.6018110980251804,0.6312964363927762,0.9984434624208405,0.32747064430600203
valence,2,affine_residual_ridge4,bias_shrink4,8,0,8,0,-8,0.33562364154133006,0.3661522772586877,0.6130406829333628,0.16933100034927806
valence,2,bias_empirical_bayes,bias_shrink4,8,6,2,0,4,-0.010308305188297784,-0.01898793161912382,0.041417014184445655,-0.029228184035043236
valence,2,bias_huber,bias_shrink4,8,0,8,0,-8,0.2118719685869045,0.20586663560772422,0.3424034506514797,0.09641732642624201
valence,2,bias_mean,bias_shrink4,8,0,8,0,-8,0.2118719685869045,0.20586663560772422,0.3424034506514797,0.09641732642624201
valence,2,bias_median,bias_shrink4,8,0,8,0,-8,0.2118719685869045,0.20586663560772422,0.3424034506514797,0.09641732642624201
valence,2,bias_shrink1,bias_shrink4,8,0,8,0,-8,0.07666564618915725,0.07667871665677595,0.1318277969328292,0.006182329883098969
valence,2,bias_shrink2,bias_shrink4,8,1,7,0,-6,0.030222900258086688,0.03099865646254274,0.054582548227726235,-0.007894779337189295
valence,2,bias_shrink4,bias_shrink4,8,0,0,8,0,0.0,0.0,0.0,0.0
valence,2,bias_shrink8,bias_shrink4,8,6,2,0,4,-0.011742141434717634,-0.01684441617467758,0.02189839458294629,-0.027375485107895337
valence,2,bias_trimmed_mean,bias_shrink4,8,0,8,0,-8,0.2118719685869045,0.20586663560772422,0.3424034506514797,0.09641732642624201
valence,2,kernel_residual_shrink4,bias_shrink4,8,5,3,0,2,-0.016924087083557485,-0.006608534419841217,0.01378993616576274,-0.08327820293303778
valence,2,stimulus_only,bias_shrink4,8,5,3,0,2,-0.007996401523024749,-0.02651560381447371,0.07904631617261848,-0.043950140659994696
valence,4,affine_residual_ridge1,bias_shrink4,8,1,7,0,-6,0.4514543583157678,0.4815837290379068,0.958456826562929,-0.09785592742250582
valence,4,affine_residual_ridge4,bias_shrink4,8,1,7,0,-6,0.24961307885911505,0.2989501728672178,0.4437144957387493,-0.13977904943641561
valence,4,bias_empirical_bayes,bias_shrink4,8,7,1,0,6,-0.014407798209887107,-0.01807462315906727,0.019434190551536945,-0.03358759159998481
valence,4,bias_huber,bias_shrink4,8,0,8,0,-8,0.10002366110672273,0.09171178074039377,0.14195484852637552,0.0692881849930318
valence,4,bias_mean,bias_shrink4,8,0,8,0,-8,0.10318742029150199,0.09005133979335489,0.17076710020166597,0.07628973435995268
valence,4,bias_median,bias_shrink4,8,0,8,0,-8,0.10565702772763713,0.10115535364145711,0.14791456881974163,0.07063403719265571
valence,4,bias_shrink1,bias_shrink4,8,0,8,0,-8,0.05183933193739779,0.0422608496964374,0.08847924709094124,0.03412841215548568
valence,4,bias_shrink2,bias_shrink4,8,0,8,0,-8,0.02487634005923911,0.0208353660430719,0.04360878124348044,0.0121858226213305
valence,4,bias_shrink4,bias_shrink4,8,0,0,8,0,0.0,0.0,0.0,0.0
valence,4,bias_shrink8,bias_shrink4,8,7,1,0,6,-0.01457488495029352,-0.01570435057647157,0.005177015088013492,-0.028639352051633482
valence,4,bias_trimmed_mean,bias_shrink4,8,0,8,0,-8,0.10318742029150199,0.09005133979335489,0.17076710020166597,0.07628973435995268
valence,4,kernel_residual_shrink4,bias_shrink4,8,5,3,0,2,-0.024508761843809193,-0.0026657018571165647,0.03053414099655316,-0.1515409337485557
valence,4,stimulus_only,bias_shrink4,8,5,3,0,2,-0.011945158932379907,-0.030874522569612872,0.0661191707113824,-0.04942169474032965
valence,8,affine_residual_ridge1,bias_shrink4,8,2,6,0,-4,0.048982395125381925,0.10026879237940078,0.18320391356283627,-0.24333886689068163
valence,8,affine_residual_ridge4,bias_shrink4,8,2,6,0,-4,0.03682236597724556,0.09167774038452792,0.16694564798509015,-0.2528401290440273
valence,8,bias_empirical_bayes,bias_shrink4,8,7,1,0,6,-0.01068292082964517,-0.014489228028049417,0.022997643783603028,-0.02060086337871292
valence,8,bias_huber,bias_shrink4,8,0,8,0,-8,0.041257365198529405,0.04316236158341946,0.06290073811090546,0.012092798962530793
valence,8,bias_mean,bias_shrink4,8,0,8,0,-8,0.03695543658782591,0.04173908688675876,0.04978628333817192,0.0038326527321577153
valence,8,bias_median,bias_shrink4,8,0,8,0,-8,0.06972867173611674,0.08356831143400234,0.12622532405834375,0.012523538511834742
valence,8,bias_shrink1,bias_shrink4,8,1,7,0,-6,0.022327390950296122,0.02514936031137993,0.029836707206740698,-0.000700693859096102
valence,8,bias_shrink2,bias_shrink4,8,1,7,0,-6,0.01226842043454579,0.01388279108718704,0.016985213882532824,-0.0019863444952257225
valence,8,bias_shrink4,bias_shrink4,8,0,0,8,0,0.0,0.0,0.0,0.0
valence,8,bias_shrink8,bias_shrink4,8,7,1,0,6,-0.010451857451724,-0.012092078840322262,0.009049559306730348,-0.017182391453411272
valence,8,bias_trimmed_mean,bias_shrink4,8,0,8,0,-8,0.03763994749423752,0.03423475323409697,0.06998248380070393,0.012311310105709072
