target,model,n,mae,rmse,pearson,spearman,ccc,balanced_accuracy,macro_f1,auroc,dev_rmse,dev_mae,dev_pearson,dev_spearman,dev_sign_acc,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_ccc,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_pred_dev_std,experiment,table,experiment_description,is_stimulus_only,is_residual_model,is_direct_model,is_augmented,subset
arousal,emg_direct_ridge,504,2.1813409400098696,2.4938154284174674,-0.0025916033954846,-0.0604451998283852,-0.0008408350832627,0.5026494565217391,0.4109781843771991,0.4767323369565217,2.4938154284174674,2.1813409400098696,0.0270974189756475,-0.0067301612307152,0.4285714285714285,1.0866538122393614,-0.2709146727287634,-0.2198510126200328,-0.3839185541134854,-0.3631392213875655,-0.2689743825995662,-0.1471467391304348,-0.2442949462263686,-0.1932744565217391,-0.2709146727287634,-0.2198510126200328,,,0.4285714285714285,1.0866538122393614,04b_clipped_ridge,subset,22-feature EMG Ridge predictions clipped to SAM range,False,False,True,False,top25_train_score_std
arousal,emg_residual_ridge,504,1.9515778202788607,2.3274315538517216,0.3367158291136498,0.3408262948624785,0.2461299921599475,0.6470108695652174,0.6520348837209302,0.6842391304347826,2.3274315538517216,1.9515778202788607,-0.0830820602435089,-0.0619212897786528,0.4781746031746032,0.3419125714088638,-0.041151552997755,-0.053467138054287,-0.0446111216043509,0.0381322733032982,-0.0220035553563558,-0.0027853260869565,-0.0032382468826375,0.0142323369565217,-0.041151552997755,-0.053467138054287,,,0.4781746031746032,0.3419125714088638,04b_clipped_ridge,subset,22-feature EMG Ridge predictions clipped to SAM range,False,True,False,False,top25_train_score_std
valence,stimulus_only,504,1.0589157706093189,1.3230693666365962,0.3318823247544605,0.2667050643714082,0.2025541116278129,0.5037703065166417,0.3968343842491313,0.6852511007270703,1.3230693666365962,1.0589157706093189,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,04b_clipped_ridge,subset,22-feature EMG Ridge predictions clipped to SAM range,True,False,False,False,top25_train_entropy
valence,emg_direct_ridge,504,1.485846150443963,1.9658318835890491,-0.0079037595613497,-0.0046433053108339,-0.002383338428928,0.5005735589331805,0.3972350004694049,0.4952512694208741,1.9658318835890491,1.485846150443963,0.0055140090788796,0.0329795929042395,0.5436507936507936,0.6377102139501867,-0.4269303798346442,-0.6427625169524531,-0.3397860843158103,-0.2713483696822421,-0.2049374500567409,-0.0031967475834612,0.0004006162202735,-0.1899998313061961,-0.4269303798346442,-0.6427625169524531,,,0.5436507936507936,0.6377102139501867,04b_clipped_ridge,subset,22-feature EMG Ridge predictions clipped to SAM range,False,False,True,False,top25_train_entropy
valence,emg_residual_ridge,504,1.054809292070994,1.3255462975524268,0.3287535068578116,0.3532703862955603,0.206065726111083,0.5064441033080855,0.4024877120354765,0.7287741021272288,1.3255462975524268,1.054809292070994,0.0304105277771776,0.0406307952239882,0.5079365079365079,0.1219445755791525,0.0041064785383249,-0.0024769309158305,-0.0031288178966489,0.0865653219241521,0.0035116144832701,0.0026737967914438,0.0056533277863451,0.0435230014001585,0.0041064785383249,-0.0024769309158305,,,0.5079365079365079,0.1219445755791525,04b_clipped_ridge,subset,22-feature EMG Ridge predictions clipped to SAM range,False,True,False,False,top25_train_entropy
valence,stimulus_only,504,1.0547875064004095,1.2971505530737022,0.7377818837811864,0.6314972032763382,0.7031681563849894,0.7380944881889764,0.7193987115246958,0.8359370078740157,1.2971505530737022,1.0547875064004095,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,04b_clipped_ridge,subset,22-feature EMG Ridge predictions clipped to SAM range,True,False,False,False,top25_train_score_std
valence,emg_direct_ridge,504,1.599057125875268,2.054353007621968,0.0522711545666457,-0.0506967256836225,0.0193135141483048,0.4915433070866142,0.4365505600736535,0.4702047244094488,2.054353007621968,1.599057125875268,0.0106948772989844,0.0074862489369768,0.5218253968253969,1.4622745216908477,-0.5442696194748582,-0.7572024545482656,-0.6855107292145406,-0.6821939289599607,-0.6838546422366846,-0.2465511811023621,-0.2828481514510423,-0.3657322834645669,-0.5442696194748582,-0.7572024545482656,,,0.5218253968253969,1.4622745216908477,04b_clipped_ridge,subset,22-feature EMG Ridge predictions clipped to SAM range,False,False,True,False,top25_train_score_std
valence,emg_residual_ridge,504,1.0516369063843365,1.2962895253564537,0.7381891882912649,0.6892581935732195,0.7037346838378503,0.7380944881889764,0.7193987115246958,0.8626614173228346,1.2962895253564537,1.0516369063843365,0.0557967950263789,0.0349960702442223,0.496031746031746,0.127236237510967,0.0031506000160732,0.0008610277172487,0.0004073045100785,0.0577609902968813,0.0005665274528608,0.0,0.0,0.0267244094488189,0.0031506000160734,0.0008610277172487,,,0.496031746031746,0.127236237510967,04b_clipped_ridge,subset,22-feature EMG Ridge predictions clipped to SAM range,False,True,False,False,top25_train_score_std
arousal,stimulus_only,2016,1.5799251152073732,1.944204982116596,0.6343754946304894,0.5984999661777204,0.5793812998802726,0.7686230248306998,0.7739110736354597,0.816073636699185,1.944204982116596,1.5799251152073732,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,04c_nonlinear_22feat,main,22-feature EMG ExtraTrees nonlinear probe,True,False,False,False,
arousal,emg_direct_extratrees,2016,2.2036354783810217,2.543898630937756,-0.0879681903137731,-0.0734151950958863,-0.0154614846977264,0.5010300945321202,0.4026296204415777,0.4650156677323572,2.543898630937756,2.2036354783810217,0.0028308633028894,-0.0513942087786083,0.4310515873015873,1.6460844361036016,-0.6237103631736485,-0.5996936488211599,-0.7223436849442626,-0.6719151612736067,-0.5948427845779991,-0.2675929302985795,-0.371281453193882,-0.3510579689668277,-0.6237103631736485,-0.5996936488211599,,,0.4310515873015873,1.6460844361036016,04c_nonlinear_22feat,main,22-feature EMG ExtraTrees nonlinear probe,False,False,True,False,
