target,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,true_high_rate,pred_high_rate,lift_vs_stimulus_accuracy,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc
valence,0,stimulus_only,midpoint_as_high,2016,0.8883928571428571,0.8973393286745333,0.8865198546473447,0.9531155385169304,812,1204,0.5972222222222222,0.53125,0.0,0.0,0.0,0.0
valence,0,stimulus_only,discard_midpoint,1667,0.9562087582483503,0.9558854031630801,0.9561480984993036,0.9818403768040792,812,855,0.5128974205158968,0.5242951409718056,0.0,0.0,0.0,0.0
valence,0,stimulus_plus_fewshot_bias,midpoint_as_low,2016,0.8660714285714286,0.8795593635250918,0.8658039779535107,0.943285935194,1161,855,0.42410714285714285,0.53125,0.0,0.0,0.0,0.0
valence,0,stimulus_plus_fewshot_bias,midpoint_as_high,2016,0.8883928571428571,0.8973393286745333,0.8865198546473447,0.9531155385169304,812,1204,0.5972222222222222,0.53125,0.0,0.0,0.0,0.0
valence,0,stimulus_plus_fewshot_bias,discard_midpoint,1667,0.9562087582483503,0.9558854031630801,0.9561480984993036,0.9818403768040792,812,855,0.5128974205158968,0.5242951409718056,0.0,0.0,0.0,0.0
valence,0,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,2016,0.8660714285714286,0.8795593635250918,0.8658039779535107,0.943285935194,1161,855,0.42410714285714285,0.53125,0.0,0.0,0.0,0.0
valence,0,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,2016,0.8883928571428571,0.8973393286745333,0.8865198546473447,0.9531155385169304,812,1204,0.5972222222222222,0.53125,0.0,0.0,0.0,0.0
valence,0,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,1667,0.9562087582483503,0.9558854031630801,0.9561480984993036,0.9818403768040792,812,855,0.5128974205158968,0.5242951409718056,0.0,0.0,0.0,0.0
valence,1,stimulus_only,midpoint_as_low,390600,0.8661776753712238,0.8796658095793408,0.8659114954392413,0.943310840492441,224930,165670,0.424142345110087,0.5313031233998976,0.0,0.0,0.0,0.0
valence,1,stimulus_only,midpoint_as_high,390600,0.8885637480798771,0.8975055431702424,0.8866921164047367,0.9531550132589077,157326,233274,0.5972196620583717,0.5313031233998976,0.0,0.0,0.0,0.0
valence,1,stimulus_only,discard_midpoint,322996,0.9563554966624974,0.9560315889047011,0.9562948994764445,0.981882740689326,157326,165670,0.5129165686262369,0.5243191866153141,0.0,0.0,0.0,0.0
valence,1,stimulus_plus_fewshot_bias,midpoint_as_low,390600,0.823504864311316,0.8341286109894176,0.8229391242555052,0.9039739316120403,224930,165670,0.424142345110087,0.5193317972350231,-0.042672811059907834,-0.04553719858992322,-0.04297237118373609,-0.039336908880400645
valence,1,stimulus_plus_fewshot_bias,midpoint_as_high,390600,0.8375166410650282,0.8464305373779721,0.8351931836090576,0.922000660196972,157326,233274,0.5972196620583717,0.521515616999488,-0.051047107014848936,-0.05107500579227031,-0.051498932795679075,-0.031154353061935702
valence,1,stimulus_plus_fewshot_bias,discard_midpoint,322996,0.8989337329254852,0.8987953318381774,0.8988511348119281,0.9575632203347845,157326,165670,0.5129165686262369,0.5156596366518471,-0.057421763737012244,-0.05723625706652369,-0.057443764664516395,-0.024319520354541546
valence,1,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,390600,0.8641986687147978,0.8779522680202814,0.8639524143878332,0.9473730483358281,224930,165670,0.424142345110087,0.5333128520225294,-0.00197900665642603,-0.0017135415590594505,-0.0019590810514080736,0.004062207843387178
valence,1,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,390600,0.8877675371223759,0.8962305344042663,0.8858158736346046,0.9560385747339549,157326,233274,0.5972196620583717,0.5335176651305683,-0.0007962109575012644,-0.0012750087659761933,-0.0008762427701320963,0.0028835614750472027
valence,1,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,322996,0.9547177054824209,0.9543494060769968,0.9546490422065232,0.9827247089189401,157326,165670,0.5129165686262369,0.5259941299582658,-0.0016377911800765643,-0.0016821828277042705,-0.0016458572699212803,0.0008419682296141318
valence,2,stimulus_only,midpoint_as_low,378000,0.8662910052910053,0.8797498838278355,0.8660190554988166,0.9433957738965568,217712,160288,0.42404232804232805,0.5309047619047619,0.0,0.0,0.0,0.0
valence,2,stimulus_only,midpoint_as_high,378000,0.8883174603174603,0.8972967823748745,0.8864573310189408,0.9531634491336648,152300,225700,0.5970899470899471,0.5309047619047619,0.0,0.0,0.0,0.0
valence,2,stimulus_only,discard_midpoint,312588,0.9562587175451392,0.9559417737828966,0.9561993001709492,0.9818963335013718,152300,160288,0.5127772019399337,0.5240540263861696,0.0,0.0,0.0,0.0
valence,2,stimulus_plus_fewshot_bias,midpoint_as_low,378000,0.8456084656084656,0.8580423029481745,0.845244402039665,0.9264598261281013,217712,160288,0.42404232804232805,0.5274550264550265,-0.020682539682539747,-0.02170758087966096,-0.020774653459151637,-0.016935947768455528
