target,block,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,n_low,n_high
arousal,eeg_entropy_complexity,16,physio_context_ridge100,midpoint_as_low,1280,0.484375,0.4893203302620558,0.4837082071327471,732,548
arousal,eeg_entropy_complexity,16,physio_context_ridge100,midpoint_as_high,1280,0.51796875,0.5173562014169225,0.5170109671828473,629,651
arousal,eeg_entropy_complexity,16,physio_context_ridge100,discard_midpoint,1177,0.5012744265080714,0.5027198194330011,0.5011822481558734,629,548
arousal,eeg_entropy_complexity,16,physio_residual_ridge1000,midpoint_as_low,1280,0.58984375,0.5872671612620158,0.5855021992439116,732,548
arousal,eeg_entropy_complexity,16,physio_residual_ridge1000,midpoint_as_high,1280,0.6125,0.6130570798502488,0.6123144864241679,629,651
arousal,eeg_entropy_complexity,16,physio_residual_ridge1000,discard_midpoint,1177,0.6100254885301615,0.6074060320518028,0.6075221595750941,629,548
arousal,eeg_entropy_complexity,16,physio_context_ridge1000,midpoint_as_low,1280,0.39765625,0.3944647201946472,0.3938824431165969,732,548
arousal,eeg_entropy_complexity,16,physio_context_ridge1000,midpoint_as_high,1280,0.4125,0.4125950292933215,0.41249856567032633,629,651
arousal,eeg_entropy_complexity,16,physio_context_ridge1000,discard_midpoint,1177,0.3967714528462192,0.3951933900409641,0.3952518656176367,629,548
arousal,eeg_entropy_complexity,16,physio_similarity_knn64,midpoint_as_low,1280,0.58828125,0.5881945275417814,0.5852738271117643,732,548
arousal,eeg_entropy_complexity,16,physio_similarity_knn64,midpoint_as_high,1280,0.6109375,0.6111986206862867,0.6109289510755851,629,651
arousal,eeg_entropy_complexity,16,physio_similarity_knn64,discard_midpoint,1177,0.6083262531860663,0.6069911689276224,0.6068550768216383,629,548
valence,emg_lagged_interaction_experimental,4,locked_kernel_residual_shrink4,midpoint_as_low,2240,0.8785714285714286,0.885331471266423,0.8785108970907858,1233,1007
valence,emg_lagged_interaction_experimental,4,locked_kernel_residual_shrink4,midpoint_as_high,2240,0.9254464285714286,0.9273387096774193,0.9249454917837905,1000,1240
valence,emg_lagged_interaction_experimental,4,locked_kernel_residual_shrink4,discard_midpoint,2007,0.9486796213253612,0.9486668321747765,0.9486771240161942,1000,1007
valence,emg_lagged_interaction_experimental,4,physio_residual_ridge100,midpoint_as_low,2240,0.8816964285714286,0.888534113597357,0.8816397913622172,1233,1007
valence,emg_lagged_interaction_experimental,4,physio_residual_ridge100,midpoint_as_high,2240,0.9276785714285715,0.9295483870967742,0.9271872712563085,1000,1240
valence,emg_lagged_interaction_experimental,4,physio_residual_ridge100,discard_midpoint,2007,0.9516691579471849,0.9516529294935452,0.9516660861171367,1000,1007
valence,emg_lagged_interaction_experimental,4,physio_context_ridge100,midpoint_as_low,2240,0.8736607142857142,0.8804157595936313,0.8736002300207828,1233,1007
valence,emg_lagged_interaction_experimental,4,physio_context_ridge100,midpoint_as_high,2240,0.9196428571428571,0.9214193548387096,0.919096968062565,1000,1240
valence,emg_lagged_interaction_experimental,4,physio_context_ridge100,discard_midpoint,2007,0.942700548081714,0.9426842105263158,0.9426969062213475,1000,1007
valence,emg_lagged_interaction_experimental,4,physio_residual_ridge1000,midpoint_as_low,2240,0.8816964285714286,0.888534113597357,0.8816397913622172,1233,1007
valence,emg_lagged_interaction_experimental,4,physio_residual_ridge1000,midpoint_as_high,2240,0.9276785714285715,0.9295483870967742,0.9271872712563085,1000,1240
valence,emg_lagged_interaction_experimental,4,physio_residual_ridge1000,discard_midpoint,2007,0.9516691579471849,0.9516529294935452,0.9516660861171367,1000,1007
valence,emg_lagged_interaction_experimental,4,physio_context_ridge1000,midpoint_as_low,2240,0.8616071428571429,0.863915285620285,0.8610328397971208,1233,1007
valence,emg_lagged_interaction_experimental,4,physio_context_ridge1000,midpoint_as_high,2240,0.8861607142857143,0.8921451612903226,0.8859807185250792,1000,1240
valence,emg_lagged_interaction_experimental,4,physio_context_ridge1000,discard_midpoint,2007,0.9172894867962132,0.9173962264150943,0.9172273258494856,1000,1007
valence,emg_lagged_interaction_experimental,4,physio_similarity_knn64,midpoint_as_low,2240,0.8816964285714286,0.888534113597357,0.8816397913622172,1233,1007
valence,emg_lagged_interaction_experimental,4,physio_similarity_knn64,midpoint_as_high,2240,0.9276785714285715,0.9295483870967742,0.9271872712563085,1000,1240
valence,emg_lagged_interaction_experimental,4,physio_similarity_knn64,discard_midpoint,2007,0.9516691579471849,0.9516529294935452,0.9516660861171367,1000,1007
valence,emg_lagged_interaction_experimental,16,locked_kernel_residual_shrink4,midpoint_as_low,1280,0.86953125,0.874900325093541,0.8695024965828042,685,595
valence,emg_lagged_interaction_experimental,16,locked_kernel_residual_shrink4,midpoint_as_high,1280,0.92578125,0.9270873010538265,0.9247054627549007,551,729
valence,emg_lagged_interaction_experimental,16,locked_kernel_residual_shrink4,discard_midpoint,1146,0.944153577661431,0.9438698165291525,0.9440470668652199,551,595
valence,emg_lagged_interaction_experimental,16,physio_residual_ridge100,midpoint_as_low,1280,0.86796875,0.8729988345703245,0.8679551296489934,685,595
valence,emg_lagged_interaction_experimental,16,physio_residual_ridge100,midpoint_as_high,1280,0.92265625,0.9245653867889534,0.9216225226389806,551,729
valence,emg_lagged_interaction_experimental,16,physio_residual_ridge100,discard_midpoint,1146,0.9415357766143106,0.9414159130076714,0.9414454915041741,551,595
valence,emg_lagged_interaction_experimental,16,physio_context_ridge100,midpoint_as_low,1280,0.8625,0.8674477090106115,0.8624879139768143,685,595
valence,emg_lagged_interaction_experimental,16,physio_context_ridge100,midpoint_as_high,1280,0.9171875,0.9190995795149859,0.9160958861753625,551,729
valence,emg_lagged_interaction_experimental,16,physio_context_ridge100,discard_midpoint,1146,0.9354275741710296,0.9353322454208544,0.9353322454208544,551,595
valence,emg_lagged_interaction_experimental,16,physio_residual_ridge1000,midpoint_as_low,1280,0.86796875,0.8729988345703245,0.8679551296489934,685,595
valence,emg_lagged_interaction_experimental,16,physio_residual_ridge1000,midpoint_as_high,1280,0.92265625,0.9245653867889534,0.9216225226389806,551,729
valence,emg_lagged_interaction_experimental,16,physio_residual_ridge1000,discard_midpoint,1146,0.9415357766143106,0.9414159130076714,0.9414454915041741,551,595
valence,emg_lagged_interaction_experimental,16,physio_context_ridge1000,midpoint_as_low,1280,0.8453125,0.8465313132552291,0.8450366986164339,685,595
valence,emg_lagged_interaction_experimental,16,physio_context_ridge1000,midpoint_as_high,1280,0.8765625,0.8849852743110793,0.8760784313725489,551,729
valence,emg_lagged_interaction_experimental,16,physio_context_ridge1000,discard_midpoint,1146,0.9031413612565445,0.9047095426192255,0.9031377473126181,551,595
valence,emg_lagged_interaction_experimental,16,physio_similarity_knn64,midpoint_as_low,1280,0.86796875,0.8729988345703245,0.8679551296489934,685,595
valence,emg_lagged_interaction_experimental,16,physio_similarity_knn64,midpoint_as_high,1280,0.92265625,0.9245653867889534,0.9216225226389806,551,729
valence,emg_lagged_interaction_experimental,16,physio_similarity_knn64,discard_midpoint,1146,0.9415357766143106,0.9414159130076714,0.9414454915041741,551,595
arousal,emg_lagged_interaction_experimental,4,locked_kernel_residual_shrink4,midpoint_as_low,2240,0.6964285714285714,0.6975879926327946,0.6931368377622198,1298,942
arousal,emg_lagged_interaction_experimental,4,locked_kernel_residual_shrink4,midpoint_as_high,2240,0.7035714285714286,0.7043637814120463,0.7035373958745264,1090,1150
arousal,emg_lagged_interaction_experimental,4,locked_kernel_residual_shrink4,discard_midpoint,2032,0.7204724409448819,0.7194140906523305,0.7192146605010354,1090,942
arousal,emg_lagged_interaction_experimental,4,physio_residual_ridge100,midpoint_as_low,2240,0.5683035714285715,0.5695639870583193,0.5653387513482329,1298,942
arousal,emg_lagged_interaction_experimental,4,physio_residual_ridge100,midpoint_as_high,2240,0.5995535714285715,0.5997088153171122,0.5995113483544483,1090,1150
arousal,emg_lagged_interaction_experimental,4,physio_residual_ridge100,discard_midpoint,2032,0.59251968503937,0.5914996396501685,0.5911874132562018,1090,942
arousal,emg_lagged_interaction_experimental,4,physio_context_ridge100,midpoint_as_low,2240,0.5357142857142857,0.5348928123947017,0.5319076771481089,1298,942
arousal,emg_lagged_interaction_experimental,4,physio_context_ridge100,midpoint_as_high,2240,0.5669642857142857,0.5672995612285601,0.5669611787712125,1090,1150
arousal,emg_lagged_interaction_experimental,4,physio_context_ridge100,discard_midpoint,2032,0.5565944881889764,0.5547702526344495,0.5546867380060247,1090,942
arousal,emg_lagged_interaction_experimental,4,physio_residual_ridge1000,midpoint_as_low,2240,0.5941964285714286,0.5898679660689808,0.5881685843841187,1298,942
arousal,emg_lagged_interaction_experimental,4,physio_residual_ridge1000,midpoint_as_high,2240,0.6165178571428571,0.6177143996808935,0.6162142766390267,1090,1150
arousal,emg_lagged_interaction_experimental,4,physio_residual_ridge1000,discard_midpoint,2032,0.6161417322834646,0.6125090087457878,0.6126837660306537,1090,942
arousal,emg_lagged_interaction_experimental,4,physio_context_ridge1000,midpoint_as_low,2240,0.43348214285714287,0.4107225226463055,0.4077396634782169,1298,942
arousal,emg_lagged_interaction_experimental,4,physio_context_ridge1000,midpoint_as_high,2240,0.434375,0.4377861986437974,0.42671061357405154,1090,1150
arousal,emg_lagged_interaction_experimental,4,physio_context_ridge1000,discard_midpoint,2032,0.4271653543307087,0.416326769122889,0.4081742952883103,1090,942
arousal,emg_lagged_interaction_experimental,4,physio_similarity_knn64,midpoint_as_low,2240,0.5785714285714286,0.5854114937565223,0.5775152166129609,1298,942
