target,block,k_calibration,model,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
valence,eeg_bandpower,4,physio_context_ridge1000,63,11,52,0,-41,0.2585723954198888,0.256294745585508,0.8772042533045195,-0.31322530245832325
valence,eeg_bandpower,4,physio_residual_ridge100,63,10,53,0,-43,0.1325580276993821,0.09529828460614631,1.225226977523831,-0.07097864184121105
valence,eeg_bandpower,4,physio_residual_ridge1000,63,16,47,0,-31,0.07268765489100532,0.052984551227322596,0.5244449337552739,-0.07121890492293081
valence,eeg_bandpower,4,physio_similarity_knn64,63,18,45,0,-27,0.05428572224130553,0.04185660154270099,0.3272963488772873,-0.06290957704272548
valence,eeg_bandpower,8,physio_context_ridge100,63,6,57,0,-51,0.1720482532947899,0.1263309177612928,1.2536927204757964,-0.0625447311510825
valence,eeg_bandpower,8,physio_context_ridge1000,63,9,54,0,-45,0.2916221971633818,0.2687933962069966,1.0803352342617913,-0.20393412882024742
valence,eeg_bandpower,8,physio_residual_ridge100,63,8,55,0,-47,0.16645411764447543,0.1191403820438095,1.251402659186235,-0.06894271260794826
valence,eeg_bandpower,8,physio_residual_ridge1000,63,10,53,0,-43,0.10668381362375752,0.07705424511901127,0.5488309367564019,-0.08940876361879857
valence,eeg_bandpower,8,physio_similarity_knn64,63,13,50,0,-37,0.08783529781421355,0.0735574078721164,0.5266869048900535,-0.08781885688058666
valence,eeg_bandpower,16,physio_context_ridge100,63,7,56,0,-49,0.20107593091813086,0.1474623166791591,1.2725632961863762,-0.07770530295516909
valence,eeg_bandpower,16,physio_context_ridge1000,63,7,56,0,-49,0.3206327437011794,0.26937160410750316,1.254823419135583,-0.11061662189359711
valence,eeg_bandpower,16,physio_residual_ridge100,63,8,55,0,-47,0.19536067932323242,0.1465329356675371,1.2734897844306943,-0.09390327423718325
valence,eeg_bandpower,16,physio_residual_ridge1000,63,12,51,0,-39,0.13437100555037002,0.09828691026843694,0.65463603115603,-0.09685469349227116
valence,eeg_bandpower,16,physio_similarity_knn64,63,17,46,0,-29,0.11514225512475616,0.09056872919928893,0.7032205645276446,-0.08426426440934454
valence,eeg_entropy_complexity,4,physio_context_ridge100,63,10,53,0,-43,0.11201281610870222,0.07708494416953027,0.5091327933691412,-0.11904052296143908
