target,method,adaptation,k_calibration,subject,n_eval,zero_rmse,model_rmse,improvement_zero_minus_model
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,15,5,3.0078115434576906,3.090334353367489,-0.08252280990979832
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,16,4,2.809613069149392,2.0401613715863314,0.7694516975630608
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,17,5,2.636975926993294,2.63339620030778,0.0035797266855142063
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,18,12,3.2156493316824264,2.996616934576962,0.2190323971054644
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,19,9,3.1007945080426795,3.441706844379913,-0.3409123363372335
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,20,6,3.0205246562064842,3.2301338948503924,-0.20960923864390812
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,21,5,3.029623082988045,3.3140660610441213,-0.28444297805607643
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,22,12,3.0969141993441154,3.0720561852519466,0.024858014092168812
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,23,4,2.6671489765011622,2.760834540954968,-0.09368556445380571
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,24,5,2.2763202136079914,2.8792219648259407,-0.6029017512179493
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,25,9,3.5687587265633103,3.5853913316720107,-0.01663260510870046
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,26,11,2.9441278102436135,2.7847094890583874,0.15941832118522603
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,27,5,2.9825890882075416,3.275125113100718,-0.29253602489317654
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,28,9,2.7827242350099874,2.743267208289725,0.03945702672026252
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,29,6,2.585923701009687,2.454945141025677,0.1309785599840101
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,30,1,2.467741935483871,2.4029476409477573,0.06479429453611374
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,31,13,3.312745930483647,3.342011729354668,-0.029265798871020987
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,32,3,2.362816065037091,2.9715867069337083,-0.6087706418966174
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,33,5,2.9890974279743703,2.5924506071939772,0.39664682078039304
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,34,3,2.3030465880094124,2.5578679118544247,-0.2548213238450123
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,35,5,3.0611186599954463,2.7339365881737576,0.3271820718216887
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,36,5,2.7350863222989212,2.5111767920178187,0.2239095302811025
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,37,4,3.14414789298227,3.3676559342877592,-0.22350804130548907
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,38,5,2.6995394065069838,3.6255951254517855,-0.9260557189448018
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,39,10,3.051462009499944,3.468398341661579,-0.4169363321616353
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,40,17,3.798886123284371,3.95480634230358,-0.15592021901920905
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,41,13,3.6109835160373875,4.367665594342185,-0.7566820783047974
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,42,14,3.685245633578947,4.204261902286093,-0.5190162687071456
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,43,8,2.7786910280461976,3.263970243203977,-0.4852792151577794
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,44,12,3.665941340298544,3.6318963725471596,0.03404496775138455
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,45,5,3.072434591397889,2.9140636353445197,0.15837095605336948
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,46,9,3.3049607618920334,3.8702117968603273,-0.565251034968294
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,47,13,3.523931629971603,3.711217279615193,-0.18728564964359018
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,48,3,2.7659605265456344,2.6637376186267576,0.10222290791887678
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,49,12,3.440254272923092,3.243328974338025,0.19692529858506713
