target,block,k_calibration,model,subject_id,n,mae,rmse,pearson,ccc,y_true_std,y_pred_std,locked_subject_rmse,delta_rmse_model_minus_locked
valence,emg_existing_22,8,locked_kernel_residual_shrink4,8,1200,0.8054732203483581,1.0122048294195092,0.9321725440923664,0.9198640704215725,2.6832969718033244,2.3509215846993885,1.0122048294195092,0.0
valence,emg_existing_22,8,physio_residual_ridge100,8,1200,0.8629965097705523,1.0651880466530967,0.9402249317857608,0.9066471776011589,2.6832969718033244,2.183900914954159,1.0122048294195092,0.052983217233587565
valence,emg_existing_22,8,physio_context_ridge100,8,1200,0.8823337461551031,1.101629806697954,0.9402826217521018,0.8963581087466131,2.6832969718033244,2.0799860995421575,1.0122048294195092,0.08942497727844478
valence,emg_existing_22,8,physio_residual_ridge1000,8,1200,0.8442404841383299,1.0463180721548886,0.9411117229699495,0.9097377206397351,2.6832969718033244,2.184728326479728,1.0122048294195092,0.03411324273537941
valence,emg_existing_22,8,physio_context_ridge1000,8,1200,1.1698099917173386,1.458119529937055,0.9415710770975265,0.775200159975198,2.6832969718033244,1.4509493889507328,1.0122048294195092,0.4459147005175459
valence,emg_existing_22,8,physio_similarity_knn64,8,1200,0.8532134485244751,1.0667261583164929,0.9366168223177052,0.9072060990141364,2.6832969718033244,2.2132564003915633,1.0122048294195092,0.05452132889698369
valence,emg_existing_22,16,locked_kernel_residual_shrink4,8,800,0.774528440386057,0.9816734294093552,0.9353138874204048,0.9265977717424182,2.7210633835873796,2.3899567593832356,0.9816734294093552,0.0
valence,emg_existing_22,16,physio_residual_ridge100,8,800,0.8555617396533489,1.0547089259625568,0.9434901450731216,0.9100662742103066,2.7210633835873796,2.192348821434939,0.9816734294093552,0.07303549655320163
valence,emg_existing_22,16,physio_context_ridge100,8,800,0.8805250191688537,1.0953973056316988,0.9435434725204923,0.8993482813742621,2.7210633835873796,2.0879470581806214,0.9816734294093552,0.11372387622234359
valence,emg_existing_22,16,physio_residual_ridge1000,8,800,0.8389553451538085,1.0372841463012956,0.9443243324067656,0.912855077449954,2.7210633835873796,2.1931351402906984,0.9816734294093552,0.055610716891940415
valence,emg_existing_22,16,physio_context_ridge1000,8,800,1.1948465403914452,1.4730893466690482,0.9447461471763166,0.7752826122191672,2.7210633835873796,1.4561219888199357,0.9816734294093552,0.491415917259693
valence,emg_existing_22,16,physio_similarity_knn64,8,800,0.8469089879095555,1.056262134762509,0.9400409770437618,0.9106654438134533,2.7210633835873796,2.2231427831827215,0.9816734294093552,0.07458870535315376
valence,emg_existing_22,4,locked_kernel_residual_shrink4,9,1400,0.9246626846279417,1.1589940216480097,0.9059318326818587,0.884509796670789,2.55993213797171,2.218022383459815,1.1589940216480097,0.0
valence,emg_existing_22,4,physio_residual_ridge100,9,1400,0.9385964644806726,1.1859947406038016,0.9101869386191658,0.8793916083518806,2.55993213797171,2.200803509528565,1.1589940216480097,0.027000718955791925
valence,emg_existing_22,4,physio_context_ridge100,9,1400,0.9566801508835384,1.202610261575428,0.9101628401183458,0.8709819517648334,2.55993213797171,2.0952263636375084,1.1589940216480097,0.043616239927418254
