target,k_calibration,model,n,mae,rmse,pearson,spearman,ccc,y_true_mean,y_true_std,y_pred_mean,y_pred_std,residual_mean,residual_std,stimulus_rmse_reference,lift_vs_stimulus_rmse,locked_reference_model,locked_reference_rmse,lift_vs_locked_reference_rmse,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,16,bias_shrink2,2560,1.415668402777778,1.7647863720117793,0.7060184314918951,0.7065661496019985,0.6769245092555416,4.85625,2.4867696792224243,4.807235863095238,1.8583987762800858,0.04901413690476188,1.7641055958252554,2.4400937926310813,0.6753074206193019,bias_shrink4,1.785586825808255,0.02080045379647566,5,3,2,-0.023469316689327113,-0.02529613941049602,0.016654037712191094,-0.0884574248781067
arousal,4,bias_mean,4480,1.5266422193877551,1.9198596816323412,0.6733865117715588,0.676298543096705,0.6689071993284951,4.8176339285714285,2.481629240523306,4.916358418367348,2.2280442032767063,-0.09872448979591833,1.9173196583439,2.4022271235379105,0.48236744190556924,bias_shrink4,1.9368991091859824,0.017039427553641184,5,3,2,-0.027785031296895524,-0.047854748632922384,0.15494635635440623,-0.19612688643978915
arousal,4,bias_trimmed_mean,4480,1.5266422193877551,1.9198596816323412,0.6733865117715591,0.6763215405820514,0.6689071993284951,4.8176339285714285,2.481629240523306,4.916358418367348,2.2280442032767063,-0.09872448979591836,1.9173196583439,2.4022271235379105,0.48236744190556924,bias_shrink4,1.9368991091859824,0.017039427553641184,5,3,2,-0.027785031296895524,-0.047854748632922384,0.15494635635440623,-0.19612688643978915
arousal,16,bias_huber,2560,1.3920805764673503,1.769541105354441,0.7124684038610092,0.7125471223992061,0.6997025491697839,4.85625,2.4867696792224243,4.794375627115859,2.0589791706701654,0.06187437288414098,1.7684590143735905,2.4400937926310813,0.6705526872766403,bias_shrink4,1.785586825808255,0.016045720453814027,5,3,2,-0.021967496569713724,-0.022407896623145795,0.07877368206894442,-0.17309942399585165
arousal,16,bias_trimmed_mean,2560,1.3880691964285714,1.772623085159622,0.7137137465200446,0.7132240091500994,0.7027489069499182,4.85625,2.4867696792224243,4.771640625,2.0927622829386108,0.08460937500000003,1.7706026814909452,2.4400937926310813,0.6674707074714592,bias_shrink4,1.785586825808255,0.012963740648632927,5,3,2,-0.019090480749337058,-0.019821424963283096,0.09482732535461125,-0.17308476768013725
arousal,8,bias_median,3840,1.4130208333333336,1.8066746052490195,0.7089388148489904,0.7092630625912306,0.7041819750312133,4.83828125,2.47269319351022,4.747433035714285,2.2162113124909193,0.09084821428571434,1.8043890188129603,2.407846618897486,0.6011720136484664,bias_shrink4,1.8150233627301429,0.008348757481123403,4,4,0,-0.015127192732643485,0.0018284463646536242,0.16993655616739733,-0.2584699909316983
arousal,16,bias_median,2560,1.3914620535714286,1.7835768457781456,0.7141650834377329,0.71334459755344,0.7057655669718358,4.85625,2.4867696792224243,4.744140625,2.1482580622828777,0.11210937500000004,1.7800499579598958,2.4400937926310813,0.6565169468529357,bias_shrink4,1.785586825808255,0.0020099800301094373,3,5,-2,-0.00477176368552476,0.007211263387231326,0.09499239460683606,-0.19219072154067351
arousal,16,bias_shrink4,2560,1.448119419642857,1.785586825808255,0.6963194158473697,0.6963516156325233,0.6557988091757044,4.85625,2.4867696792224243,4.809542410714286,1.7540668346032038,0.04670758928571427,1.7849758299772904,2.4400937926310813,0.6545069668228263,bias_shrink4,1.785586825808255,0.0,0,0,0,0.0,0.0,0.0,0.0
arousal,8,bias_shrink4,3840,1.4905257936507936,1.8150233627301429,0.6793073607615172,0.6774308172499373,0.6263839940388052,4.83828125,2.47269319351022,4.821540178571428,1.644042604648631,0.01674107142857147,1.8149461545135877,2.407846618897486,0.592823256167343,bias_shrink4,1.8150233627301429,0.0,0,0,0,0.0,0.0,0.0,0.0
arousal,4,bias_shrink4,4480,1.6108976403061226,1.9368991091859824,0.6255663606198552,0.6233264588553429,0.5614528489818897,4.8176339285714285,2.481629240523306,4.873166454081633,1.5469301875595356,-0.055532525510204,1.9361028634284674,2.4022271235379105,0.46532801435192805,bias_shrink4,1.9368991091859824,0.0,0,0,0,0.0,0.0,0.0,0.0
arousal,2,bias_shrink4,4800,1.7266666666666666,2.0619662780881725,0.5536555695659324,0.5520437630119052,0.48015337473647063,4.82625,2.4748355374650655,4.846607142857142,1.4330187112673733,-0.0203571428571428,2.0618657858132967,2.4078951770526618,0.3459288989644893,bias_shrink4,2.0619662780881725,0.0,0,0,0,0.0,0.0,0.0,0.0
arousal,1,bias_shrink4,4960,1.8733870967741935,2.231847703988458,0.45017828553716405,0.454289450763126,0.3800427526780327,4.822983870967742,2.484085630386902,4.819458525345622,1.3652705579012363,0.0035253456221198804,2.23184491973273,2.4157487114215117,0.18390100743305382,bias_shrink4,2.231847703988458,0.0,0,0,0,0.0,0.0,0.0,0.0
arousal,0,stimulus_only,256,2.0390625,2.4114416891992563,0.32017274237776433,0.3210211211516461,0.2675339998368259,4.828125,2.4799488874521183,4.828125,1.337482044391205,3.469446951953614e-17,2.4114416891992563,2.4114416891992563,0.0,stimulus_only,2.4114416891992563,0.0,0,0,0,0.0,0.0,0.0,0.0
arousal,4,affine_residual_ridge4,4480,1.508753060417768,1.937026843558101,0.6648203600193293,0.6631964146321933,0.6603333158265715,4.8176339285714285,2.481629240523306,4.850772947346517,2.210600844635239,-0.03313901877508825,1.9367433485362189,2.4022271235379105,0.4652002799798094,bias_shrink4,1.9368991091859824,-0.00012773437211865968,4,4,0,-0.025581228166202508,0.003912679578396139,0.27882412136650814,-0.4594748111560971
arousal,2,bias_huber,4800,1.6265178571428571,2.0647398165880566,0.6392479480280383,0.6420356403778054,0.6386103178332354,4.82625,2.4748355374650655,4.880535714285714,2.3809219871571963,-0.05428571428571426,2.0640260588055983,2.4078951770526618,0.34315536046460515,bias_shrink4,2.0619662780881725,-0.002773538499884154,4,4,0,-0.018425990407117315,0.011029455111538855,0.4363147815497088,-0.41113508409984423
