epoch,train_loss,train_huber,train_bce,val_rmse_scaled,val_bce,val_objective,stage,test_subject,target,auxiliary,y_fit_mean,y_fit_std,early_stop,y_outer_mean,y_outer_std
1,0.6157199370284234,0.4413550025032413,0.6974597419461896,,,,final,5,arousal,residual_sign,,,,-7.162729191130042e-18,1.9474092830945495
2,0.6036692713537524,0.43128489054018454,0.6895375386361153,,,,final,5,arousal,residual_sign,,,,-7.162729191130042e-18,1.9474092830945495
3,0.5902778559154079,0.42026360092624543,0.6800570209180156,,,,final,5,arousal,residual_sign,,,,-7.162729191130042e-18,1.9474092830945495
1,0.6196216935360873,0.44525580135760484,0.697463576440458,0.9424679575037703,0.6881056427955627,1.114494368202661,inner,6,arousal,residual_sign,-8.22387425648264e-18,1.9152134222666124,,,
2,0.6044517573383119,0.4309840028484662,0.693871013544224,0.9412552078388186,0.6810392141342163,1.1115150113723726,inner,6,arousal,residual_sign,-8.22387425648264e-18,1.9152134222666124,,,
3,0.6000076195708027,0.42833893442595444,0.6866747549286595,0.9529613051068614,0.680910587310791,1.123188951934559,inner,6,arousal,residual_sign,-8.22387425648264e-18,1.9152134222666124,,,
4,0.5885233172663936,0.4193992675454528,0.6764962132330294,0.9726041924949909,0.6923498511314392,1.1456916552778507,inner,6,arousal,residual_sign,-8.22387425648264e-18,1.9152134222666124,,,
5,0.5712995738894852,0.40605602744552827,0.6609741968137247,0.9727586559272606,0.6892445087432861,1.1450697831130823,inner,6,arousal,residual_sign,-8.22387425648264e-18,1.9152134222666124,,,
6,0.5479382668380384,0.3865446489718225,0.6455744714648636,0.9935897877876757,0.7036807537078857,1.169509976214647,inner,6,arousal,residual_sign,-8.22387425648264e-18,1.9152134222666124,,,
7,0.5248774648816498,0.3691224497225549,0.6230200529098511,1.0401015591719467,0.7507666945457458,1.2277932328083832,inner,6,arousal,residual_sign,-8.22387425648264e-18,1.9152134222666124,,,
8,0.4864634253360607,0.3393733493155903,0.5883602974591432,1.0631060874338747,0.792797863483429,1.261305553304732,inner,6,arousal,residual_sign,-8.22387425648264e-18,1.9152134222666124,,,
9,0.44536421199639636,0.30926870913417254,0.5443820186235286,1.1257778976141064,0.8221217393875122,1.3313083324609845,inner,6,arousal,residual_sign,-8.22387425648264e-18,1.9152134222666124,,,
10,0.41368533036223165,0.2860154793770225,0.5106794078041006,1.1326929972905138,0.8632855415344238,1.3485143826741197,inner,6,arousal,residual_sign,-8.22387425648264e-18,1.9152134222666124,True,,
1,0.6247935035536366,0.4509025062284162,0.6955639931463427,,,,final,6,arousal,residual_sign,,,,1.7906822977825105e-17,1.9011711549146475
2,0.60090797562753,0.42852061482206466,0.6895494364923046,,,,final,6,arousal,residual_sign,,,,1.7906822977825105e-17,1.9011711549146475
1,0.6141603384856824,0.4411828241966389,0.6919100560523845,0.9053951212630014,0.6992976665496826,1.080219537900422,inner,7,arousal,residual_sign,-4.11193712824132e-18,1.975500193519591,,,
