method,subject_id,n_high,zero_rmse_high,model_rmse_high,improvement_zero_minus_model,pearson_high,sign_acc_high
neural_noaug_anchor,57,9,3.447972059249878,3.275941848754883,0.17203021049499512,0.5162857880397126,0.6666666666666666
neural_noaug_anchor,58,5,2.9292471408843994,2.7819504737854004,0.14729666709899902,-0.06944564821631868,1.0
neural_noaug_anchor,59,9,3.506077289581299,3.8989124298095703,-0.3928351402282715,-0.28005956179358216,0.1111111111111111
neural_noaug_anchor,60,12,3.4430103302001953,3.5728940963745117,-0.1298837661743164,0.4027782469409928,0.0
neural_noaug_anchor,61,6,3.0737340450286865,2.9768083095550537,0.09692573547363281,-0.16250451744372413,1.0
neural_noaug_anchor,62,8,3.4774105548858643,3.4596474170684814,0.017763137817382812,-0.08289636202900832,0.75
neural_noaug_anchor,63,11,3.228668212890625,3.288339614868164,-0.05967140197753906,0.22794674163647632,0.5454545454545454
neural_noaug_anchor,64,2,3.7519679069519043,3.743192434310913,0.008775472640991211,,0.5
neural_noaug_anchor,65,10,2.7879767417907715,2.7784383296966553,0.009538412094116211,-0.005695004485563911,0.4
neural_gaussian_0p10_anchor,1,9,3.054269790649414,3.0657882690429688,-0.011518478393554688,0.5345942608909898,0.4444444444444444
neural_gaussian_0p10_anchor,2,15,3.6806721687316895,4.031014442443848,-0.3503422737121582,-0.4850544677803112,0.4666666666666667
neural_gaussian_0p10_anchor,3,6,3.108191967010498,2.7988288402557373,0.30936312675476074,-0.46132233298328923,1.0
neural_gaussian_0p10_anchor,5,8,2.909100294113159,2.8923447132110596,0.01675558090209961,0.05755039383199801,0.75
neural_gaussian_0p10_anchor,6,22,4.379451274871826,4.527821063995361,-0.14836978912353516,0.07231011596253487,0.0
neural_gaussian_0p10_anchor,7,7,2.6614577770233154,2.8878231048583984,-0.226365327835083,-0.5105162283399943,0.14285714285714285
neural_gaussian_0p10_anchor,8,10,2.780179262161255,3.0938076972961426,-0.3136284351348877,-0.11224167664171464,0.4
neural_gaussian_0p10_anchor,9,10,3.547041416168213,3.2638115882873535,0.2832298278808594,-0.03995020846019484,0.8
neural_gaussian_0p10_anchor,10,7,2.8355135917663574,2.8357861042022705,-0.00027251243591308594,-0.15724693201066095,0.5714285714285714
neural_gaussian_0p10_anchor,11,9,3.292891025543213,3.3856701850891113,-0.09277915954589844,-0.32322423167122105,0.4444444444444444
neural_gaussian_0p10_anchor,12,3,2.3139400482177734,2.2953834533691406,0.018556594848632812,0.5684257005636995,0.6666666666666666
neural_gaussian_0p10_anchor,13,13,3.371816396713257,3.143402338027954,0.22841405868530273,-0.3136563092259982,0.8461538461538461
neural_gaussian_0p10_anchor,14,7,2.819840669631958,2.614281177520752,0.20555949211120605,-0.7614605752060465,0.8571428571428571
