seed,test_subject,train_rows,val_rows,test_rows,high_threshold,threshold_source,best_epoch,best_monitor,test_high_n,test_all_model_rmse,test_high_zero_rmse,test_high_model_rmse,test_high_lift_vs_zero,test_high_pearson
11,14,1728,256,32,2.2096774193548385,05ajb_confirmatory,9,3.0053043008026155,7,2.291800237301419,2.813465638713587,2.8262287868316145,-0.0127631481180277,-0.1654107984794672
11,15,1728,256,32,2.2096774193548385,05ajb_confirmatory,3,2.3475515606990527,5,2.1771628351498205,2.9857917198975805,2.992818768451043,-0.007027048553462478,0.4018323902041054
11,16,1728,256,32,2.2096774193548385,05ajb_confirmatory,2,3.456716740593903,3,1.8612815594503143,3.0715815432839593,3.0629202107194127,0.008661332564546598,0.7846812907855831
11,17,1728,256,32,2.2096774193548385,05ajb_confirmatory,2,2.9154886088180674,5,1.3887010452542712,2.74545385747095,2.3619138022811073,0.3835400551898429,0.34866262821584765
11,18,1728,256,32,2.2096774193548385,05ajb_confirmatory,2,3.1508057820833217,11,2.079934583254986,3.303311295046227,2.616430819742226,0.686880475304001,0.43152345595124475
11,19,1728,256,32,2.2096774193548385,05ajb_confirmatory,2,2.8510011301656295,9,1.681007207650135,3.1270961416198553,2.8439497265433475,0.28314641507650773,-0.1586613062271448
11,20,1728,256,32,2.2096774193548385,05ajb_confirmatory,2,3.203998698015776,6,1.7167667637395716,2.9792281872691424,3.1421982915783655,-0.1629701043092231,-0.27338019953327514
11,21,1728,256,32,2.2096774193548385,05ajb_confirmatory,3,3.2762675050061483,4,1.8402879410736623,3.1880236549025955,2.716703545235379,0.4713201096672166,0.8392157120217002
11,22,1728,256,32,2.2096774193548385,05ajb_confirmatory,1,3.2019313801859868,12,2.230949270664896,3.0347072044481846,3.079907161451709,-0.045199957003524194,-0.4309035554068577
11,23,1728,256,32,2.2096774193548385,05ajb_confirmatory,9,2.913075085157186,4,1.9566431648919027,2.7005625922065892,0.7923494743078753,1.9082131178987138,0.6048699941682689
11,24,1728,256,32,2.2096774193548385,05ajb_confirmatory,2,2.9736760821894097,4,1.6183326745012543,2.363089214759809,1.991454486638987,0.3716347281208221,0.4926881934706775
11,25,1728,256,32,2.2096774193548385,05ajb_confirmatory,1,3.074999117990745,9,2.28011594656634,3.5765786062736096,3.5126423706520606,0.06393623562154893,-0.20182508387090392
11,26,1728,256,32,2.2096774193548385,05ajb_confirmatory,8,2.9674996504942817,11,2.257861462883331,2.9780392768445028,2.3896275498642616,0.5884117269802411,-0.03971781965859349
11,27,1728,256,32,2.2096774193548385,05ajb_confirmatory,6,3.1775818399956073,6,1.691236349678959,2.864579963429976,2.233676551150965,0.6309034122790109,0.5918211764397907
11,28,1728,256,32,2.2096774193548385,05ajb_confirmatory,2,3.042414939990721,4,2.8528746595959955,3.2457368408061518,4.642602096015456,-1.3968652552093044,-0.055453237166827644
