target,feature_block,model,k_calibration,candidate_rmse,locked_B2_k16_rmse,pooled_delta_rmse_candidate_minus_locked_B2,pooled_lift_vs_locked_B2_rmse,subjects_with_pair,mean_delta_rmse_candidate_minus_locked_B2,median_delta_rmse_candidate_minus_locked_B2,ci95_low_mean_delta_candidate_minus_locked_B2,ci95_high_mean_delta_candidate_minus_locked_B2,wins_vs_locked_B2,losses_vs_locked_B2,ties_vs_locked_B2,win_margin_vs_locked_B2,subject_evidence_status,passes_sample_reduction_gate,reason
arousal,eeg_entropy_complexity,physio_residual_ridge100,16,2.033968275350786,1.6576672767528169,0.37630099859796906,-0.37630099859796906,63,0.3551495920987191,0.2022832577937983,0.2582696344478441,0.4645172976705693,10,53,0,-43,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_entropy_complexity,physio_context_ridge100,8,2.034188411681636,1.6576672767528169,0.37652113492881933,-0.37652113492881933,63,0.3557174076123486,0.20855588999269736,0.25945852489505394,0.46382708998279165,8,55,0,-47,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_entropy_complexity,physio_context_ridge100,16,2.036674885090376,1.6576672767528169,0.3790076083375593,-0.3790076083375593,63,0.35883752001751457,0.21870553491897393,0.26186230358127077,0.46783543563214786,5,58,0,-53,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_context_ridge1000,16,2.037078712772669,1.6576672767528169,0.37941143601985217,-0.37941143601985217,63,0.3641392322462222,0.27555498865609085,0.2774110618976074,0.4587963212484796,8,55,0,-47,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_context_ridge1000,4,2.037718462987237,1.6576672767528169,0.38005118623442,-0.38005118623442,63,0.36436151581905885,0.2811478771507381,0.2781743274204693,0.45801024804743246,6,57,0,-51,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_context_ridge1000,8,2.040663729035633,1.6576672767528169,0.3829964522828162,-0.3829964522828162,63,0.3666781008427335,0.2750439019854247,0.28044984608397067,0.4604465398015319,7,56,0,-49,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_residual_ridge100,16,2.063500427281973,1.6576672767528169,0.4058331505291559,-0.4058331505291559,63,0.37831002794720553,0.2134633925927354,0.2711891866286397,0.49990230027399457,6,57,0,-51,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_residual_ridge100,4,2.067070297121722,1.6576672767528169,0.4094030203689052,-0.4094030203689052,63,0.38159411472416077,0.23578971886275002,0.2757154900516231,0.5053603118344697,5,58,0,-53,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_context_ridge100,16,2.0680115787763165,1.6576672767528169,0.4103443020234996,-0.4103443020234996,63,0.3824584542547873,0.22243948642183642,0.27617127271542524,0.5051276819665077,3,60,0,-57,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_residual_ridge100,8,2.069756464310212,1.6576672767528169,0.4120891875573951,-0.4120891875573951,63,0.38319176627734547,0.24769811550770315,0.27627482526069325,0.5080504018868469,6,57,0,-51,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
