target,block,k_calibration,model,test_subject,n,mae,rmse,pearson,spearman,ccc,y_true_std,y_pred_std
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_shrink4,1,320,2.0104166666666665,2.4417775856489836,0.372007860747233,0.3916771124426095,0.3547770615673167,2.4511456983164015,1.7976564605062895
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_shrink4,2,320,1.5210416666666664,1.899528450256361,0.5952332195932941,0.6072558677831024,0.5408874043351128,2.2854648562983852,1.562383203968113
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_shrink4,3,320,1.3486458333333333,1.6984715351031219,0.5287623272631287,0.49609438968020214,0.5019561056046753,1.517318641345647,1.811954850967442
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_shrink4,5,320,1.2965625,1.5974893496428144,0.6482398143186674,0.6868431117896268,0.6286466137633473,2.014592758940377,1.6540253796714313
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,1,320,2.0104019301911302,2.442477689425161,0.37198804895127996,0.3924666586697007,0.3548714060558632,2.4511456983164015,1.7995247190797976
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,2,320,1.5158210879974319,1.8986198923574313,0.5956311418071165,0.6074171438921543,0.5428088194397569,2.2854648562983852,1.5719660616807798
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,3,320,1.2684424263760814,1.6595138678767556,0.5107403246928135,0.47237160287292057,0.5030608371189608,1.517318641345647,1.7987554370913248
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,5,320,1.286785057029536,1.6017769966915074,0.6454194567498807,0.6827194448144824,0.6269755490603743,2.014592758940377,1.6582808738016155
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_physio,1,320,2.0031491557114753,2.376288162427471,0.419092898079722,0.4461684242397135,0.3871239472988267,2.4511456983164015,1.7360657548156968
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_physio,2,320,2.4926325542136,2.8970605869319344,0.6183650765224461,0.6287995260977941,0.34574476054417086,2.2854648562983852,1.56918467022123
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_physio,3,320,2.163247568296986,2.4795623214336375,0.5371021965417102,0.4937541248817422,0.31650668296575013,1.517318641345647,1.74676688895241
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_physio,5,320,1.3325701114116004,1.6449851642159998,0.6667835693700391,0.6961146244629729,0.6167701570737809,2.014592758940377,1.6210105740622678
valence,eeg_entropy_complexity,0,stimulus_only,1,32,1.25,1.4505745987941008,0.843328769756475,0.8241161932973933,0.8362632352196161,2.4746764308692963,2.5747294558522715
valence,eeg_entropy_complexity,0,stimulus_only,2,32,1.1666666666666667,1.552328000849763,0.8415967957305996,0.8230010108987657,0.8301231545934369,2.839282204624965,2.463954554899727
valence,eeg_entropy_complexity,0,stimulus_only,3,32,1.2083333333333333,1.552328000849763,0.8216088778923217,0.8105190938933253,0.820813632622763,2.6485181588012567,2.536346036186265
valence,eeg_entropy_complexity,0,stimulus_only,5,32,1.2708333333333333,1.5612494995995994,0.8604567133608831,0.8623646177641908,0.8323406923111369,2.8870332414954976,2.4356073492503305
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias,1,32,1.25,1.4505745987941008,0.843328769756475,0.8241161932973933,0.8362632352196161,2.4746764308692963,2.5747294558522715
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias,2,32,1.1666666666666667,1.552328000849763,0.8415967957305996,0.8230010108987657,0.8301231545934369,2.839282204624965,2.463954554899727
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias,3,32,1.2083333333333333,1.552328000849763,0.8216088778923217,0.8105190938933253,0.820813632622763,2.6485181588012567,2.536346036186265
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias,5,32,1.2708333333333333,1.5612494995995994,0.8604567133608831,0.8623646177641908,0.8323406923111369,2.8870332414954976,2.4356073492503305
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_plus_physio,1,32,1.2583195366116153,1.469242682855499,0.839897252892689,0.8344893180532428,0.8325741030846899,2.4746764308692963,2.5823360523316823
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_plus_physio,2,32,1.1585069398080627,1.5105225432334881,0.8517620720416426,0.82947689945575,0.8398183806306058,2.839282204624965,2.4732627934788325
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_plus_physio,3,32,1.222489660174112,1.5433979240421367,0.8279833286785461,0.8352670994130066,0.8248913650527576,2.6485181588012567,2.5585297750867815
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_plus_physio,5,32,1.2564597668830517,1.535184296652396,0.8657001866637709,0.8630330847405653,0.837623797172168,2.8870332414954976,2.4321949006804173
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_shrink4,1,32,1.25,1.4505745987941008,0.843328769756475,0.8241161932973933,0.8362632352196161,2.4746764308692963,2.5747294558522715
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_shrink4,2,32,1.1666666666666667,1.552328000849763,0.8415967957305996,0.8230010108987657,0.8301231545934369,2.839282204624965,2.463954554899727
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_shrink4,3,32,1.2083333333333333,1.552328000849763,0.8216088778923217,0.8105190938933253,0.820813632622763,2.6485181588012567,2.536346036186265
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_shrink4,5,32,1.2708333333333333,1.5612494995995994,0.8604567133608831,0.8623646177641908,0.8323406923111369,2.8870332414954976,2.4356073492503305
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,1,32,1.2583195366116153,1.469242682855499,0.839897252892689,0.8344893180532428,0.8325741030846899,2.4746764308692963,2.5823360523316823
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,2,32,1.1585069398080627,1.5105225432334881,0.8517620720416426,0.82947689945575,0.8398183806306058,2.839282204624965,2.4732627934788325
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,3,32,1.222489660174112,1.5433979240421367,0.8279833286785461,0.8352670994130066,0.8248913650527576,2.6485181588012567,2.5585297750867815
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,5,32,1.2564597668830517,1.535184296652396,0.8657001866637709,0.8630330847405653,0.837623797172168,2.8870332414954976,2.4321949006804173
valence,eeg_entropy_complexity,0,stimulus_plus_physio,1,32,1.2583195366116153,1.469242682855499,0.839897252892689,0.8344893180532428,0.8325741030846899,2.4746764308692963,2.5823360523316823
valence,eeg_entropy_complexity,0,stimulus_plus_physio,2,32,1.1585069398080627,1.5105225432334881,0.8517620720416426,0.82947689945575,0.8398183806306058,2.839282204624965,2.4732627934788325
valence,eeg_entropy_complexity,0,stimulus_plus_physio,3,32,1.222489660174112,1.5433979240421367,0.8279833286785461,0.8352670994130066,0.8248913650527576,2.6485181588012567,2.5585297750867815
valence,eeg_entropy_complexity,0,stimulus_plus_physio,5,32,1.2564597668830517,1.535184296652396,0.8657001866637709,0.8630330847405653,0.837623797172168,2.8870332414954976,2.4321949006804173
valence,eeg_entropy_complexity,4,stimulus_only,1,560,1.2363095238095236,1.440830338205045,0.8421060703429479,0.8264071253771422,0.8357371547771543,2.4543530414430634,2.55518430582506
valence,eeg_entropy_complexity,4,stimulus_only,2,560,1.1720238095238096,1.5504095721033981,0.8443932454872964,0.826669167314973,0.8318480455966316,2.8620939244988204,2.4602335415155583
valence,eeg_entropy_complexity,4,stimulus_only,3,560,1.2023809523809523,1.5360741549560066,0.8252397536250502,0.8156899007290781,0.8240846990205091,2.6553157120410833,2.522123201228852
valence,eeg_entropy_complexity,4,stimulus_only,5,560,1.2690476190476188,1.5476556772221963,0.8607896680618765,0.8660105216811146,0.8338821842063049,2.8594276578735554,2.442480013588657
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias,1,560,1.3127976190476192,1.5994635757524243,0.8095408494388543,0.8017910986350423,0.8052642437858109,2.4543530414430634,2.662169025450493
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias,2,560,1.3282738095238096,1.7521953350193271,0.7980181813371101,0.7865075519756076,0.794050413952655,2.8620939244988204,2.5913467440398255
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias,3,560,1.4163690476190478,1.778286137634095,0.7770370832709322,0.7791276719480169,0.7765838146121866,2.6553157120410833,2.663723130951741
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias,5,560,1.3967261904761905,1.7480147469502525,0.7978471776242929,0.790427704274497,0.7931592506838888,2.8594276578735554,2.56794461956659
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_plus_physio,1,560,1.3236453636956644,1.608435525049715,0.8075680107619352,0.8055942098423544,0.8033870420883783,2.4543530414430634,2.6666981702409926
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_plus_physio,2,560,1.3065581951913467,1.7093530828427552,0.8083073863998705,0.7951935315633019,0.8046059983387803,2.8620939244988204,2.600430031078409
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_plus_physio,3,560,1.4228778904466357,1.7605804263434512,0.784092804078307,0.7885446781909146,0.7829278865562947,2.6553157120410833,2.684824095121417
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_plus_physio,5,560,1.3837300472294674,1.7255726185662648,0.8029756789498799,0.7924540518059304,0.7981777835179283,2.8594276578735554,2.564399272461075
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4,1,560,1.2291666666666665,1.469789188263578,0.83177308665755,0.8195342067646089,0.8303115442948465,2.4543530414430634,2.588969791208513
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4,2,560,1.2089285714285714,1.6067079437989553,0.8294280065630344,0.8104212270715745,0.8212978227366758,2.8620939244988204,2.498918753567852
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4,3,560,1.2735119047619048,1.6141118743312506,0.8095432428567033,0.7991315349862577,0.8088234835320142,2.6553157120410833,2.563895145898326
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4,5,560,1.2644345238095236,1.5764260362031095,0.8405314080342972,0.8348850209942733,0.8268864709925995,2.8594276578735554,2.46944307344197
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,1,560,1.2396786288877226,1.4808394521729509,0.8297130346625455,0.826587438430976,0.8280850325537352,2.4543530414430634,2.5934761381720945
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,2,560,1.191669405197427,1.562872378215519,0.8396816212867885,0.8193262804732261,0.8315653817018622,2.8620939244988204,2.5089011513084687
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,3,560,1.2872749565932302,1.5990600165789657,0.8163063163090033,0.8161772547994955,0.8142709647585522,2.6553157120410833,2.585945434288079
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,5,560,1.2516535474724606,1.5510146257670727,0.8457611396922747,0.8400253489703889,0.8321836243155311,2.8594276578735554,2.4663787984229266
valence,eeg_entropy_complexity,4,stimulus_plus_physio,1,560,1.2411512526901105,1.4534171478827385,0.8400312029299207,0.8370583991099563,0.8332321108933418,2.4543530414430634,2.5595975122256327
valence,eeg_entropy_complexity,4,stimulus_plus_physio,2,560,1.1619867983584442,1.5080416702976192,0.8544946554314189,0.8326504203603387,0.841633495090397,2.8620939244988204,2.470945321191313
valence,eeg_entropy_complexity,4,stimulus_plus_physio,3,560,1.2148099919164093,1.5249437847771532,0.8318147561077881,0.840957460856622,0.8285878528627436,2.6553157120410833,2.5446722536917035
valence,eeg_entropy_complexity,4,stimulus_plus_physio,5,560,1.2541029858352828,1.5212650762758824,0.8658912535543514,0.8675566475949625,0.8392543924551511,2.8594276578735554,2.4400112962897014
valence,eeg_entropy_complexity,16,stimulus_only,1,320,1.2302083333333336,1.4345682664520052,0.8547198218131973,0.8356826889650039,0.8424307718585932,2.464115507514816,2.6121037378902088
valence,eeg_entropy_complexity,16,stimulus_only,2,320,1.1552083333333332,1.557575573340397,0.8377005562607005,0.8116234131732613,0.8272631613103598,2.837355447859855,2.44413071593915
valence,eeg_entropy_complexity,16,stimulus_only,3,320,1.2552083333333333,1.6028403608039767,0.8115467639103701,0.7957256326240354,0.8098417007332686,2.677508680541484,2.5176245072929806
valence,eeg_entropy_complexity,16,stimulus_only,5,320,1.2552083333333333,1.5367037233420542,0.8710001839364195,0.873636018315397,0.8435519976536249,2.9447898243125943,2.482101728990082
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias,1,320,1.2079427083333332,1.4460719663780377,0.8430487820902198,0.8262404118470095,0.8390585125919314,2.464115507514816,2.6239785959254696
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias,2,320,1.21796875,1.6482116255202182,0.8181847562761011,0.7865165117129767,0.8091598863932604,2.837355447859855,2.4808214015500774
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias,3,320,1.3203125,1.6728336426056638,0.7977078627028666,0.7699402233157044,0.7954453844458925,2.677508680541484,2.547427513348297
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias,5,320,1.166015625,1.5007882766695937,0.8605606995828754,0.858715364504254,0.8483887257620846,2.9447898243125943,2.486774697092043
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_plus_physio,1,320,1.2228459961837186,1.4706153393956936,0.8389544025690511,0.8328466303795807,0.8345050690404843,2.464115507514816,2.6376250045004253
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_plus_physio,2,320,1.19335409728304,1.5979910772874881,0.8291204834652173,0.7999981963685416,0.8208243743848342,2.837355447859855,2.486329194254522
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_plus_physio,3,320,1.3567279397367924,1.696985787564686,0.8018670425775124,0.7904584145657952,0.7929379516351277,2.677508680541484,2.568217858737359
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_plus_physio,5,320,1.157801936640323,1.4798595256723313,0.8648847460475197,0.861335359369769,0.8523320814021117,2.9447898243125943,2.481539141055573
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_shrink4,1,320,1.2095833333333332,1.4381290893997583,0.8459085731157076,0.8286184730371154,0.840788245808936,2.464115507514816,2.6199485456673464
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_shrink4,2,320,1.1963541666666668,1.6209757863706664,0.8230358372667749,0.791294895821411,0.8145161008643982,2.837355447859855,2.4704952603875245
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_shrink4,3,320,1.3040625000000001,1.655254679967876,0.8011364650116977,0.7767850662312444,0.7990366092925725,2.677508680541484,2.5392881972338452
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_shrink4,5,320,1.1661458333333332,1.4903322709308073,0.8632121571031358,0.8616064351476347,0.8504386514311459,2.9447898243125943,2.4842081442919928
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,1,320,1.2229254402905823,1.4637109317957588,0.8416701344154691,0.8354939150526676,0.8360544004748195,2.464115507514816,2.6339797452451545
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,2,320,1.1754604338912111,1.571555933388622,0.8339307878637925,0.8045055261195018,0.8259251312710545,2.837355447859855,2.476227493877028
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,3,320,1.3386541825121263,1.6776285304426803,0.8051431118150719,0.7967324152866109,0.7968538323099732,2.677508680541484,2.5605170580758703
