target,k_calibration,model,locked_reference_model,subjects,candidate_rmse_pooled,locked_reference_rmse_pooled,pooled_lift_vs_locked_reference_rmse,lift_vs_stimulus_rmse,mean_subject_improvement_locked_minus_model,median_subject_improvement_locked_minus_model,ci95_low_mean_subject_improvement,ci95_high_mean_subject_improvement,signflip_p_one_sided_mean_gt_zero,wins,losses,ties,win_margin,sign_test_p_one_sided_wins_gt_losses,passes_confirmatory_metric,pearson,spearman,ccc
arousal,4,bias_empirical_bayes,bias_shrink4,8,1.8728896245311832,1.9368991091859824,0.0640094846547991,0.5293374990067272,0.07364075623365415,0.08389851496955592,-0.02189596147375452,0.17047661422603486,0.09809509524523774,5,3,0,2,0.36328125,False,0.6661737043775134,0.666961740317782,0.6455778491458388
arousal,4,bias_shrink2,bias_shrink4,8,1.8742006448550943,1.9368991091859824,0.0626984643308881,0.5280264786828162,0.06700639959755009,0.0675338299233389,0.0061746848023101885,0.13167353272869228,0.05344732763361832,5,3,0,2,0.36328125,False,0.6575572944677608,0.6579196542406173,0.6180597391377095
arousal,8,bias_shrink1,bias_shrink4,8,1.7547902171550964,1.8150233627301429,0.0602331455750464,0.6530564017423894,0.06652605686225194,0.057995497316683964,0.009399494182440753,0.12724489005510764,0.05139743012849358,5,3,0,2,0.36328125,False,0.7073783025212153,0.7087708254406622,0.6838971238424121
arousal,8,bias_mean,bias_shrink4,8,1.7572493192680505,1.8150233627301429,0.0577740434620923,0.6505972996294354,0.06630477097453477,0.051157158291397,-0.004313251710073268,0.13971479816275126,0.07549622518874056,5,3,0,2,0.36328125,False,0.7131176564390221,0.7153927908302317,0.7007703454018106
arousal,8,bias_empirical_bayes,bias_shrink4,8,1.7576391553340482,1.8150233627301429,0.0573842073960946,0.6502074635634376,0.06430221252068924,0.05844976030971727,0.00464952744142047,0.12552763911329204,0.05174741262936853,5,3,0,2,0.36328125,False,0.7065221209059174,0.707283750502394,0.6834106600631609
arousal,8,bias_trimmed_mean,bias_shrink4,8,1.7639637663325851,1.8150233627301429,0.0510595963975575,0.6438828525649005,0.05897297156302361,0.03257886406180377,-0.01452572748213336,0.13679306072375044,0.09994500274986251,5,3,0,2,0.36328125,False,0.7141705787247847,0.7155762260987653,0.7046529638460745
arousal,8,bias_shrink2,bias_shrink4,8,1.768652057935878,1.8150233627301429,0.0463713047942648,0.6391945609616079,0.050059242593519265,0.046080680184676925,0.010453635340466769,0.0916050661290857,0.03384830758462077,5,3,0,2,0.36328125,False,0.6993823132689305,0.7001228934404684,0.6648896886954077
arousal,8,bias_huber,bias_shrink4,8,1.7700629376725812,1.8150233627301429,0.0449604250575617,0.6377836812249047,0.053281297716566756,0.030108460333709952,-0.023536556979762174,0.1361042597099988,0.14289285535723215,5,3,0,2,0.36328125,False,0.7130985693911814,0.7145739166373901,0.7043731829062949
arousal,8,affine_residual_ridge1,bias_shrink4,8,1.775827874633111,1.8150233627301429,0.0391954880970317,0.6320187442643748,0.07112473517214185,-0.030337567907660623,-0.11478166310349122,0.2925888537743383,0.2630368481575921,3,5,0,-2,0.85546875,False,0.7072757941580134,0.7074323932606346,0.695736397327898
arousal,16,bias_mean,bias_shrink4,8,1.757218933230816,1.785586825808255,0.0283678925774391,0.6828748594002654,0.032902083729343834,0.03411932666854822,-0.0065688767676284066,0.07698502124127299,0.09704514774261287,5,3,0,2,0.36328125,False,0.7135584398784847,0.7142508683505671,0.6965923136468142
arousal,16,bias_shrink1,bias_shrink4,8,1.758647430615683,1.785586825808255,0.026939395192572,0.6814463620153983,0.030757598631248162,0.033485881556497676,-0.0009890702160914588,0.0662755473907502,0.06424678766061696,5,3,0,2,0.36328125,False,0.7101111640187785,0.7108078354887098,0.6870771174308355
arousal,16,bias_empirical_bayes,bias_shrink4,8,1.760430948098074,1.785586825808255,0.025155877710181,0.6796628445330073,0.029293142310964082,0.03412591403732479,-0.0031179730060665297,0.06416119468151399,0.07249637518124094,5,3,0,2,0.36328125,False,0.7095923533840964,0.7098355507847649,0.6867093967842339
arousal,16,bias_shrink2,bias_shrink4,8,1.7647863720117791,1.785586825808255,0.0208004537964756,0.6753074206193019,0.02346931668932717,0.025296139410496243,0.0013113137338877923,0.047642476860665514,0.05834708264586771,5,3,0,2,0.36328125,False,0.7060184314918951,0.7065661496019985,0.6769245092555416
arousal,4,bias_mean,bias_shrink4,8,1.9198596816323408,1.9368991091859824,0.0170394275536411,0.4823674419055692,0.027785031296895496,0.047854748632922384,-0.06768515485661933,0.1204365492269105,0.29103544822758864,5,3,0,2,0.36328125,False,0.6733865117715588,0.676298543096705,0.6689071993284951
arousal,4,bias_trimmed_mean,bias_shrink4,8,1.9198596816323408,1.9368991091859824,0.0170394275536411,0.4823674419055692,0.027785031296895496,0.047854748632922384,-0.06768515485661933,0.12150131288649665,0.2944852757362132,5,3,0,2,0.36328125,False,0.6733865117715591,0.6763215405820514,0.6689071993284951
arousal,16,bias_huber,bias_shrink4,8,1.769541105354441,1.785586825808255,0.016045720453814,0.6705526872766403,0.021967496569713724,0.022407896623145795,-0.026929618992321713,0.07705387196504376,0.2515374231288436,5,3,0,2,0.36328125,False,0.7124684038610092,0.7125471223992061,0.6997025491697839
arousal,16,bias_trimmed_mean,bias_shrink4,8,1.772623085159622,1.785586825808255,0.0129637406486329,0.6674707074714592,0.019090480749337113,0.019821424963283207,-0.03521070344493236,0.07665380177207966,0.28123593820308984,5,3,0,2,0.36328125,False,0.7137137465200446,0.7132240091500994,0.7027489069499182
