target,block,test_subject,k_calibration,repeat,alpha,calibration_n,eval_n,bias_raw,bias_shrink,physio_pred_std_eval
arousal,emg_lagged_interaction_experimental,1,4,4,1000.0,4,28,-2.916666666666667,-1.4583333333333335,0.005050498177397994
arousal,emg_lagged_interaction_experimental,1,4,5,1000.0,4,28,-2.583333333333333,-1.2916666666666665,0.005309241462018694
arousal,emg_lagged_interaction_experimental,1,4,6,1000.0,4,28,-0.6666666666666665,-0.33333333333333326,0.006868648465780267
arousal,emg_lagged_interaction_experimental,1,4,7,1000.0,4,28,-0.5833333333333331,-0.2916666666666666,0.006872400333878315
arousal,emg_lagged_interaction_experimental,1,4,8,1000.0,4,28,-1.9166666666666667,-0.9583333333333334,0.006730814260499197
arousal,emg_lagged_interaction_experimental,1,4,9,1000.0,4,28,-0.5833333333333333,-0.29166666666666663,0.006973920841752378
arousal,emg_lagged_interaction_experimental,1,4,10,1000.0,4,28,-0.08333333333333326,-0.04166666666666663,0.006905010885231415
arousal,emg_lagged_interaction_experimental,1,4,11,1000.0,4,28,-1.25,-0.625,0.005432282327023953
arousal,emg_lagged_interaction_experimental,1,4,12,1000.0,4,28,-0.9166666666666667,-0.45833333333333337,0.0068864844773626616
arousal,emg_lagged_interaction_experimental,1,4,13,1000.0,4,28,0.3333333333333335,0.16666666666666674,0.006792462524788607
arousal,emg_lagged_interaction_experimental,1,4,14,1000.0,4,28,-0.16666666666666652,-0.08333333333333326,0.006670908431405024
arousal,emg_lagged_interaction_experimental,1,4,15,1000.0,4,28,-0.5000000000000002,-0.2500000000000001,0.006689854393541621
arousal,emg_lagged_interaction_experimental,1,4,16,1000.0,4,28,-0.41666666666666674,-0.20833333333333337,0.005232224021079737
arousal,emg_lagged_interaction_experimental,1,4,17,1000.0,4,28,-2.916666666666667,-1.4583333333333335,0.0067667385318891955
arousal,emg_lagged_interaction_experimental,1,4,18,1000.0,4,28,-0.5833333333333333,-0.29166666666666663,0.005080233543904222
arousal,emg_lagged_interaction_experimental,1,4,19,1000.0,4,28,-1.1666666666666665,-0.5833333333333333,0.006974755572893915
arousal,emg_lagged_interaction_experimental,1,16,0,1000.0,16,16,-0.625,-0.5,0.0045966756667732995
