target,model,test_subject,n,mae,rmse,pearson,spearman,ccc,accuracy,balanced_accuracy,macro_f1,auroc
valence,stimulus_only,22,32,1.0065524193548387,1.1928363994523645,0.8512104180693016,0.8460132068763729,0.8357956834950845,0.8125,0.8354978354978355,0.8056680161943319,0.9090909090909091
valence,stimulus_only,23,32,0.8432459677419354,1.045968830053902,0.915172848252118,0.9103602089950322,0.9023676269428699,0.90625,0.9087301587301587,0.9054187192118226,0.9880952380952381
valence,stimulus_only,24,32,0.9450604838709677,1.181186665216522,0.8821665880400639,0.8493774186919627,0.8539065635681937,0.84375,0.8863636363636364,0.8358974358974359,0.8681818181818182
valence,stimulus_only,25,32,1.2711693548387097,1.5424217245211227,0.834384004555415,0.8657760368933196,0.8105737486987401,0.90625,0.9087301587301587,0.9054187192118226,0.9761904761904762
valence,stimulus_only,26,32,1.295866935483871,1.5439152284274675,0.8470860181155218,0.8255580336246294,0.8136406790864479,0.90625,0.925,0.9039039039039038,0.9166666666666666
valence,stimulus_only,27,32,1.0403225806451613,1.3065636152706914,0.8615460240890016,0.8546099402867805,0.8482869534496099,0.84375,0.8531746031746033,0.8435972629521017,0.9623015873015873
valence,stimulus_only,28,32,1.0181451612903225,1.2752203396559423,0.8236257915520524,0.8248647334839991,0.7797105503189111,0.90625,0.925,0.9039039039039038,0.9666666666666667
valence,stimulus_only,29,32,0.7414314516129032,0.9792037966849636,0.9261693100661718,0.9241859422826492,0.9054954009684828,0.96875,0.96875,0.9687194525904204,1.0
valence,stimulus_only,30,32,0.8356854838709677,0.9805105223786827,0.9379974670758721,0.8751374668635553,0.9194312085863741,0.9375,0.9411764705882353,0.9375,0.9921568627450981
valence,stimulus_only,31,32,1.438508064516129,1.6415104177594801,0.9646127020985076,0.9161207331651278,0.8448737386560656,0.96875,0.96875,0.9687194525904204,1.0
valence,stimulus_only,32,32,0.888608870967742,1.067296131717133,0.8963117720951919,0.87827351773193,0.8785526266750683,0.90625,0.925,0.9039039039039038,0.9375
valence,stimulus_only,33,32,0.686491935483871,0.8017706893454289,0.9343139008328094,0.9289440751663227,0.925660007868904,0.875,0.8825910931174089,0.873015873015873,0.979757085020243
valence,stimulus_only,34,32,1.164818548387097,1.3695290126321555,0.877199258764556,0.8860229676758531,0.8090887933843264,0.84375,0.8863636363636364,0.8358974358974359,0.9545454545454546
valence,stimulus_only,35,32,0.7444556451612903,0.8910241143900415,0.9231548791961846,0.913888347462997,0.9182401955356899,0.9375,0.9473684210526316,0.9365079365079365,0.9878542510121457
valence,stimulus_only,36,32,0.871975806451613,1.0204401633369262,0.952858933387899,0.9472029644614396,0.91835033093206,0.9375,0.9473684210526316,0.9365079365079365,0.9878542510121457
valence,stimulus_only,37,32,1.122983870967742,1.2260783336006187,0.9324066298630631,0.9250128716174963,0.759571317820638,0.8125,0.8695652173913043,0.8,0.9710144927536232
valence,stimulus_only,38,32,1.385584677419355,1.6108025634891396,0.7087267234242455,0.7482941895497968,0.6972603353672202,0.75,0.7662337662337663,0.7408906882591093,0.8874458874458875
valence,stimulus_only,39,32,0.9924395161290323,1.1755363588632064,0.9250073263216803,0.8975086558660758,0.8919926973407374,0.875,0.8745098039215686,0.8745098039215686,0.9647058823529412
valence,stimulus_only,40,32,1.2253024193548387,1.426675927235319,0.9319376503137341,0.911521538031714,0.8646066174691215,0.875,0.8745098039215686,0.8745098039215686,0.9490196078431372
valence,stimulus_only,41,32,1.2570564516129032,1.5324278343980433,0.744149958586994,0.787929511430954,0.6501285686428164,0.875,0.9047619047619048,0.8704453441295547,0.9696969696969697
valence,stimulus_only,42,32,0.8825604838709676,1.0730391028443886,0.9550430392765968,0.8914646584095169,0.9134110394153917,0.96875,0.96875,0.9687194525904204,0.99609375
valence,stimulus_only,43,32,0.9420362903225806,1.0653749285080085,0.9514252587630226,0.9288917024558039,0.9127015229259563,0.90625,0.90625,0.906158357771261,0.984375
valence,stimulus_only,44,32,1.3150201612903225,1.551526240789527,0.8137530874760048,0.8164499982635804,0.7727112057799143,0.875,0.8825910931174089,0.873015873015873,0.9554655870445344
valence,stimulus_only,45,32,0.7525201612903227,0.9413358052974866,0.9060554036542894,0.8772193258743899,0.9041056149976675,0.9375,0.9473684210526316,0.9365079365079365,0.979757085020243
valence,stimulus_only,46,32,1.1199596774193548,1.3444300634951423,0.9022970737641547,0.8907610229943452,0.8615328996064323,0.84375,0.8583333333333334,0.8398398398398399,0.9375
valence,stimulus_only,47,32,1.5519153225806452,1.8138910213562776,0.8306075032362703,0.8385162839805926,0.7771184011511924,0.8125,0.8178137651821862,0.8095238095238095,0.9392712550607287
valence,stimulus_only,48,32,0.8351814516129032,1.0440083806940523,0.9156274603870709,0.911793242320702,0.8980285155540683,0.9375,0.9372549019607843,0.9372549019607843,0.9588235294117647
valence,stimulus_only,49,32,1.1310483870967742,1.3329525449140025,0.8336429857786509,0.835676878120201,0.731072294408383,0.8125,0.8354978354978355,0.8056680161943319,0.9177489177489178
valence,stimulus_only,50,32,1.1547379032258065,1.2866157693255633,0.9672093563941468,0.9572243610768556,0.8925953988897438,1.0,1.0,1.0,1.0
valence,stimulus_only,52,32,1.2358870967741935,1.5125805677666997,0.782357205029605,0.7589824829572485,0.7502344630380421,0.75,0.7662337662337663,0.7408906882591093,0.8658008658008658
valence,stimulus_only,53,32,0.920866935483871,1.117921278029436,0.9434256898467938,0.9099429949294116,0.8952338699454937,0.90625,0.9087301587301587,0.9054187192118226,0.9722222222222222
valence,stimulus_only,54,32,1.0932459677419355,1.4427400196528868,0.8113994042385747,0.8344108319672651,0.8028321779493479,0.90625,0.9087301587301587,0.9054187192118226,0.9761904761904762
valence,stimulus_only,55,32,1.0015120967741935,1.303620364059265,0.8343983189289959,0.8756624196901942,0.8042566818781314,0.9375,0.9473684210526316,0.9365079365079365,0.9838056680161943
valence,stimulus_only,56,32,0.8644153225806451,1.0985109884654758,0.9228221709057491,0.8854194809660154,0.9004788429459502,0.9375,0.9372549019607843,0.9372549019607843,0.9921568627450981
valence,stimulus_only,57,32,1.1633064516129035,1.306171564966866,0.9357541313678465,0.9189961045829611,0.8695385403450053,0.90625,0.9166666666666667,0.906158357771261,0.9940476190476191
valence,stimulus_only,58,32,0.8346774193548387,1.01439944967274,0.9058262036219726,0.8974096094567731,0.8967085099641939,0.84375,0.84375,0.8435972629521017,0.94921875
valence,stimulus_only,59,32,1.115423387096774,1.3881015443772842,0.8139054960134012,0.8320801973230201,0.8094550155380809,0.84375,0.8583333333333334,0.8398398398398399,0.9166666666666666
valence,stimulus_only,60,32,1.0912298387096775,1.2498666682272448,0.9365309095696593,0.9159804879307853,0.8876724127978474,0.96875,0.9722222222222222,0.9684729064039409,0.9920634920634921
valence,stimulus_only,61,32,1.486391129032258,1.796584786883719,0.9245718728211336,0.878894809310882,0.7980118384135406,0.875,0.8947368421052632,0.8745098039215686,0.9595141700404858
valence,stimulus_only,62,32,1.1244959677419355,1.2933652382208536,0.9017688423353323,0.8759279144645141,0.8609266151963054,0.90625,0.9166666666666667,0.906158357771261,1.0
valence,stimulus_only,63,32,0.9259072580645161,1.1374506141295835,0.9185405998609216,0.9126073081799048,0.8950883756190415,0.9375,0.9473684210526316,0.9365079365079365,0.9919028340080972
valence,stimulus_only,64,32,0.9959677419354839,1.2210553618366922,0.8780768654201265,0.8475350823686865,0.8482305166291901,0.8125,0.8695652173913043,0.8,0.8864734299516909
valence,stimulus_only,65,32,0.8140120967741935,0.960189785968401,0.9453700665497249,0.9474030066230439,0.9238197533003781,0.9375,0.9372549019607843,0.9372549019607843,0.9803921568627451
arousal,global_mean,1,32,2.1754032258064515,2.4369387878170263,,,0.0,0.625,0.5,0.38461538461538464,0.5
