target,k_calibration,model,subject_id,ref_rmse,model_rmse,rmse_improvement,rmse_worse_than_stimulus,ref_residual_rmse,model_residual_rmse,residual_rmse_improvement,residual_worse_than_stimulus,is_best_candidate
valence,16,stimulus_plus_fewshot_bias_shrink4,22,1.1928363994523643,1.2002190375774628,-0.0073826381250985396,True,1.1928363994523643,1.2002190375774628,-0.0073826381250985396,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,35,0.8910241143900415,0.8982389189781957,-0.007214804588154267,True,0.8910241143900415,0.8982389189781956,-0.007214804588154156,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,36,1.0204401633369262,1.025175335882994,-0.004735172546067812,True,1.0204401633369262,1.025175335882994,-0.004735172546067812,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,27,1.3065636152706914,1.3112216465420947,-0.004658031271403296,True,1.3065636152706914,1.3112216465420947,-0.004658031271403296,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,7,0.7714954244234683,0.772756727021595,-0.0012613025981267345,True,0.7714954244234683,0.7727567270215949,-0.0012613025981266235,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,2,1.5487178326209212,1.5468685650598242,0.0018492675610970455,False,1.5487178326209212,1.5468685650598242,0.0018492675610970455,False,True
valence,16,stimulus_plus_fewshot_bias_shrink4,54,1.4427400196528868,1.439956798683892,0.0027832209689948595,False,1.4427400196528868,1.439956798683892,0.0027832209689948595,False,True
valence,16,stimulus_plus_fewshot_bias_shrink4,46,1.3444300634951425,1.339897243369342,0.004532820125800585,False,1.3444300634951425,1.339897243369342,0.004532820125800585,False,True
valence,16,stimulus_plus_fewshot_bias_shrink4,18,1.8032716105902835,1.7984865108859476,0.004785099704335938,False,1.8032716105902835,1.7984865108859476,0.004785099704335938,False,True
valence,16,stimulus_plus_fewshot_bias_shrink4,43,1.0653749285080083,1.0594290427357989,0.005945885772209447,False,1.0653749285080083,1.0594290427357989,0.005945885772209447,False,True
valence,16,stimulus_plus_fewshot_bias_shrink4,58,1.01439944967274,1.0013779195229524,0.013021530149787575,False,1.01439944967274,1.0013779195229524,0.013021530149787575,False,True
valence,16,stimulus_plus_fewshot_bias_shrink4,8,1.0246974566824736,0.9963252606975588,0.028372195984914805,False,1.0246974566824736,0.9963252606975588,0.028372195984914805,False,True
valence,16,stimulus_plus_fewshot_bias_shrink4,16,1.0159129954676442,0.9844376986870494,0.0314752967805948,False,1.0159129954676442,0.9844376986870494,0.0314752967805948,False,True
valence,16,stimulus_plus_fewshot_bias_shrink4,14,0.8964680958217212,0.8642075968315922,0.03226049899012895,False,0.8964680958217212,0.8642075968315922,0.03226049899012895,False,True
valence,16,stimulus_plus_fewshot_bias_shrink4,32,1.067296131717133,1.0219053083124328,0.04539082340470024,False,1.067296131717133,1.0219053083124323,0.045390823404700686,False,True
valence,16,stimulus_plus_fewshot_bias_shrink4,55,1.303620364059265,1.2555178926841928,0.048102471375072176,False,1.303620364059265,1.2555178926841928,0.048102471375072176,False,True
valence,16,stimulus_plus_fewshot_bias_shrink4,1,1.204586059790768,1.1446554873141517,0.05993057247661637,False,1.204586059790768,1.1446554873141517,0.05993057247661637,False,True
valence,16,stimulus_plus_fewshot_bias_shrink4,9,1.1748826518327369,1.1128459699215123,0.06203668191122458,False,1.1748826518327369,1.1128459699215123,0.06203668191122458,False,True
valence,16,stimulus_plus_fewshot_bias_shrink4,48,1.0440083806940523,0.9790040252080524,0.06500435548599992,False,1.0440083806940523,0.9790040252080524,0.06500435548599992,False,True
valence,16,stimulus_plus_fewshot_bias_shrink4,29,0.9792037966849636,0.9138828843887888,0.06532091229617476,False,0.9792037966849636,0.9138828843887888,0.06532091229617476,False,True
valence,16,stimulus_plus_fewshot_bias_shrink4,24,1.181186665216522,1.1042629209546126,0.07692374426190929,False,1.181186665216522,1.1042629209546126,0.07692374426190929,False,True
valence,16,stimulus_plus_fewshot_bias_shrink4,52,1.5125805677666997,1.435341018286147,0.07723954948055267,False,1.5125805677666997,1.435341018286147,0.07723954948055267,False,True
