target,k_calibration,model,subject_id,n,mae,rmse,pearson,spearman,ccc,y_true_mean,y_true_std,y_pred_mean,y_pred_std,residual_mean,residual_std,residual_rmse,residual_mae
arousal,0,stimulus_plus_fewshot_bias,17,32,1.1703629032258065,1.443007647866153,0.8494711265706565,0.8058567055675556,0.7589941655334351,3.71875,2.3747943989954163,4.317540322580646,1.6253373414156536,-0.5987903225806452,1.3129056407007988,1.443007647866153,1.1703629032258065
arousal,0,stimulus_plus_fewshot_bias,18,32,1.862399193548387,2.2144458644257767,0.7211949002894917,0.6891756144226439,0.5862598768217002,4.9375,2.9679275176459416,4.29788306451613,1.6231428211835852,0.639616935483871,2.1200614760696554,2.2144458644257767,1.862399193548387
arousal,0,stimulus_plus_fewshot_bias,19,32,1.4783266129032255,1.8649160854374134,0.67305688302963,0.7573562085836922,0.5508004770128475,5.4375,1.9354828209002528,4.289818548387097,1.6368260362049833,1.147681451612903,1.4699453361764527,1.8649160854374134,1.4783266129032255
arousal,0,stimulus_plus_fewshot_bias,20,32,1.2222782258064515,1.6061071539303806,0.8174181670963804,0.8295778754427827,0.6887310952788871,5.3125,2.1423920626253263,4.291834677419355,1.6296327910122985,1.020665322580645,1.2400897101370107,1.6061071539303806,1.2222782258064515
arousal,0,stimulus_plus_fewshot_bias,21,32,1.277217741935484,1.6322030782527182,0.8430035229501304,0.7285661711621355,0.7379262719707491,4.34375,2.745557491202834,4.307459677419355,1.620495926660126,0.03629032258064516,1.631799589761145,1.6322030782527182,1.277217741935484
arousal,0,stimulus_plus_fewshot_bias,22,32,1.9672379032258065,2.2019212090640568,0.7363599371429027,0.6965022133087162,0.5992353607517777,3.8125,3.0355961111452228,4.316028225806452,1.621613874668233,-0.5035282258064516,2.143575596227557,2.2019212090640568,1.9672379032258065
arousal,0,stimulus_plus_fewshot_bias,23,32,1.2278225806451613,1.4444266565960073,0.8378042177970356,0.8186251100740446,0.7339550447883116,5.15625,2.108159371940366,4.294354838709678,1.629406496457281,0.8618951612903224,1.1590966729438268,1.4444266565960073,1.2278225806451613
arousal,0,stimulus_plus_fewshot_bias,24,32,1.310483870967742,1.48257196823593,0.884284626195384,0.8455977263856485,0.7790914999650712,4.28125,2.706870598587971,4.308467741935484,1.6192654257380519,-0.027217741935483875,1.4823221092336485,1.48257196823593,1.310483870967742
arousal,0,stimulus_plus_fewshot_bias,25,32,1.7767137096774193,2.1900265994374353,0.7183776736175677,0.7140056976931781,0.5964710806999016,4.25,3.0413812651491097,4.308971774193548,1.6224070271970636,-0.05897177419354839,2.18923247648393,2.1900265994374353,1.7767137096774193
arousal,0,stimulus_plus_fewshot_bias,26,32,1.861391129032258,2.0975708009095437,0.6921782162668518,0.7032390754941981,0.5500166079740723,3.125,2.381569860407206,4.327116935483871,1.631177894570375,-1.202116935483871,1.7189293581328962,2.0975708009095437,1.861391129032258
arousal,0,stimulus_plus_fewshot_bias,27,32,1.2263104838709675,1.535350762562059,0.6857768600850156,0.6533032970651478,0.6202442042179299,5.0625,1.71277370075559,4.29586693548387,1.6389311656529597,0.766633064516129,1.3302540014938895,1.535350762562059,1.2263104838709675
arousal,0,stimulus_plus_fewshot_bias,28,32,1.3870967741935485,1.736794234893714,0.8523115608810486,0.7439674769942559,0.6831198156012985,3.15625,2.346664854106781,4.326612903225806,1.625620229030218,-1.1703629032258065,1.2832399966930983,1.736794234893714,1.3870967741935485
arousal,0,stimulus_plus_fewshot_bias,29,32,1.0892137096774195,1.4303522584477637,0.7663483928825857,0.7911927673763665,0.7180842706934527,3.8125,2.0832291640623697,4.316028225806452,1.6321077413038991,-0.5035282258064517,1.3387930792556502,1.4303522584477637,1.0892137096774195
arousal,0,stimulus_plus_fewshot_bias,30,32,0.7550403225806451,0.956852374832003,0.8934739322809535,0.8682985705758665,0.8680754224554206,4.34375,2.0707694071286644,4.307459677419355,1.628088483700141,0.03629032258064514,0.9561639397658944,0.956852374832003,0.7550403225806451
arousal,0,stimulus_plus_fewshot_bias,31,32,2.011592741935484,2.3482477221801465,0.7902383180113697,0.7692709474610178,0.6000188698437783,5.125,3.2379584617471546,4.294858870967742,1.6164187210941403,0.8301411290322582,2.1966185537351026,2.3482477221801465,2.011592741935484
arousal,0,stimulus_plus_fewshot_bias,32,32,1.0398185483870965,1.2891028761453294,0.7650874662357704,0.7299560016483684,0.7489324319303492,4.4375,1.9833289565778038,4.305947580645162,1.6333954482244362,0.13155241935483866,1.2823728733282098,1.2891028761453294,1.0398185483870965
arousal,0,stimulus_plus_fewshot_bias,33,32,1.466733870967742,1.7088498453534822,0.5550418725169379,0.5846336260080733,0.5055267984077094,3.59375,1.6366767968966873,4.319556451612903,1.6432005111397983,-0.7258064516129032,1.5470529366384678,1.7088498453534822,1.466733870967742
arousal,0,stimulus_plus_fewshot_bias,34,32,1.1975806451612905,1.370932162726182,0.8577420069249222,0.8685966040979513,0.7787625418460267,3.84375,2.373148949707961,4.315524193548387,1.625049714580117,-0.4717741935483871,1.287200102975002,1.370932162726182,1.1975806451612905
arousal,0,stimulus_plus_fewshot_bias,35,32,1.1804435483870968,1.552764938493383,0.5524171309417635,0.5261720678869681,0.5431462971770319,4.59375,1.5783570373967988,4.303427419354838,1.6437990362349817,0.29032258064516125,1.5253824941246354,1.552764938493383,1.1804435483870968
arousal,0,stimulus_plus_fewshot_bias,36,32,1.3986895161290323,1.6137422213029615,0.8281688496029959,0.8377729054559818,0.7245168899845159,4.875,2.54644359843292,4.298891129032258,1.6238238378140812,0.576108870967742,1.5074025758264082,1.6137422213029615,1.3986895161290323
arousal,0,stimulus_plus_fewshot_bias,37,32,1.2988911290322582,1.579093729239403,0.503569928255726,0.5396798441611068,0.47245173851424793,4.75,1.346291201783626,4.300907258064516,1.6469570832960136,0.4490927419354839,1.513886625498777,1.579093729239403,1.2988911290322582
arousal,0,stimulus_plus_fewshot_bias,38,32,1.1134072580645162,1.3992196939083654,0.7229243531153058,0.719878752428922,0.7054957767595205,4.5,1.984313483298443,4.304939516129032,1.6347132227835457,0.19506048387096772,1.3855566244123854,1.3992196939083654,1.1134072580645162
arousal,0,stimulus_plus_fewshot_bias,39,32,1.719758064516129,2.042019248651355,0.7676405249461905,0.6309757579971604,0.6368732990294124,3.84375,2.9379986278928043,4.315524193548388,1.621343528399755,-0.47177419354838707,1.9867742000953235,2.042019248651355,1.719758064516129
arousal,0,stimulus_plus_fewshot_bias,40,32,2.4994959677419355,2.919191928710636,0.4684225945889068,0.5149480612492227,0.35470059556770084,5.375,3.059309562630104,4.290826612903226,1.6343109757994334,1.0841733870967742,2.710396573079377,2.919191928710636,2.4994959677419355
arousal,0,stimulus_plus_fewshot_bias,41,32,2.0055443548387095,2.4690247430071826,0.4297075601558554,0.44572460955923554,0.16032139639803564,2.375,0.81967981553775,4.33921370967742,1.6522739410377567,-1.9642137096774193,1.4959771670373037,2.4690247430071826,2.0055443548387095
