target,quantile,feature_block,model,subject_id,baseline_residual_rmse,model_residual_rmse,improvement_baseline_minus_model,delta_rmse_model_minus_baseline
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,46,3.304960761892034,3.4622127469058532,-0.15725198501381943,0.15725198501381943
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,47,3.523931629971603,3.5476935640136036,-0.023761934042000554,0.023761934042000554
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,48,2.7659605265456344,2.6571063964845054,0.10885413006112898,-0.10885413006112898
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,49,3.440254272923092,3.0296101498875387,0.4106441230355533,-0.4106441230355533
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,5,2.909100239585122,2.4183355453792794,0.49076469420584257,-0.49076469420584257
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,50,2.50815527270708,2.76698403679848,-0.2588287640914002,0.2588287640914002
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,52,3.337034019273049,3.37547262388591,-0.03843860461286086,0.03843860461286086
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,53,2.3870967741935485,2.024164279079336,0.36293249511421255,-0.36293249511421255
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,54,2.668103274889568,2.7191877884462214,-0.051084513556653555,0.051084513556653555
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,55,3.095671426635221,3.029368410659414,0.06630301597580734,-0.06630301597580734
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,56,2.4152922880323433,2.8881378361434886,-0.4728455481111453,0.4728455481111453
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,57,3.4479723204956825,3.447019287028911,0.0009530334667715579,-0.0009530334667715579
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,58,2.9292471855207736,2.85002670734832,0.07922047817245348,-0.07922047817245348
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,59,3.506077177780347,4.071363559340826,-0.5652863815604787,0.5652863815604787
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,6,4.379451463222424,4.515881708134815,-0.13643024491239064,0.13643024491239064
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,60,3.364229198692733,3.3086403039591863,0.05558889473354656,-0.05558889473354656
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,61,2.9657501831664757,2.5333682256799315,0.4323819574865442,-0.4323819574865442
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,62,3.4774105646546394,3.766788586960951,-0.2893780223063116,0.2893780223063116
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,63,3.156342133584165,3.1355695424698253,0.02077259111433971,-0.02077259111433971
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,64,3.751967919296454,3.671561134593123,0.08040678470333118,-0.08040678470333118
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,65,2.7879768249170787,2.1920336119852535,0.5959432129318252,-0.5959432129318252
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,7,2.661457891666245,2.685593899952458,-0.024136008286212984,0.024136008286212984
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,8,2.7801792140109836,3.1039043503096995,-0.3237251362987159,0.3237251362987159
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,9,3.5470415337347743,2.656850392646816,0.8901911410879584,-0.8901911410879584
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,1,2.102906664882461,2.106824933243944,-0.003918268361482902,0.003918268361482902
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,10,1.9702126213058746,1.97356953854722,-0.0033569172413454584,0.0033569172413454584
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,11,2.183092425020961,2.1906013669033486,-0.00750894188238771,0.00750894188238771
