repetition,role,task,label_policy,region,aggregation,baseline,n,low,high,accuracy,balanced_accuracy,macro_f1,roc_auc,brier,log_loss,cell_balanced_accuracy_mean,cell_balanced_accuracy_std
2,sensitivity,valence,discard_midpoint,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,1667,812,855,0.596880623875225,0.5932986201135021,0.5870659530233998,0.656604874254602,0.2321232979560595,0.6585117151541682,0.6502791894271475,0.07259174734945725
2,sensitivity,valence,midpoint_as_high,primary_test,pooled_unique_physical_trials,global_train_prior,2016,812,1204,0.5972222222222222,0.5,0.3739130434782609,0.3292105133954143,0.2571408796060947,0.7090355196265545,0.5,0.0
2,sensitivity,valence,midpoint_as_high,primary_test,pooled_unique_physical_trials,order_bin_prior,2016,812,1204,0.5471230158730159,0.5031647382288922,0.49403919406176233,0.4225278423318004,0.3299076985509202,0.9526563249192274,0.5555857801924524,0.15734282815412723
2,sensitivity,valence,midpoint_as_high,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,2016,812,1204,0.6691468253968254,0.6221646236682323,0.6190617567944655,0.632599360915176,0.22801466284273245,0.6505120350663107,0.6656792611369144,0.1543513365989954
2,sensitivity,valence,midpoint_as_low,primary_test,pooled_unique_physical_trials,global_train_prior,2016,1161,855,0.5758928571428571,0.5,0.3654390934844193,0.37097229148092736,0.2569175514078539,0.7080922950046112,0.5,0.0
2,sensitivity,valence,midpoint_as_low,primary_test,pooled_unique_physical_trials,order_bin_prior,2016,1161,855,0.46081349206349204,0.44046874291672333,0.4381378949093015,0.42527615334632873,0.35610399575623886,1.070222486306551,0.46656011794888963,0.09960915808914546
2,sensitivity,valence,midpoint_as_low,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,2016,1161,855,0.5714285714285714,0.5488372093023256,0.5470171890798787,0.6123502123094127,0.24177331008850148,0.6747291777174754,0.5966431374687957,0.06833607223265584
3,sensitivity,arousal,discard_midpoint,primary_test,pooled_unique_physical_trials,global_train_prior,1799,1112,687,0.6181211784324625,0.5,0.38199931295087597,0.3506166682374624,0.2482657995273408,0.6911559082748139,0.5,0.0
3,sensitivity,arousal,discard_midpoint,primary_test,pooled_unique_physical_trials,order_bin_prior,1799,1112,687,0.5719844357976653,0.5249880881321144,0.5221433400946586,0.5139650288502823,0.2759241534081659,0.769558853596292,0.536262188727954,0.07484832151506045
3,sensitivity,arousal,discard_midpoint,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,1799,1112,687,0.6086714841578654,0.5524390531243127,0.5471676525440212,0.6227066381829034,0.23394022941470555,0.6611215272780291,0.5949333623515904,0.05182524257199545
3,sensitivity,arousal,midpoint_as_high,primary_test,pooled_unique_physical_trials,global_train_prior,2016,1112,904,0.498015873015873,0.4590946711657223,0.3876092594371338,0.36622206659451206,0.25740284637277994,0.7083055692498536,0.5,0.0
3,sensitivity,arousal,midpoint_as_high,primary_test,pooled_unique_physical_trials,order_bin_prior,2016,1112,904,0.5277777777777778,0.5134892086330936,0.5098072669503431,0.5016871458585342,0.28215962314109877,0.7736700791860144,0.5302559737382384,0.07977412542330697
3,sensitivity,arousal,midpoint_as_high,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,2016,1112,904,0.5560515873015873,0.537153020946075,0.5292539973049092,0.6075077990704781,0.24702506069827815,0.6876515906574864,0.5765159209070218,0.053950716509913475
3,sensitivity,arousal,midpoint_as_low,primary_test,pooled_unique_physical_trials,global_train_prior,2016,1329,687,0.6592261904761905,0.5,0.39730941704035877,0.3600035267457665,0.23450285081931888,0.6637426084241171,0.5,0.0
3,sensitivity,arousal,midpoint_as_low,primary_test,pooled_unique_physical_trials,order_bin_prior,2016,1329,687,0.6056547619047619,0.5346059190184694,0.5334701245005322,0.5086345031833809,0.2583850025910347,0.7283393436269852,0.5451713250241654,0.08088295867296384
3,sensitivity,arousal,midpoint_as_low,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,2016,1329,687,0.6587301587301587,0.563259633108914,0.5570221327967807,0.6113613786290159,0.22245417678461704,0.6375598564805823,0.5861588108347646,0.0784129201748632
3,sensitivity,valence,discard_midpoint,primary_test,pooled_unique_physical_trials,global_train_prior,1667,812,855,0.34613077384523094,0.34569541670267623,0.34569541670267623,0.30572552069829745,0.27552049882098506,0.7447829044778946,0.5,0.0
3,sensitivity,valence,discard_midpoint,primary_test,pooled_unique_physical_trials,order_bin_prior,1667,812,855,0.5098980203959208,0.5087510442773601,0.5082672214373322,0.4489074698239853,0.35710133300739,1.0945319076161046,0.6016339251309626,0.06266206681154093
3,sensitivity,valence,discard_midpoint,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,1667,812,855,0.5782843431313738,0.5743028548382451,0.5658604894113985,0.531184282545444,0.2772237712893041,0.7786470085305408,0.663175028372712,0.056336493633643715
3,sensitivity,valence,midpoint_as_high,primary_test,pooled_unique_physical_trials,global_train_prior,2016,812,1204,0.5972222222222222,0.5,0.3739130434782609,0.32909186128340673,0.259453891768334,0.7142376127518011,0.5,0.0
3,sensitivity,valence,midpoint_as_high,primary_test,pooled_unique_physical_trials,order_bin_prior,2016,812,1204,0.4975198412698413,0.4674504525146065,0.46528293261130316,0.4241736289543885,0.34129248870365547,1.025718623835717,0.500369094319716,0.14260398334384933
3,sensitivity,valence,midpoint_as_high,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,2016,812,1204,0.6135912698412699,0.5816674304043992,0.5814077336727282,0.532770485900856,0.2601892931118364,0.7422229259715478,0.6602209237038156,0.06141052620756149
3,sensitivity,valence,midpoint_as_low,primary_test,pooled_unique_physical_trials,global_train_prior,2016,1161,855,0.5758928571428571,0.5,0.3654390934844193,0.3329409512872046,0.2610290795597289,0.7163088974740036,0.5,0.0
