summary_type,repetition,role,task,policy,region,baseline,n,accuracy,balanced_accuracy,macro_f1,roc_auc,brier,log_loss,cell_balanced_accuracy_mean,cell_balanced_accuracy_std,cell_roc_auc_mean,cell_count
macro_outer_cells_overlapping_regions,0,primary,arousal,midpoint_as_high,unseen_subject_seen_stimulus,stimulus_prior,3840,0.6671875,0.6418745730145596,0.6343576225633711,0.6844427936470194,0.22124418282214503,0.6352158818284754,0.6418745730145596,0.03189483071754461,0.6844427936470194,16
macro_outer_cells_overlapping_regions,0,primary,arousal,midpoint_as_low,seen_subject_unseen_stimulus,global_train_prior,3840,0.5757812500000001,0.5,0.3650235765283243,0.5,0.24448145736882715,0.6820786317660399,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,0,primary,arousal,midpoint_as_low,seen_subject_unseen_stimulus,subject_prior,3840,0.6148437499999999,0.5839961974581862,0.575874368831439,0.6481409412906475,0.2284191984285763,0.6485098157261378,0.5839961974581862,0.021265913058582178,0.6481409412906475,16
macro_outer_cells_overlapping_regions,0,primary,arousal,midpoint_as_low,unseen_subject_seen_stimulus,global_train_prior,3840,0.5757812499999999,0.5,0.3641940712138876,0.5,0.24778440875771607,0.6888308469806366,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,0,primary,arousal,midpoint_as_low,unseen_subject_seen_stimulus,stimulus_prior,3840,0.66015625,0.6414058508447962,0.6328857689417651,0.6792616830946381,0.2247654064790702,0.6422501652743031,0.6414058508447962,0.032139827579557384,0.6792616830946381,16
macro_outer_cells_overlapping_regions,0,primary,valence,discard_midpoint,seen_subject_unseen_stimulus,global_train_prior,3792,0.5368245589416114,0.5,0.34633326085694005,0.5,0.25283095658127197,0.698960577412364,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,0,primary,valence,discard_midpoint,seen_subject_unseen_stimulus,subject_prior,3792,0.5284504867411971,0.5206343295912581,0.4704571705596528,0.5517149481601542,0.2518022945351072,0.6972339196218865,0.5206343295912581,0.02002251946490152,0.5517149481601542,16
macro_outer_cells_overlapping_regions,0,primary,valence,discard_midpoint,unseen_subject_seen_stimulus,global_train_prior,3792,0.5520729811747952,0.5,0.35493847197106043,0.5,0.24629640387852106,0.6857290283634095,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,0,primary,valence,discard_midpoint,unseen_subject_seen_stimulus,stimulus_prior,3792,0.7776360120414365,0.7765158854526008,0.7733982240384565,0.8434211601318556,0.15989085896486893,0.4961714573231012,0.7765158854526008,0.034359098529722555,0.8434211601318556,16
macro_outer_cells_overlapping_regions,0,primary,valence,midpoint_as_high,seen_subject_unseen_stimulus,global_train_prior,3840,0.565625,0.5,0.35916938939197446,0.5,0.25203510802469137,0.6973904306046191,0.5,0.0,0.5,16
