dataset,repetition,role,subject_fold,stimulus_fold,task,label_policy,source_train_rows_total,source_train_scored_paired_rows,class_0_anchors,class_1_anchors,eligible_donors_min,eligible_donors_p01,eligible_donors_p10,eligible_donors_median,eligible_donors_p90,eligible_donors_max,zero_donor_rate,below_5_donor_rate,below_10_donor_rate,below_20_donor_rate,unique_donor_subjects_min,unique_donor_subjects_median,unique_donor_stimuli_min,unique_donor_stimuli_median,paired_modality_anchor_rate,operational_verdict
DEAP,1,sensitivity,1,0,arousal,midpoint_as_high,720,720,309,411,269,272.0,278.0,372.0,383.0,399,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,1,1,valence,discard_midpoint,720,711,288,423,249,252.0,256.0,383.0,394.0,410,0.0,0.0,0.0,0.0,23,23.0,26,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,1,1,valence,midpoint_as_low,720,720,297,423,258,259.19,264.0,383.0,394.0,410,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,1,1,valence,midpoint_as_high,720,720,288,432,249,252.0,256.0,391.0,403.0,418,0.0,0.0,0.0,0.0,23,23.0,26,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,1,1,arousal,discard_midpoint,720,710,300,410,261,263.09,270.0,371.0,382.0,396,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,1,1,arousal,midpoint_as_low,720,720,310,410,268,272.0,279.0,371.0,382.0,396,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,1,1,arousal,midpoint_as_high,720,720,300,420,261,263.19,270.0,381.0,392.0,404,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,1,2,valence,discard_midpoint,720,712,318,394,279,280.0,284.0,354.0,367.0,380,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,1,2,valence,midpoint_as_low,720,720,326,394,286,287.0,292.0,353.5,367.0,380,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,1,2,valence,midpoint_as_high,720,720,318,402,279,280.0,284.0,361.0,375.0,387,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
